Tap Time,ITI,Asynchornies,Tone Time,IOI
0.46,0.27,,,
0.71,0.24999999999999994,0.0,0.71,
0.94,0.22999999999999998,,,
1.23,0.29000000000000004,0.020000000000000018,1.21,
1.5,0.27,0.020000000000000018,1.48,0.27
1.75,0.25,0.010000000000000009,1.74,0.26
2.01,0.2599999999999998,0.009999999999999787,2.0,0.26
,,,,
2.51,,0.0,2.51,
2.77,0.26000000000000023,,,
,,,3.02,
3.3,,0.020000000000000018,3.28,0.2599999999999998
3.55,0.25,0.009999999999999787,3.54,0.26000000000000023
3.8,0.25,-0.010000000000000231,3.81,0.27
4.05,0.25,-0.020000000000000462,4.07,0.26000000000000023
4.35,0.2999999999999998,,,
4.59,0.2400000000000002,0.0,4.59,
4.86,0.27000000000000046,0.03000000000000025,4.83,0.2400000000000002
,,,5.11,0.28000000000000025
5.36,,0.010000000000000675,5.35,0.23999999999999932
5.62,0.2599999999999998,0.009999999999999787,5.61,0.2600000000000007
5.9,0.28000000000000025,0.020000000000000462,5.88,0.2699999999999996
6.13,0.22999999999999954,0.0,6.13,0.25
6.42,0.29000000000000004,0.03000000000000025,6.39,0.2599999999999998
6.67,0.25,0.03000000000000025,6.64,0.25
6.92,0.25,0.03000000000000025,6.89,0.25
7.17,0.25,0.019999999999999574,7.15,0.2600000000000007
7.43,0.2599999999999998,0.02999999999999936,7.4,0.25
7.68,0.25,0.009999999999999787,7.67,0.2699999999999996
7.95,0.27000000000000046,0.020000000000000462,7.93,0.2599999999999998
8.2,0.2499999999999991,,,
8.45,0.25,0.02999999999999936,8.42,
8.71,0.26000000000000156,0.030000000000001137,8.68,0.2599999999999998
8.96,0.25,0.02000000000000135,8.94,0.2599999999999998
9.2,0.23999999999999844,0.009999999999999787,9.19,0.25
9.47,0.27000000000000135,0.02000000000000135,9.45,0.2599999999999998
9.73,0.2599999999999998,0.019999999999999574,9.71,0.26000000000000156
9.99,0.2599999999999998,0.02999999999999936,9.96,0.25
10.23,0.2400000000000002,,,
10.48,0.25,0.009999999999999787,10.47,
10.72,0.2400000000000002,0.0,10.72,0.25
11.0,0.27999999999999936,,,
11.26,0.2599999999999998,0.009999999999999787,11.25,
11.54,0.27999999999999936,0.049999999999998934,11.49,0.2400000000000002
