Tap Time,ITI,Asynchornies,Tone Time,IOI
0.52,0.28,,,
0.79,0.27,-0.010000000000000009,0.8,
1.07,0.28,,,
1.36,0.29000000000000004,-0.010000000000000009,1.37,
1.63,0.2699999999999998,-0.030000000000000027,1.66,0.2899999999999998
1.92,0.29000000000000004,0.0,1.92,0.26
2.2,0.28000000000000025,0.0,2.2,0.28000000000000025
2.48,0.2799999999999998,0.020000000000000018,2.46,0.2599999999999998
2.73,0.25,,,
3.04,0.31000000000000005,0.03000000000000025,3.01,
3.29,0.25,-0.06999999999999984,3.36,0.3500000000000001
3.56,0.27,0.010000000000000231,3.55,0.18999999999999995
3.83,0.27,-0.04999999999999982,3.88,0.33000000000000007
4.11,0.28000000000000025,0.010000000000000675,4.1,0.21999999999999975
4.39,0.27999999999999936,-0.020000000000000462,4.41,0.3100000000000005
4.66,0.27000000000000046,0.0,4.66,0.25
4.95,0.29000000000000004,,,
5.21,0.2599999999999998,0.0,5.21,
,,,5.49,0.28000000000000025
5.76,,0.009999999999999787,5.75,0.2599999999999998
6.06,0.2999999999999998,,,
6.32,0.2600000000000007,0.010000000000000675,6.31,
6.59,0.2699999999999996,,,
6.86,0.27000000000000046,-0.009999999999999787,6.87,
7.15,0.29000000000000004,-0.019999999999999574,7.17,0.2999999999999998
7.42,0.2699999999999996,0.0,7.42,0.25
7.68,0.2599999999999998,,,
7.95,0.27000000000000046,-0.009999999999999787,7.96,
8.23,0.28000000000000025,,,
8.5,0.2699999999999996,0.0,8.5,
8.79,0.28999999999999915,0.0,8.79,0.28999999999999915
9.04,0.25,-0.010000000000001563,9.05,0.26000000000000156
9.31,0.27000000000000135,-0.049999999999998934,9.36,0.3099999999999987
9.59,0.27999999999999936,-0.009999999999999787,9.6,0.2400000000000002
9.87,0.27999999999999936,,,
10.13,0.26000000000000156,-0.009999999999999787,10.14,
10.41,0.27999999999999936,-0.02999999999999936,10.44,0.29999999999999893
10.7,0.28999999999999915,0.009999999999999787,10.69,0.25
10.97,0.27000000000000135,,,
11.24,0.2699999999999996,0.009999999999999787,11.23,
11.51,0.2699999999999996,-0.009999999999999787,11.52,0.28999999999999915
11.77,0.2599999999999998,,,
12.05,0.28000000000000114,,,
12.31,0.2599999999999998,-0.009999999999999787,12.32,
12.6,0.28999999999999915,,,
,,,12.86,
13.14,,,,
13.42,0.27999999999999936,-0.009999999999999787,13.43,
13.69,0.2699999999999996,-0.040000000000000924,13.73,0.3000000000000007
13.96,0.27000000000000135,-0.009999999999999787,13.97,0.2400000000000002
14.24,0.27999999999999936,-0.049999999999998934,14.29,0.3199999999999985
14.51,0.2699999999999996,-0.009999999999999787,14.52,0.23000000000000043
14.78,0.2699999999999996,-0.05000000000000071,14.83,0.3100000000000005
15.07,0.2900000000000009,0.0,15.07,0.2400000000000002
15.33,0.2599999999999998,-0.02999999999999936,15.36,0.28999999999999915
15.6,0.2699999999999996,-0.019999999999999574,15.62,0.2599999999999998
15.88,0.28000000000000114,-0.009999999999999787,15.89,0.27000000000000135
16.15,0.2699999999999978,-0.010000000000001563,16.16,0.2699999999999996
16.44,0.2900000000000027,,,
,,,16.72,
16.97,,-0.019999999999999574,16.99,0.2699999999999996
17.25,0.28000000000000114,0.0,17.25,0.26000000000000156
17.51,0.26000000000000156,-0.03999999999999915,17.55,0.3000000000000007
,,,17.81,0.259999999999998
18.08,,,,
18.36,0.28000000000000114,0.019999999999999574,18.34,
18.62,0.26000000000000156,,,
18.89,0.2699999999999996,0.0,18.89,
19.15,0.259999999999998,-0.0400000000000027,19.19,0.3000000000000007
19.43,0.28000000000000114,0.00999999999999801,19.42,0.23000000000000043
19.69,0.26000000000000156,,,
19.95,0.259999999999998,-0.010000000000001563,19.96,
20.22,0.2699999999999996,-0.030000000000001137,20.25,0.28999999999999915
20.48,0.26000000000000156,0.0,20.48,0.23000000000000043
20.76,0.28000000000000114,,,
21.03,0.2699999999999996,0.0,21.03,
21.29,0.259999999999998,-0.010000000000001563,21.3,0.2699999999999996
21.57,0.28000000000000114,0.0,21.57,0.2699999999999996
,,,,
22.11,,-0.010000000000001563,22.12,
22.39,0.28000000000000114,-0.019999999999999574,22.41,0.28999999999999915
22.66,0.2699999999999996,0.010000000000001563,22.65,0.23999999999999844
22.94,0.28000000000000114,,,
23.2,0.259999999999998,-0.010000000000001563,23.21,
23.49,0.28999999999999915,-0.010000000000001563,23.5,0.28999999999999915
23.76,0.2700000000000031,0.010000000000001563,23.75,0.25
24.03,0.2699999999999996,,,
24.29,0.259999999999998,0.0,24.29,
24.58,0.28999999999999915,,,
24.84,0.26000000000000156,0.010000000000001563,24.83,
25.1,0.26000000000000156,-0.019999999999999574,25.12,0.2900000000000027
25.38,0.2799999999999976,0.019999999999999574,25.36,0.23999999999999844
25.64,0.26000000000000156,0.0,25.64,0.28000000000000114
25.91,0.2699999999999996,0.010000000000001563,25.9,0.259999999999998
26.2,0.28999999999999915,0.029999999999997584,26.17,0.2700000000000031
26.46,0.26000000000000156,0.019999999999999574,26.44,0.2699999999999996
26.73,0.2699999999999996,,,
26.98,0.25,0.0,26.98,
27.25,0.2699999999999996,-0.019999999999999574,27.27,0.28999999999999915
27.52,0.2699999999999996,0.00999999999999801,27.51,0.240000000000002
27.79,0.2699999999999996,0.00999999999999801,27.78,0.2699999999999996
28.04,0.25,0.0,28.04,0.259999999999998
28.33,0.28999999999999915,,,
28.59,0.26000000000000156,0.010000000000001563,28.58,
28.87,0.28000000000000114,,,
29.13,0.259999999999998,0.00999999999999801,29.12,
29.39,0.26000000000000156,,,
29.65,0.259999999999998,0.0,29.65,
29.92,0.2700000000000031,-0.00999999999999801,29.93,0.28000000000000114
30.19,0.2699999999999996,0.0,30.19,0.26000000000000156
30.46,0.2699999999999996,-0.019999999999999574,30.48,0.28999999999999915
30.73,0.2699999999999996,0.0,30.73,0.25
31.0,0.2699999999999996,,,
31.26,0.26000000000000156,-0.00999999999999801,31.27,
31.54,0.2799999999999976,-0.010000000000001563,31.55,0.28000000000000114
31.81,0.2699999999999996,0.00999999999999801,31.8,0.25
32.08,0.2699999999999996,-0.010000000000005116,32.09,0.2900000000000027
32.34,0.2600000000000051,-0.00999999999999801,32.35,0.259999999999998
,,,,
32.88,,0.0,32.88,
33.16,0.27999999999999403,,,
33.42,0.2600000000000051,0.020000000000003126,33.4,
33.67,0.25,,,
33.95,0.28000000000000114,0.0,33.95,
34.23,0.27999999999999403,0.0,34.23,0.27999999999999403
34.5,0.2700000000000031,0.0,34.5,0.2700000000000031
,,,,
35.02,,-0.01999999999999602,35.04,
35.3,0.27999999999999403,-0.05000000000000426,35.35,0.3100000000000023
35.56,0.2600000000000051,-0.01999999999999602,35.58,0.22999999999999687
35.83,0.269999999999996,,,
36.12,0.28999999999999915,0.00999999999999801,36.11,
36.4,0.28000000000000114,-0.00999999999999801,36.41,0.29999999999999716
36.65,0.25,0.0,36.65,0.240000000000002
36.93,0.28000000000000114,,,
37.17,0.240000000000002,,,
37.44,0.269999999999996,0.0,37.44,
37.7,0.2600000000000051,,,
37.98,0.27999999999999403,,,
38.27,0.29000000000000625,0.0,38.27,
38.55,0.27999999999999403,-0.020000000000003126,38.57,0.29999999999999716
38.82,0.2700000000000031,0.0,38.82,0.25
39.08,0.259999999999998,,,
39.36,0.28000000000000114,0.0,39.36,
39.63,0.2700000000000031,-0.02999999999999403,39.66,0.29999999999999716
39.91,0.27999999999999403,0.0,39.91,0.25
40.16,0.25,-0.030000000000001137,40.19,0.28000000000000114
40.46,0.30000000000000426,0.020000000000003126,40.44,0.25
40.72,0.259999999999998,,,
40.98,0.259999999999998,-0.010000000000005116,40.99,
41.27,0.29000000000000625,,,
41.53,0.259999999999998,0.0,41.53,
41.8,0.269999999999996,0.0,41.8,0.269999999999996
42.06,0.2600000000000051,0.010000000000005116,42.05,0.25
42.34,0.28000000000000114,,,
,,,42.62,
42.88,,-0.03999999999999915,42.92,0.30000000000000426
43.15,0.269999999999996,-0.00999999999999801,43.16,0.23999999999999488
43.41,0.259999999999998,-0.04000000000000625,43.45,0.29000000000000625
,,,43.68,0.22999999999999687
43.97,,,,
44.23,0.259999999999998,0.0,44.23,
44.5,0.2700000000000031,-0.020000000000003126,44.52,0.29000000000000625
44.76,0.259999999999998,-0.010000000000005116,44.77,0.25
45.04,0.28000000000000114,-0.00999999999999801,45.05,0.27999999999999403
45.35,0.3100000000000023,0.030000000000001137,45.32,0.2700000000000031
,,,,
45.84,,-0.01999999999999602,45.86,
46.11,0.269999999999996,,,
46.38,0.2700000000000031,0.010000000000005116,46.37,
46.65,0.269999999999996,,,
46.9,0.25,-0.020000000000003126,46.92,
47.19,0.28999999999999915,0.00999999999999801,47.18,0.259999999999998
47.45,0.2600000000000051,0.010000000000005116,47.44,0.259999999999998
47.69,0.23999999999999488,,,
47.97,0.28000000000000114,0.0,47.97,
48.22,0.25,,,
48.5,0.28000000000000114,-0.020000000000003126,48.52,
48.76,0.259999999999998,,,
49.04,0.28000000000000114,0.0,49.04,
49.32,0.28000000000000114,,,
49.58,0.259999999999998,0.00999999999999801,49.57,
49.86,0.28000000000000114,-0.020000000000003126,49.88,0.3100000000000023
50.1,0.240000000000002,-0.00999999999999801,50.11,0.22999999999999687
50.38,0.28000000000000114,,,
50.64,0.259999999999998,0.0,50.64,
50.94,0.29999999999999716,0.00999999999999801,50.93,0.28999999999999915
51.2,0.2600000000000051,0.020000000000003126,51.18,0.25
,,,51.47,0.28999999999999915
,,,51.73,0.259999999999998
,,,52.01,0.28000000000000114
,,,52.27,0.2600000000000051
,,,,
,,,52.82,
,,,53.08,0.259999999999998
,,,53.35,0.2700000000000031
