Tap Time,ITI,Asynchornies,Tone Time,IOI
0.39,0.26,0.020000000000000018,0.37,0.25
0.64,0.25,0.010000000000000009,0.63,0.26
0.89,0.25,-0.010000000000000009,0.9,0.27
1.15,0.2599999999999999,0.0,1.15,0.2499999999999999
1.41,0.26,0.0,1.41,0.26
1.67,0.26,0.0,1.67,0.26
1.91,0.24,-0.010000000000000009,1.92,0.25
2.18,0.27000000000000024,-0.009999999999999787,2.19,0.27
2.45,0.27,0.0,2.45,0.26000000000000023
2.71,0.2599999999999998,-0.010000000000000231,2.72,0.27
2.96,0.25,-0.020000000000000018,2.98,0.2599999999999998
3.22,0.26000000000000023,-0.009999999999999787,3.23,0.25
3.49,0.27,-0.009999999999999787,3.5,0.27
3.74,0.25,-0.019999999999999574,3.76,0.2599999999999998
4.0,0.2599999999999998,-0.009999999999999787,4.01,0.25
4.25,0.25,-0.03000000000000025,4.28,0.27000000000000046
4.52,0.2699999999999996,-0.010000000000000675,4.53,0.25
4.78,0.2600000000000007,-0.019999999999999574,4.8,0.2699999999999996
5.03,0.25,-0.019999999999999574,5.05,0.25
5.3,0.2699999999999996,-0.009999999999999787,5.31,0.2599999999999998
5.55,0.25,-0.020000000000000462,5.57,0.2600000000000007
5.83,0.28000000000000025,0.009999999999999787,5.82,0.25
6.07,0.2400000000000002,0.010000000000000675,6.06,0.23999999999999932
6.34,0.2699999999999996,,,
6.58,0.2400000000000002,0.0,6.58,
6.84,0.2599999999999998,-0.009999999999999787,6.85,0.2699999999999996
7.08,0.2400000000000002,-0.019999999999999574,7.1,0.25
7.35,0.2699999999999996,,,
7.6,0.25,-0.020000000000000462,7.62,
7.87,0.27000000000000046,0.0,7.87,0.25
,,,,
8.38,,0.010000000000001563,8.37,
8.63,0.25,0.010000000000001563,8.62,0.25
8.88,0.25,0.010000000000001563,8.87,0.25
9.13,0.25,-0.009999999999999787,9.14,0.27000000000000135
9.39,0.2599999999999998,0.0,9.39,0.25
9.63,0.2400000000000002,-0.019999999999999574,9.65,0.2599999999999998
9.87,0.23999999999999844,-0.030000000000001137,9.9,0.25
10.15,0.28000000000000114,0.009999999999999787,10.14,0.2400000000000002
10.42,0.2699999999999996,0.009999999999999787,10.41,0.2699999999999996
10.64,0.22000000000000064,-0.02999999999999936,10.67,0.2599999999999998
10.91,0.2699999999999996,-0.019999999999999574,10.93,0.2599999999999998
11.16,0.25,-0.009999999999999787,11.17,0.2400000000000002
11.42,0.2599999999999998,-0.019999999999999574,11.44,0.2699999999999996
11.67,0.25,-0.019999999999999574,11.69,0.25
11.91,0.2400000000000002,-0.019999999999999574,11.93,0.2400000000000002
12.17,0.2599999999999998,-0.02999999999999936,12.2,0.2699999999999996
12.43,0.2599999999999998,-0.009999999999999787,12.44,0.2400000000000002
12.69,0.2599999999999998,,,
12.93,0.2400000000000002,-0.019999999999999574,12.95,
13.2,0.2699999999999996,-0.010000000000001563,13.21,0.26000000000000156
13.45,0.25,-0.010000000000001563,13.46,0.25
13.7,0.25,0.0,13.7,0.23999999999999844
13.98,0.28000000000000114,0.019999999999999574,13.96,0.26000000000000156
14.2,0.21999999999999886,0.009999999999999787,14.19,0.22999999999999865
14.44,0.2400000000000002,0.009999999999999787,14.43,0.2400000000000002
14.68,0.2400000000000002,-0.009999999999999787,14.69,0.2599999999999998
14.95,0.2699999999999996,0.0,14.95,0.2599999999999998
15.18,0.23000000000000043,0.0,15.18,0.23000000000000043
15.43,0.25,0.0,15.43,0.25
15.66,0.23000000000000043,-0.019999999999999574,15.68,0.25
15.9,0.2400000000000002,-0.009999999999999787,15.91,0.23000000000000043
16.18,0.27999999999999936,0.0,16.18,0.2699999999999996
16.43,0.25,-0.019999999999999574,16.45,0.2699999999999996
16.68,0.25,-0.019999999999999574,16.7,0.25
16.94,0.26000000000000156,-0.019999999999999574,16.96,0.26000000000000156
17.19,0.25,-0.019999999999999574,17.21,0.25
17.45,0.259999999999998,-0.019999999999999574,17.47,0.259999999999998
,,,17.7,0.23000000000000043
17.97,,0.0,17.97,0.2699999999999996
18.22,0.25,0.00999999999999801,18.21,0.240000000000002
18.47,0.25,-0.010000000000001563,18.48,0.2699999999999996
18.74,0.2699999999999996,0.00999999999999801,18.73,0.25
18.99,0.25,0.00999999999999801,18.98,0.25
19.22,0.23000000000000043,0.0,19.22,0.23999999999999844
19.47,0.25,-0.010000000000001563,19.48,0.26000000000000156
19.72,0.25,0.00999999999999801,19.71,0.23000000000000043
19.97,0.25,-0.010000000000001563,19.98,0.2699999999999996
20.23,0.26000000000000156,0.010000000000001563,20.22,0.23999999999999844
20.47,0.23999999999999844,0.0,20.47,0.25
20.7,0.23000000000000043,-0.030000000000001137,20.73,0.26000000000000156
20.97,0.2699999999999996,-0.010000000000001563,20.98,0.25
21.22,0.25,-0.019999999999999574,21.24,0.259999999999998
21.47,0.25,-0.019999999999999574,21.49,0.25
21.74,0.2699999999999996,,,
21.99,0.25,0.019999999999999574,21.97,
22.23,0.240000000000002,0.0,22.23,0.26000000000000156
22.49,0.259999999999998,0.0,22.49,0.259999999999998
22.71,0.22000000000000242,-0.029999999999997584,22.74,0.25
22.98,0.2699999999999996,-0.019999999999999574,23.0,0.26000000000000156
23.22,0.23999999999999844,-0.030000000000001137,23.25,0.25
23.48,0.26000000000000156,-0.019999999999999574,23.5,0.25
,,,23.74,0.23999999999999844
23.98,,-0.00999999999999801,23.99,0.25
,,,,
,,,24.5,
24.75,,-0.010000000000001563,24.76,0.26000000000000156
25.0,0.25,-0.019999999999999574,25.02,0.259999999999998
25.26,0.26000000000000156,-0.00999999999999801,25.27,0.25
25.52,0.259999999999998,0.00999999999999801,25.51,0.240000000000002
25.76,0.240000000000002,-0.019999999999999574,25.78,0.2699999999999996
26.02,0.259999999999998,-0.030000000000001137,26.05,0.2699999999999996
26.28,0.26000000000000156,,,
26.53,0.25,-0.019999999999999574,26.55,
26.79,0.259999999999998,-0.010000000000001563,26.8,0.25
27.05,0.26000000000000156,-0.00999999999999801,27.06,0.259999999999998
27.28,0.23000000000000043,-0.029999999999997584,27.31,0.25
27.55,0.2699999999999996,-0.00999999999999801,27.56,0.25
27.81,0.259999999999998,,,
28.07,0.26000000000000156,0.0,28.07,
28.32,0.25,0.010000000000001563,28.31,0.23999999999999844
28.58,0.259999999999998,,,
28.82,0.240000000000002,-0.00999999999999801,28.83,
29.08,0.259999999999998,-0.020000000000003126,29.1,0.2700000000000031
29.33,0.25,,,
29.6,0.2700000000000031,-0.00999999999999801,29.61,
,,,29.84,0.23000000000000043
30.08,,,,
30.35,0.2700000000000031,0.0,30.35,
30.59,0.23999999999999844,-0.019999999999999574,30.61,0.259999999999998
30.84,0.25,-0.019999999999999574,30.86,0.25
31.09,0.25,-0.019999999999999574,31.11,0.25
31.36,0.2699999999999996,0.00999999999999801,31.35,0.240000000000002
31.59,0.23000000000000043,0.010000000000001563,31.58,0.22999999999999687
31.8,0.21000000000000085,0.0,31.8,0.22000000000000242
32.07,0.2699999999999996,0.00999999999999801,32.06,0.26000000000000156
32.32,0.25,,,
32.58,0.259999999999998,0.00999999999999801,32.57,
32.83,0.25,0.00999999999999801,32.82,0.25
33.08,0.25,0.0,33.08,0.259999999999998
33.33,0.25,0.0,33.33,0.25
33.59,0.2600000000000051,0.0,33.59,0.2600000000000051
33.83,0.23999999999999488,-0.010000000000005116,33.84,0.25
34.1,0.2700000000000031,0.0,34.1,0.259999999999998
34.34,0.240000000000002,-0.00999999999999801,34.35,0.25
34.6,0.259999999999998,0.0,34.6,0.25
34.85,0.25,-0.00999999999999801,34.86,0.259999999999998
35.11,0.259999999999998,-0.020000000000003126,35.13,0.2700000000000031
35.38,0.2700000000000031,0.010000000000005116,35.37,0.23999999999999488
35.61,0.22999999999999687,-0.020000000000003126,35.63,0.2600000000000051
35.87,0.259999999999998,0.0,35.87,0.23999999999999488
36.13,0.2600000000000051,0.010000000000005116,36.12,0.25
36.38,0.25,0.0,36.38,0.2600000000000051
36.64,0.259999999999998,0.0,36.64,0.259999999999998
36.88,0.240000000000002,-0.00999999999999801,36.89,0.25
37.14,0.259999999999998,0.0,37.14,0.25
37.37,0.22999999999999687,-0.020000000000003126,37.39,0.25
37.62,0.25,-0.020000000000003126,37.64,0.25
37.88,0.2600000000000051,-0.00999999999999801,37.89,0.25
38.12,0.23999999999999488,-0.020000000000003126,38.14,0.25
38.38,0.2600000000000051,0.010000000000005116,38.37,0.22999999999999687
38.64,0.259999999999998,0.00999999999999801,38.63,0.2600000000000051
38.88,0.240000000000002,0.0,38.88,0.25
39.13,0.25,,,
39.39,0.259999999999998,0.0,39.39,
39.64,0.25,-0.00999999999999801,39.65,0.259999999999998
39.9,0.259999999999998,0.0,39.9,0.25
40.16,0.259999999999998,0.0,40.16,0.259999999999998
40.4,0.240000000000002,,,
40.64,0.240000000000002,-0.01999999999999602,40.66,
40.9,0.259999999999998,0.00999999999999801,40.89,0.23000000000000398
41.14,0.240000000000002,,,
41.4,0.259999999999998,-0.00999999999999801,41.41,
41.66,0.259999999999998,-0.010000000000005116,41.67,0.2600000000000051
41.9,0.240000000000002,,,
42.16,0.259999999999998,-0.020000000000003126,42.18,
42.4,0.240000000000002,-0.020000000000003126,42.42,0.240000000000002
42.67,0.2700000000000031,-0.00999999999999801,42.68,0.259999999999998
42.91,0.23999999999999488,-0.010000000000005116,42.92,0.240000000000002
43.17,0.2600000000000051,0.010000000000005116,43.16,0.23999999999999488
43.42,0.25,0.020000000000003126,43.4,0.240000000000002
43.68,0.259999999999998,0.0,43.68,0.28000000000000114
43.93,0.25,0.030000000000001137,43.9,0.21999999999999886
44.18,0.25,,,
44.42,0.240000000000002,0.010000000000005116,44.41,
44.66,0.23999999999999488,0.0,44.66,0.25
44.9,0.240000000000002,-0.020000000000003126,44.92,0.2600000000000051
45.16,0.259999999999998,-0.020000000000003126,45.18,0.259999999999998
45.43,0.2700000000000031,-0.00999999999999801,45.44,0.259999999999998
45.67,0.240000000000002,-0.01999999999999602,45.69,0.25
45.91,0.23999999999999488,-0.020000000000003126,45.93,0.240000000000002
46.17,0.2600000000000051,-0.01999999999999602,46.19,0.259999999999998
46.42,0.25,0.0,46.42,0.23000000000000398
46.65,0.22999999999999687,-0.05000000000000426,46.7,0.28000000000000114
46.9,0.25,-0.030000000000001137,46.93,0.22999999999999687
47.16,0.259999999999998,-0.030000000000001137,47.19,0.259999999999998
47.43,0.2700000000000031,,,
47.69,0.259999999999998,-0.010000000000005116,47.7,
47.92,0.23000000000000398,-0.03999999999999915,47.96,0.259999999999998
48.19,0.269999999999996,,,
,,,48.46,
48.7,,0.0,48.7,0.240000000000002
48.96,0.259999999999998,0.030000000000001137,48.93,0.22999999999999687
49.21,0.25,-0.01999999999999602,49.23,0.29999999999999716
49.47,0.259999999999998,-0.00999999999999801,49.48,0.25
49.72,0.25,-0.020000000000003126,49.74,0.2600000000000051
49.96,0.240000000000002,-0.030000000000001137,49.99,0.25
50.21,0.25,-0.030000000000001137,50.24,0.25
50.48,0.269999999999996,,,
50.74,0.2600000000000051,-0.00999999999999801,50.75,
50.97,0.22999999999999687,-0.020000000000003126,50.99,0.240000000000002
51.22,0.25,-0.030000000000001137,51.25,0.259999999999998
51.49,0.2700000000000031,0.0,51.49,0.240000000000002
51.76,0.269999999999996,0.01999999999999602,51.74,0.25
51.98,0.21999999999999886,0.00999999999999801,51.97,0.22999999999999687
52.23,0.25,0.0,52.23,0.259999999999998
52.49,0.2600000000000051,0.010000000000005116,52.48,0.25
52.76,0.269999999999996,,,
52.97,0.21000000000000085,-0.00999999999999801,52.98,
53.24,0.2700000000000031,0.010000000000005116,53.23,0.25
53.48,0.23999999999999488,0.00999999999999801,53.47,0.240000000000002
53.72,0.240000000000002,-0.030000000000001137,53.75,0.28000000000000114
53.96,0.240000000000002,-0.01999999999999602,53.98,0.22999999999999687
54.23,0.269999999999996,-0.010000000000005116,54.24,0.2600000000000051
54.48,0.25,0.00999999999999801,54.47,0.22999999999999687
54.75,0.2700000000000031,0.020000000000003126,54.73,0.259999999999998
54.97,0.21999999999999886,,,
55.22,0.25,-0.020000000000003126,55.24,
55.46,0.240000000000002,,,
55.71,0.25,-0.030000000000001137,55.74,
,,,55.98,0.23999999999999488
56.22,,-0.030000000000001137,56.25,0.2700000000000031
56.48,0.259999999999998,-0.030000000000001137,56.51,0.259999999999998
56.74,0.2600000000000051,-0.00999999999999801,56.75,0.240000000000002
57.0,0.259999999999998,-0.00999999999999801,57.01,0.259999999999998
57.25,0.25,-0.00999999999999801,57.26,0.25
57.51,0.259999999999998,0.00999999999999801,57.5,0.240000000000002
57.77,0.2600000000000051,-0.00999999999999801,57.78,0.28000000000000114
58.02,0.25,0.0,58.02,0.240000000000002
58.29,0.269999999999996,0.0,58.29,0.269999999999996
58.55,0.259999999999998,0.01999999999999602,58.53,0.240000000000002
58.8,0.25,0.00999999999999801,58.79,0.259999999999998
59.04,0.240000000000002,,,
59.28,0.240000000000002,-0.00999999999999801,59.29,
59.53,0.25,0.00999999999999801,59.52,0.23000000000000398
59.77,0.240000000000002,,,
60.02,0.25,,,
60.28,0.259999999999998,0.0,60.28,
60.53,0.25,0.00999999999999801,60.52,0.240000000000002
60.75,0.21999999999999886,0.0,60.75,0.22999999999999687
61.0,0.25,0.0,61.0,0.25
61.25,0.25,-0.00999999999999801,61.26,0.259999999999998
61.51,0.259999999999998,0.0,61.51,0.25
61.76,0.25,0.00999999999999801,61.75,0.240000000000002
61.98,0.21999999999999886,-0.020000000000003126,62.0,0.25
62.25,0.2700000000000031,0.0,62.25,0.25
62.51,0.259999999999998,0.01999999999999602,62.49,0.240000000000002
62.76,0.25,0.03999999999999915,62.72,0.22999999999999687
62.99,0.23000000000000398,0.020000000000003126,62.97,0.25
63.24,0.25,0.010000000000005116,63.23,0.259999999999998
63.46,0.21999999999999886,0.0,63.46,0.23000000000000398
63.71,0.25,0.0,63.71,0.25
63.94,0.22999999999999687,-0.020000000000003126,63.96,0.25
64.16,0.21999999999999886,-0.020000000000010232,64.18,0.22000000000000597
64.42,0.2600000000000051,-0.01999999999999602,64.44,0.2599999999999909
64.68,0.2600000000000051,-0.009999999999990905,64.69,0.25
64.94,0.2599999999999909,0.009999999999990905,64.93,0.2400000000000091
65.2,0.2600000000000051,0.0,65.2,0.269999999999996
65.45,0.25,,,
65.71,0.2599999999999909,0.0,65.71,
65.94,0.23000000000000398,0.0,65.94,0.23000000000000398
66.2,0.2600000000000051,0.010000000000005116,66.19,0.25
66.45,0.25,,,
66.71,0.2599999999999909,0.009999999999990905,66.7,
66.95,0.2400000000000091,0.010000000000005116,66.94,0.23999999999999488
67.21,0.2599999999999909,0.01999999999999602,67.19,0.25
67.44,0.23000000000000398,0.01999999999999602,67.42,0.23000000000000398
67.71,0.269999999999996,0.01999999999999602,67.69,0.269999999999996
67.94,0.23000000000000398,-0.010000000000005116,67.95,0.2600000000000051
,,,68.2,0.25
68.43,,,,
68.69,0.2599999999999909,0.0,68.69,
68.94,0.25,0.0,68.94,0.25
69.19,0.25,-0.030000000000001137,69.22,0.28000000000000114
69.45,0.2600000000000051,-0.009999999999990905,69.46,0.23999999999999488
69.72,0.269999999999996,0.0,69.72,0.2600000000000051
69.97,0.25,-0.01999999999999602,69.99,0.269999999999996
70.23,0.2600000000000051,-0.01999999999999602,70.25,0.2600000000000051
70.49,0.2599999999999909,-0.020000000000010232,70.51,0.2600000000000051
70.75,0.2600000000000051,0.0,70.75,0.23999999999999488
70.99,0.23999999999999488,-0.010000000000005116,71.0,0.25
71.23,0.2400000000000091,-0.01999999999999602,71.25,0.25
71.49,0.2599999999999909,-0.010000000000005116,71.5,0.25
71.75,0.2600000000000051,0.0,71.75,0.25
71.98,0.23000000000000398,-0.01999999999999602,72.0,0.25
72.26,0.28000000000000114,,,
72.51,0.25,0.010000000000005116,72.5,
72.75,0.23999999999999488,-0.010000000000005116,72.76,0.2600000000000051
73.01,0.2600000000000051,0.010000000000005116,73.0,0.23999999999999488
73.25,0.23999999999999488,0.0,73.25,0.25
73.49,0.23999999999999488,-0.010000000000005116,73.5,0.25
73.75,0.2600000000000051,-0.010000000000005116,73.76,0.2600000000000051
74.0,0.25,-0.01999999999999602,74.02,0.2599999999999909
74.25,0.25,-0.01999999999999602,74.27,0.25
74.51,0.2600000000000051,-0.01999999999999602,74.53,0.2600000000000051
74.76,0.25,-0.030000000000001137,74.79,0.2600000000000051
75.02,0.2599999999999909,,,
75.27,0.25,0.01999999999999602,75.25,
75.5,0.23000000000000398,0.0,75.5,0.25
75.76,0.2600000000000051,-0.009999999999990905,75.77,0.269999999999996
76.02,0.2599999999999909,0.0,76.02,0.25
76.26,0.2400000000000091,0.0,76.26,0.2400000000000091
76.51,0.25,0.0,76.51,0.25
76.77,0.2599999999999909,0.01999999999999602,76.75,0.23999999999999488
77.0,0.23000000000000398,-0.010000000000005116,77.01,0.2600000000000051
77.23,0.23000000000000398,0.0,77.23,0.21999999999999886
77.49,0.2599999999999909,0.009999999999990905,77.48,0.25
77.74,0.25,-0.010000000000005116,77.75,0.269999999999996
78.0,0.2600000000000051,0.030000000000001137,77.97,0.21999999999999886
78.24,0.23999999999999488,0.0,78.24,0.269999999999996
78.47,0.23000000000000398,-0.01999999999999602,78.49,0.25
78.71,0.23999999999999488,-0.030000000000001137,78.74,0.25
78.97,0.2600000000000051,-0.010000000000005116,78.98,0.2400000000000091
79.23,0.2600000000000051,,,
79.46,0.22999999999998977,,,
79.71,0.25,-0.010000000000005116,79.72,
79.94,0.23000000000000398,-0.07000000000000739,80.01,0.29000000000000625
80.2,0.2600000000000051,-0.009999999999990905,80.21,0.19999999999998863
80.44,0.23999999999999488,-0.030000000000001137,80.47,0.2600000000000051
80.7,0.2600000000000051,-0.009999999999990905,80.71,0.23999999999999488
80.96,0.2599999999999909,0.0,80.96,0.25
81.24,0.28000000000000114,0.009999999999990905,81.23,0.27000000000001023
81.48,0.2400000000000091,0.0,81.48,0.25
81.74,0.2599999999999909,0.009999999999990905,81.73,0.25
81.97,0.23000000000000398,,,
82.22,0.25,0.0,82.22,
82.47,0.25,,,
82.71,0.23999999999999488,-0.020000000000010232,82.73,
82.97,0.2600000000000051,0.010000000000005116,82.96,0.22999999999998977
83.23,0.2600000000000051,0.0,83.23,0.27000000000001023
83.48,0.25,0.030000000000001137,83.45,0.21999999999999886
83.72,0.23999999999999488,,,
83.96,0.23999999999999488,0.009999999999990905,83.95,
84.2,0.2400000000000091,-0.030000000000001137,84.23,0.28000000000000114
84.46,0.2599999999999909,,,
84.72,0.2600000000000051,0.0,84.72,
84.95,0.23000000000000398,-0.009999999999990905,84.96,0.23999999999999488
85.2,0.25,-0.01999999999999602,85.22,0.2600000000000051
85.46,0.2599999999999909,-0.010000000000005116,85.47,0.25
85.7,0.2400000000000091,-0.009999999999990905,85.71,0.23999999999999488
85.95,0.25,-0.009999999999990905,85.96,0.25
86.2,0.25,0.010000000000005116,86.19,0.23000000000000398
86.45,0.25,,,
86.68,0.23000000000000398,-0.029999999999986926,86.71,
86.93,0.25,,,
87.2,0.269999999999996,,,
87.44,0.23999999999999488,-0.01999999999999602,87.46,
87.7,0.2600000000000051,,,
