Tap Time,ITI,Asynchornies,Tone Time,IOI
0.31,0.29,0.020000000000000018,0.29,0.27999999999999997
0.58,0.26999999999999996,0.010000000000000009,0.57,0.27999999999999997
0.87,0.29000000000000004,,,
1.16,0.2899999999999999,0.0,1.16,
1.44,0.28,,,
1.72,0.28,-0.020000000000000018,1.74,
2.03,0.30999999999999983,,,
2.31,0.28000000000000025,0.020000000000000018,2.29,
2.6,0.29000000000000004,,,
2.89,0.29000000000000004,0.010000000000000231,2.88,
3.2,0.31000000000000005,,,
3.46,0.2599999999999998,0.009999999999999787,3.45,
3.74,0.28000000000000025,,,
4.02,0.27999999999999936,-0.010000000000000675,4.03,
4.32,0.3000000000000007,,,
4.6,0.27999999999999936,0.0,4.6,
4.89,0.29000000000000004,,,
5.19,0.3000000000000007,0.0,5.19,
5.49,0.2999999999999998,,,
5.77,0.27999999999999936,0.009999999999999787,5.76,
6.08,0.3100000000000005,,,
6.35,0.2699999999999996,0.0,6.35,
6.65,0.3000000000000007,0.010000000000000675,6.64,0.29000000000000004
,,,6.92,0.28000000000000025
7.23,,,,
7.51,0.27999999999999936,-0.009999999999999787,7.52,
7.8,0.29000000000000004,,,
8.11,0.3099999999999996,0.02999999999999936,8.08,
8.39,0.28000000000000114,0.0,8.39,0.3100000000000005
8.67,0.27999999999999936,0.009999999999999787,8.66,0.2699999999999996
8.96,0.2900000000000009,-0.009999999999999787,8.97,0.3100000000000005
9.24,0.27999999999999936,0.0,9.24,0.2699999999999996
9.54,0.29999999999999893,,,
9.83,0.2900000000000009,0.019999999999999574,9.81,
10.11,0.27999999999999936,0.009999999999999787,10.1,0.28999999999999915
10.39,0.28000000000000114,0.02000000000000135,10.37,0.2699999999999996
10.68,0.28999999999999915,,,
10.96,0.28000000000000114,0.010000000000001563,10.95,
11.24,0.27999999999999936,,,
11.51,0.2699999999999996,0.0,11.51,
11.8,0.2900000000000009,0.0,11.8,0.2900000000000009
12.07,0.2699999999999996,0.0,12.07,0.2699999999999996
12.36,0.28999999999999915,-0.009999999999999787,12.37,0.29999999999999893
12.64,0.28000000000000114,0.0,12.64,0.27000000000000135
12.94,0.29999999999999893,,,
13.22,0.28000000000000114,0.02000000000000135,13.2,
13.5,0.27999999999999936,0.0,13.5,0.3000000000000007
13.77,0.2699999999999996,0.0,13.77,0.2699999999999996
14.08,0.3100000000000005,0.019999999999999574,14.06,0.2900000000000009
,,,14.33,0.2699999999999996
14.64,,-0.03999999999999915,14.68,0.34999999999999964
14.91,0.2699999999999996,-0.019999999999999574,14.93,0.25
15.21,0.3000000000000007,,,
15.48,0.2699999999999996,0.0,15.48,
15.76,0.27999999999999936,,,
16.03,0.27000000000000135,-0.00999999999999801,16.04,
16.32,0.28999999999999915,,,
16.61,0.28999999999999915,-0.010000000000001563,16.62,
16.9,0.28999999999999915,,,
17.18,0.28000000000000114,-0.010000000000001563,17.19,
17.47,0.28999999999999915,,,
17.76,0.2900000000000027,0.010000000000001563,17.75,
18.05,0.28999999999999915,,,
18.33,0.2799999999999976,0.0,18.33,
18.61,0.28000000000000114,-0.019999999999999574,18.63,0.3000000000000007
18.89,0.28000000000000114,-0.030000000000001137,18.92,0.2900000000000027
19.18,0.28999999999999915,,,
19.46,0.28000000000000114,-0.00999999999999801,19.47,
19.75,0.28999999999999915,0.0,19.75,0.28000000000000114
20.03,0.28000000000000114,-0.00999999999999801,20.04,0.28999999999999915
20.32,0.28999999999999915,-0.030000000000001137,20.35,0.3100000000000023
20.61,0.28999999999999915,-0.010000000000001563,20.62,0.2699999999999996
20.9,0.28999999999999915,0.00999999999999801,20.89,0.2699999999999996
21.18,0.28000000000000114,0.019999999999999574,21.16,0.2699999999999996
21.47,0.28999999999999915,,,
21.74,0.2699999999999996,0.019999999999999574,21.72,
22.02,0.28000000000000114,-0.03999999999999915,22.06,0.33999999999999986
22.29,0.2699999999999996,0.0,22.29,0.23000000000000043
22.56,0.2699999999999996,-0.010000000000001563,22.57,0.28000000000000114
