Tap Time,ITI,Asynchornies,Tone Time,IOI
0.49,0.45999999999999996,-0.010000000000000009,0.5,0.47
,,,0.92,0.42000000000000004
1.38,,0.0,1.38,0.45999999999999985
1.81,0.43000000000000016,0.030000000000000027,1.78,0.40000000000000013
2.24,0.43000000000000016,0.020000000000000018,2.22,0.44000000000000017
,,,2.65,0.4299999999999997
3.1,,0.020000000000000018,3.08,0.43000000000000016
,,,3.5,0.41999999999999993
3.95,,-0.020000000000000018,3.97,0.4700000000000002
,,,4.39,0.4199999999999995
4.85,,-0.010000000000000675,4.86,0.47000000000000064
5.27,0.41999999999999993,-0.03000000000000025,5.3,0.4399999999999995
5.72,0.4500000000000002,0.019999999999999574,5.7,0.40000000000000036
,,,6.15,0.4500000000000002
6.58,,,,
,,,7.01,
7.46,,0.009999999999999787,7.45,0.4400000000000004
,,,7.9,0.4500000000000002
8.36,,0.0,8.36,0.4599999999999991
,,,8.79,0.4299999999999997
9.25,,,,
,,,9.65,
10.09,,0.019999999999999574,10.07,0.41999999999999993
,,,10.52,0.4499999999999993
10.96,,0.0,10.96,0.4400000000000013
,,,11.41,0.4499999999999993
11.87,,-0.010000000000001563,11.88,0.47000000000000064
12.3,0.4300000000000015,0.010000000000001563,12.29,0.40999999999999837
12.74,0.4399999999999995,0.02999999999999936,12.71,0.4200000000000017
,,,13.16,0.4499999999999993
13.61,,-0.009999999999999787,13.62,0.4599999999999991
14.03,0.41999999999999993,-0.02000000000000135,14.05,0.4300000000000015
14.5,0.47000000000000064,0.009999999999999787,14.49,0.4399999999999995
,,,14.92,0.4299999999999997
15.39,,0.030000000000001137,15.36,0.4399999999999995
15.83,0.4399999999999995,0.05000000000000071,15.78,0.41999999999999993
16.22,0.3899999999999988,0.019999999999999574,16.2,0.41999999999999993
,,,16.64,0.4400000000000013
17.12,,0.030000000000001137,17.09,0.4499999999999993
,,,17.51,0.4200000000000017
18.01,,0.05000000000000071,17.96,0.4499999999999993
,,,18.4,0.4399999999999977
18.81,,-0.05000000000000071,18.86,0.46000000000000085
,,,19.29,0.4299999999999997
19.72,,0.00999999999999801,19.71,0.4200000000000017
,,,20.13,0.41999999999999815
20.6,,0.030000000000001137,20.57,0.4400000000000013
,,,21.0,0.4299999999999997
21.45,,,,
,,,21.88,
22.29,,-0.05000000000000071,22.34,0.46000000000000085
22.75,0.46000000000000085,-0.010000000000001563,22.76,0.4200000000000017
23.19,0.4400000000000013,,,
,,,23.64,
24.11,,0.03999999999999915,24.07,0.4299999999999997
,,,24.5,0.4299999999999997
24.99,,0.03999999999999915,24.95,0.4499999999999993
25.4,0.41000000000000014,0.03999999999999915,25.36,0.41000000000000014
25.85,0.45000000000000284,0.020000000000003126,25.83,0.46999999999999886
26.27,0.41999999999999815,0.03999999999999915,26.23,0.40000000000000213
26.69,0.4200000000000017,0.0,26.69,0.46000000000000085
,,,27.12,0.4299999999999997
27.62,,0.0400000000000027,27.58,0.4599999999999973
28.02,0.3999999999999986,0.019999999999999574,28.0,0.4200000000000017
28.46,0.4400000000000013,0.010000000000001563,28.45,0.4499999999999993
,,,28.86,0.41000000000000014
29.33,,-0.010000000000001563,29.34,0.4800000000000004
29.77,0.4400000000000013,0.00999999999999801,29.76,0.4200000000000017
