Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4.83,,,,
5.19,0.3600000000000003,0.0,5.19,
5.57,0.3799999999999999,0.020000000000000462,5.55,0.35999999999999943
5.94,0.3700000000000001,0.010000000000000675,5.93,0.3799999999999999
6.31,0.3699999999999992,0.009999999999999787,6.3,0.3700000000000001
6.68,0.3700000000000001,0.019999999999999574,6.66,0.3600000000000003
7.05,0.3700000000000001,0.019999999999999574,7.03,0.3700000000000001
,,,7.39,0.35999999999999943
7.76,,0.0,7.76,0.3700000000000001
,,,8.12,0.35999999999999943
8.51,,0.019999999999999574,8.49,0.370000000000001
8.87,0.35999999999999943,0.0,8.87,0.379999999999999
9.23,0.3600000000000012,0.009999999999999787,9.22,0.3500000000000014
9.59,0.35999999999999943,0.019999999999999574,9.57,0.34999999999999964
9.96,0.370000000000001,0.030000000000001137,9.93,0.35999999999999943
10.3,0.33999999999999986,0.02000000000000135,10.28,0.34999999999999964
10.66,0.35999999999999943,0.019999999999999574,10.64,0.3600000000000012
11.0,0.33999999999999986,,,
11.36,0.35999999999999943,-0.009999999999999787,11.37,
11.74,0.3800000000000008,0.019999999999999574,11.72,0.3500000000000014
,,,12.07,0.34999999999999964
,,,12.45,0.379999999999999
12.79,,-0.010000000000001563,12.8,0.3500000000000014
13.16,0.370000000000001,0.009999999999999787,13.15,0.34999999999999964
13.51,0.34999999999999964,0.0,13.51,0.35999999999999943
13.89,0.3800000000000008,0.02000000000000135,13.87,0.35999999999999943
14.23,0.33999999999999986,-0.009999999999999787,14.24,0.370000000000001
14.6,0.3699999999999992,0.0,14.6,0.35999999999999943
14.98,0.3800000000000008,0.019999999999999574,14.96,0.3600000000000012
15.32,0.33999999999999986,-0.02999999999999936,15.35,0.3899999999999988
15.69,0.3699999999999992,0.009999999999999787,15.68,0.33000000000000007
16.05,0.3600000000000012,0.0,16.05,0.370000000000001
16.4,0.34999999999999787,0.0,16.4,0.34999999999999787
16.76,0.360000000000003,0.0,16.76,0.360000000000003
17.14,0.379999999999999,0.019999999999999574,17.12,0.35999999999999943
17.49,0.34999999999999787,0.019999999999999574,17.47,0.34999999999999787
17.84,0.3500000000000014,0.0,17.84,0.370000000000001
18.2,0.35999999999999943,0.0,18.2,0.35999999999999943
18.57,0.370000000000001,0.019999999999999574,18.55,0.3500000000000014
18.91,0.33999999999999986,0.0,18.91,0.35999999999999943
19.27,0.35999999999999943,0.0,19.27,0.35999999999999943
19.63,0.35999999999999943,0.0,19.63,0.35999999999999943
20.0,0.370000000000001,0.010000000000001563,19.99,0.35999999999999943
20.35,0.3500000000000014,0.0,20.35,0.360000000000003
20.71,0.35999999999999943,0.0,20.71,0.35999999999999943
21.05,0.33999999999999986,-0.00999999999999801,21.06,0.34999999999999787
,,,21.43,0.370000000000001
21.78,,0.0,21.78,0.3500000000000014
22.14,0.35999999999999943,0.0,22.14,0.35999999999999943
22.5,0.35999999999999943,,,
22.85,0.3500000000000014,-0.019999999999999574,22.87,
23.22,0.36999999999999744,0.00999999999999801,23.21,0.33999999999999986
