Tap Time,ITI,Asynchornies,Tone Time,IOI
0.71,0.30999999999999994,0.010000000000000009,0.7,
0.93,0.22000000000000008,,,
,,,1.19,
,,,1.49,0.30000000000000004
1.79,,0.0,1.79,0.30000000000000004
,,,2.05,0.2599999999999998
,,,,
,,,,
2.74,,0.0,2.74,
,,,3.02,0.2799999999999998
3.3,,-0.03000000000000025,3.33,0.31000000000000005
3.6,0.30000000000000027,0.010000000000000231,3.59,0.2599999999999998
3.89,0.29000000000000004,,,
4.16,0.27,,,
4.44,0.28000000000000025,0.010000000000000675,4.43,
4.72,0.27999999999999936,0.009999999999999787,4.71,0.28000000000000025
5.01,0.29000000000000004,,,
,,,5.3,
5.58,,,,
5.86,0.28000000000000025,,,
6.12,0.2599999999999998,-0.019999999999999574,6.14,
,,,6.42,0.28000000000000025
6.67,,-0.020000000000000462,6.69,0.27000000000000046
6.95,0.28000000000000025,0.0,6.95,0.2599999999999998
7.24,0.29000000000000004,0.0,7.24,0.29000000000000004
7.53,0.29000000000000004,-0.009999999999999787,7.54,0.2999999999999998
7.81,0.27999999999999936,0.02999999999999936,7.78,0.2400000000000002
8.1,0.29000000000000004,0.02999999999999936,8.07,0.29000000000000004
8.41,0.3100000000000005,,,
8.67,0.2599999999999998,0.02999999999999936,8.64,
,,,,
9.21,,0.0,9.21,
9.51,0.29999999999999893,0.019999999999999574,9.49,0.27999999999999936
,,,,
10.06,,-0.009999999999999787,10.07,
10.34,0.27999999999999936,0.0,10.34,0.2699999999999996
10.62,0.27999999999999936,0.0,10.62,0.27999999999999936
10.89,0.27000000000000135,,,
11.2,0.3099999999999987,0.049999999999998934,11.15,
11.46,0.26000000000000156,0.040000000000000924,11.42,0.2699999999999996
11.72,0.2599999999999998,0.02000000000000135,11.7,0.27999999999999936
12.0,0.27999999999999936,,,
12.3,0.3000000000000007,0.05000000000000071,12.25,
12.57,0.2699999999999996,0.019999999999999574,12.55,0.3000000000000007
12.84,0.2699999999999996,,,
13.12,0.27999999999999936,0.02999999999999936,13.09,
13.39,0.27000000000000135,0.009999999999999787,13.38,0.2900000000000009
13.68,0.28999999999999915,-0.009999999999999787,13.69,0.3099999999999987
,,,13.96,0.27000000000000135
14.22,,0.0,14.22,0.2599999999999998
,,,,
14.8,,0.030000000000001137,14.77,
15.07,0.2699999999999996,0.030000000000001137,15.04,0.2699999999999996
,,,,
,,,15.6,
15.88,,-0.009999999999999787,15.89,0.2900000000000009
16.15,0.2699999999999978,,,
16.45,0.3000000000000007,0.00999999999999801,16.44,
,,,,
17.0,,0.0,17.0,
17.28,0.28000000000000114,-0.00999999999999801,17.29,0.28999999999999915
17.56,0.2799999999999976,,,
17.86,0.3000000000000007,0.0,17.86,
18.12,0.26000000000000156,0.0,18.12,0.26000000000000156
18.39,0.2699999999999996,0.0,18.39,0.2699999999999996
18.68,0.28999999999999915,0.030000000000001137,18.65,0.259999999999998
18.96,0.28000000000000114,0.0,18.96,0.3100000000000023
19.23,0.2699999999999996,,,
,,,19.51,
19.75,,,,
20.05,0.3000000000000007,-0.019999999999999574,20.07,
20.33,0.2799999999999976,-0.010000000000001563,20.34,0.2699999999999996
20.6,0.2700000000000031,-0.029999999999997584,20.63,0.28999999999999915
20.89,0.28999999999999915,0.010000000000001563,20.88,0.25
21.17,0.28000000000000114,0.010000000000001563,21.16,0.28000000000000114
21.44,0.2699999999999996,,,
21.71,0.2699999999999996,,,
21.99,0.2799999999999976,0.00999999999999801,21.98,
22.27,0.28000000000000114,,,
,,,,
22.82,,0.030000000000001137,22.79,
23.1,0.28000000000000114,0.030000000000001137,23.07,0.28000000000000114
23.33,0.22999999999999687,0.019999999999999574,23.31,0.23999999999999844
23.6,0.2700000000000031,-0.00999999999999801,23.61,0.3000000000000007
23.88,0.2799999999999976,,,
24.14,0.26000000000000156,-0.030000000000001137,24.17,
24.43,0.28999999999999915,,,
24.71,0.28000000000000114,-0.00999999999999801,24.72,
24.98,0.2699999999999996,0.0,24.98,0.26000000000000156
25.25,0.2699999999999996,-0.010000000000001563,25.26,0.28000000000000114
25.52,0.2699999999999996,0.0,25.52,0.259999999999998
25.8,0.28000000000000114,0.019999999999999574,25.78,0.26000000000000156
26.08,0.2799999999999976,0.0,26.08,0.29999999999999716
26.34,0.26000000000000156,,,
26.63,0.28999999999999915,0.00999999999999801,26.62,
26.91,0.28000000000000114,0.010000000000001563,26.9,0.2799999999999976
27.18,0.2699999999999996,0.00999999999999801,27.17,0.2700000000000031
27.44,0.26000000000000156,0.0,27.44,0.2699999999999996
27.72,0.2799999999999976,,,
27.98,0.26000000000000156,,,
28.26,0.28000000000000114,0.030000000000001137,28.23,
28.52,0.259999999999998,,,
,,,28.82,
29.07,,0.010000000000001563,29.06,0.23999999999999844
,,,,
29.65,,,,
29.9,0.25,,,
30.17,0.2700000000000031,0.020000000000003126,30.15,
,,,,
30.69,,-0.00999999999999801,30.7,
31.0,0.3099999999999987,0.019999999999999574,30.98,0.28000000000000114
31.26,0.26000000000000156,,,
31.56,0.29999999999999716,0.029999999999997584,31.53,
31.82,0.26000000000000156,0.010000000000001563,31.81,0.2799999999999976
32.12,0.29999999999999716,0.02999999999999403,32.09,0.2800000000000047
32.38,0.2600000000000051,0.05000000000000426,32.33,0.23999999999999488
32.65,0.269999999999996,0.0,32.65,0.3200000000000003
32.89,0.240000000000002,,,
33.21,0.3200000000000003,0.020000000000003126,33.19,
33.46,0.25,-0.00999999999999801,33.47,0.28000000000000114
,,,33.72,0.25
34.0,,0.0,34.0,0.28000000000000114
,,,34.28,0.28000000000000114
34.54,,0.00999999999999801,34.53,0.25
34.83,0.28999999999999915,0.00999999999999801,34.82,0.28999999999999915
35.1,0.2700000000000031,0.0,35.1,0.28000000000000114
35.38,0.28000000000000114,0.0,35.38,0.28000000000000114
,,,35.65,0.269999999999996
35.93,,0.0,35.93,0.28000000000000114
36.19,0.259999999999998,0.0,36.19,0.259999999999998
36.49,0.30000000000000426,0.010000000000005116,36.48,0.28999999999999915
36.77,0.28000000000000114,0.010000000000005116,36.76,0.28000000000000114
,,,37.04,0.28000000000000114
37.32,,0.00999999999999801,37.31,0.2700000000000031
37.6,0.28000000000000114,0.00999999999999801,37.59,0.28000000000000114
37.85,0.25,0.020000000000003126,37.83,0.23999999999999488
38.16,0.30999999999999517,0.03999999999999915,38.12,0.28999999999999915
,,,38.41,0.28999999999999915
38.68,,0.0,38.68,0.2700000000000031
38.95,0.2700000000000031,-0.00999999999999801,38.96,0.28000000000000114
39.23,0.27999999999999403,,,
,,,,
,,,39.78,
40.05,,0.0,40.05,0.269999999999996
40.33,0.28000000000000114,0.00999999999999801,40.32,0.2700000000000031
,,,40.57,0.25
,,,40.86,0.28999999999999915
41.15,,,,
41.42,0.2700000000000031,0.0,41.42,
,,,,
,,,41.96,
,,,42.24,0.28000000000000114
,,,,
42.77,,,,
,,,43.05,
43.32,,0.0,43.32,0.2700000000000031
,,,,
,,,,
44.15,,0.03999999999999915,44.11,
,,,44.37,0.259999999999998
,,,44.66,0.28999999999999915
,,,44.92,0.2600000000000051
,,,45.18,0.259999999999998
,,,45.45,0.2700000000000031
,,,,
,,,45.98,
,,,,
,,,,
,,,46.81,
,,,47.06,0.25
,,,47.33,0.269999999999996
47.6,,0.03999999999999915,47.56,0.23000000000000398
,,,47.85,0.28999999999999915
48.12,,0.02999999999999403,48.09,0.240000000000002
,,,48.37,0.27999999999999403
,,,48.66,0.28999999999999915
,,,48.9,0.240000000000002
,,,49.2,0.30000000000000426
,,,49.49,0.28999999999999915
,,,49.72,0.22999999999999687
,,,50.02,0.30000000000000426
,,,,
,,,50.58,
,,,50.88,0.30000000000000426
,,,,
,,,51.4,
,,,51.66,0.259999999999998
51.99,,0.03999999999999915,51.95,0.29000000000000625
,,,52.22,0.269999999999996
,,,52.48,0.259999999999998
,,,52.76,0.28000000000000114
53.07,,,,
,,,,
53.62,,0.01999999999999602,53.6,
53.91,0.28999999999999915,,,
54.16,0.25,,,
54.44,0.28000000000000114,0.00999999999999801,54.43,
54.7,0.2600000000000051,0.0,54.7,0.2700000000000031
,,,,
55.25,,0.00999999999999801,55.24,
55.52,0.2700000000000031,,,
55.78,0.259999999999998,,,
56.07,0.28999999999999915,0.00999999999999801,56.06,
56.33,0.259999999999998,0.01999999999999602,56.31,0.25
56.6,0.2700000000000031,-0.00999999999999801,56.61,0.29999999999999716
56.87,0.269999999999996,0.00999999999999801,56.86,0.25
57.13,0.2600000000000051,,,
57.4,0.269999999999996,0.00999999999999801,57.39,
,,,,
57.92,,0.010000000000005116,57.91,
58.18,0.259999999999998,-0.00999999999999801,58.19,0.28000000000000114
58.46,0.28000000000000114,,,
58.72,0.259999999999998,-0.020000000000003126,58.74,
58.99,0.2700000000000031,-0.030000000000001137,59.02,0.28000000000000114
59.29,0.29999999999999716,,,
59.59,0.30000000000000426,0.05000000000000426,59.54,
59.83,0.23999999999999488,-0.010000000000005116,59.84,0.30000000000000426
60.11,0.28000000000000114,0.0,60.11,0.269999999999996
60.37,0.259999999999998,,,
60.64,0.2700000000000031,-0.00999999999999801,60.65,
60.92,0.28000000000000114,,,
61.17,0.25,0.0,61.17,
61.46,0.28999999999999915,0.00999999999999801,61.45,0.28000000000000114
61.72,0.259999999999998,-0.00999999999999801,61.73,0.27999999999999403
61.99,0.2700000000000031,-0.00999999999999801,62.0,0.2700000000000031
62.25,0.259999999999998,-0.030000000000001137,62.28,0.28000000000000114
62.53,0.28000000000000114,,,
62.79,0.259999999999998,-0.00999999999999801,62.8,
63.08,0.28999999999999915,0.0,63.08,0.28000000000000114
63.34,0.2600000000000051,,,
63.62,0.27999999999999403,0.00999999999999801,63.61,
63.87,0.25,-0.010000000000005116,63.88,0.2700000000000031
64.16,0.28999999999999915,0.01999999999999602,64.14,0.259999999999998
64.42,0.2600000000000051,0.01999999999999602,64.4,0.2600000000000051
64.69,0.269999999999996,0.0,64.69,0.28999999999999204
64.96,0.269999999999996,0.0,64.96,0.269999999999996
65.24,0.28000000000000114,0.009999999999990905,65.23,0.27000000000001023
,,,65.5,0.269999999999996
65.78,,0.0,65.78,0.28000000000000114
66.06,0.28000000000000114,0.0,66.06,0.28000000000000114
66.34,0.28000000000000114,-0.009999999999990905,66.35,0.28999999999999204
66.6,0.2599999999999909,-0.020000000000010232,66.62,0.27000000000001023
66.86,0.2600000000000051,-0.030000000000001137,66.89,0.269999999999996
67.16,0.29999999999999716,0.0,67.16,0.269999999999996
67.44,0.28000000000000114,0.0,67.44,0.28000000000000114
67.7,0.2600000000000051,0.0,67.7,0.2600000000000051
67.99,0.28999999999999204,,,
68.25,0.2600000000000051,,,
68.48,0.23000000000000398,-0.009999999999990905,68.49,
68.74,0.2599999999999909,-0.010000000000005116,68.75,0.2600000000000051
69.05,0.3100000000000023,0.04999999999999716,69.0,0.25
69.27,0.21999999999999886,0.030000000000001137,69.24,0.23999999999999488
69.54,0.27000000000001023,0.010000000000005116,69.53,0.29000000000000625
69.79,0.25,0.010000000000005116,69.78,0.25
,,,,
70.32,,0.009999999999990905,70.31,
70.56,0.2400000000000091,-0.009999999999990905,70.57,0.2599999999999909
70.82,0.2599999999999909,-0.020000000000010232,70.84,0.27000000000001023
71.09,0.27000000000001023,-0.01999999999999602,71.11,0.269999999999996
71.36,0.269999999999996,0.0,71.36,0.25
71.64,0.28000000000000114,-0.010000000000005116,71.65,0.29000000000000625
71.91,0.269999999999996,-0.020000000000010232,71.93,0.28000000000000114
72.2,0.29000000000000625,,,
72.46,0.2599999999999909,0.009999999999990905,72.45,
72.73,0.27000000000001023,,,
72.99,0.2599999999999909,,,
,,,73.24,
73.52,,0.01999999999999602,73.5,0.2600000000000051
73.8,0.28000000000000114,,,
74.03,0.23000000000000398,-0.060000000000002274,74.09,
74.29,0.2600000000000051,,,
74.55,0.2599999999999909,0.01999999999999602,74.53,
74.81,0.2600000000000051,0.0,74.81,0.28000000000000114
75.07,0.2599999999999909,-0.060000000000002274,75.13,0.3199999999999932
75.33,0.2600000000000051,-0.04999999999999716,75.38,0.25
,,,75.56,0.18000000000000682
75.86,,,,
,,,76.12,
76.39,,,,
76.66,0.269999999999996,,,
76.93,0.27000000000001023,,,
,,,,
77.45,,-0.04999999999999716,77.5,
,,,77.76,0.2600000000000051
77.99,,,,
,,,78.24,
78.53,,,,
78.78,0.25,0.030000000000001137,78.75,
79.05,0.269999999999996,0.01999999999999602,79.03,0.28000000000000114
79.3,0.25,-0.010000000000005116,79.31,0.28000000000000114
79.57,0.269999999999996,-0.010000000000005116,79.58,0.269999999999996
79.84,0.27000000000001023,0.020000000000010232,79.82,0.23999999999999488
80.09,0.25,-0.01999999999999602,80.11,0.29000000000000625
80.36,0.269999999999996,-0.01999999999999602,80.38,0.269999999999996
80.62,0.2600000000000051,-0.01999999999999602,80.64,0.2600000000000051
80.89,0.269999999999996,0.0,80.89,0.25
81.14,0.25,0.0,81.14,0.25
81.42,0.28000000000000114,0.01999999999999602,81.4,0.2600000000000051
81.66,0.23999999999999488,-0.010000000000005116,81.67,0.269999999999996
81.93,0.27000000000001023,0.010000000000005116,81.92,0.25
82.18,0.25,,,
82.46,0.2799999999999869,0.009999999999990905,82.45,
82.71,0.25,0.0,82.71,0.2599999999999909
82.97,0.2600000000000051,0.0,82.97,0.2600000000000051
83.25,0.28000000000000114,,,
83.5,0.25,,,
,,,,
,,,,
,,,84.41,
,,,84.69,0.28000000000000114
,,,,
,,,85.19,
,,,,
,,,85.71,
,,,86.02,0.3100000000000023
,,,86.23,0.21000000000000796
,,,86.51,0.28000000000000114
86.88,,0.060000000000002274,86.82,0.30999999999998806
87.14,0.2600000000000051,0.01999999999999602,87.12,0.30000000000001137
87.4,0.2600000000000051,,,
,,,87.64,
87.91,,0.0,87.91,0.269999999999996
88.19,0.28000000000000114,0.009999999999990905,88.18,0.27000000000001023
88.43,0.2400000000000091,,,
88.72,0.28999999999999204,0.01999999999999602,88.7,
88.99,0.269999999999996,0.030000000000001137,88.96,0.2599999999999909
89.24,0.25,,,
89.49,0.25,,,
89.76,0.27000000000001023,0.020000000000010232,89.74,
90.02,0.2599999999999909,,,
90.27,0.25,,,
90.56,0.29000000000000625,0.04000000000000625,90.52,
90.8,0.23999999999999488,0.009999999999990905,90.79,0.27000000000001023
