Tap Time,ITI,Asynchornies,Tone Time,IOI
0.4,,0.050000000000000044,0.35,
,,,0.73,0.38
1.13,,0.019999999999999796,1.11,0.3800000000000001
,,,1.49,0.3799999999999999
,,,1.86,0.3700000000000001
2.26,,0.019999999999999574,2.24,0.3800000000000001
2.63,0.3700000000000001,0.029999999999999805,2.6,0.3599999999999999
,,,2.97,0.3700000000000001
3.39,,0.050000000000000266,3.34,0.36999999999999966
,,,3.71,0.3700000000000001
4.11,,0.03000000000000025,4.08,0.3700000000000001
,,,4.46,0.3799999999999999
4.84,,0.019999999999999574,4.82,0.3600000000000003
5.2,0.3600000000000003,0.0,5.2,0.3799999999999999
5.56,0.35999999999999943,0.0,5.56,0.35999999999999943
,,,5.93,0.3700000000000001
6.29,,-0.009999999999999787,6.3,0.3700000000000001
,,,6.66,0.3600000000000003
7.03,,-0.009999999999999787,7.04,0.3799999999999999
,,,7.41,0.3700000000000001
7.78,,0.010000000000000675,7.77,0.35999999999999943
8.15,0.3700000000000001,-0.009999999999999787,8.16,0.39000000000000057
8.51,0.35999999999999943,-0.009999999999999787,8.52,0.35999999999999943
,,,8.88,0.3600000000000012
9.28,,0.019999999999999574,9.26,0.379999999999999
,,,9.63,0.370000000000001
10.01,,0.019999999999999574,9.99,0.35999999999999943
,,,10.37,0.379999999999999
10.76,,0.019999999999999574,10.74,0.370000000000001
11.11,0.34999999999999964,0.009999999999999787,11.1,0.35999999999999943
11.5,0.39000000000000057,0.009999999999999787,11.49,0.39000000000000057
,,,11.85,0.35999999999999943
12.25,,0.019999999999999574,12.23,0.3800000000000008
,,,12.61,0.379999999999999
13.0,,0.009999999999999787,12.99,0.3800000000000008
,,,13.37,0.379999999999999
13.76,,0.02999999999999936,13.73,0.3600000000000012
14.12,0.35999999999999943,0.009999999999999787,14.11,0.379999999999999
14.49,0.370000000000001,0.0,14.49,0.3800000000000008
,,,14.85,0.35999999999999943
15.26,,0.02999999999999936,15.23,0.3800000000000008
,,,15.61,0.379999999999999
15.99,,0.0,15.99,0.3800000000000008
16.37,0.3800000000000008,0.019999999999999574,16.35,0.3600000000000012
16.76,0.39000000000000057,0.030000000000001137,16.73,0.379999999999999
17.11,0.34999999999999787,0.019999999999999574,17.09,0.35999999999999943
17.49,0.379999999999999,0.03999999999999915,17.45,0.35999999999999943
,,,17.83,0.379999999999999
18.18,,-0.010000000000001563,18.19,0.360000000000003
,,,18.55,0.35999999999999943
18.91,,0.0,18.91,0.35999999999999943
,,,19.25,0.33999999999999986
,,,19.63,0.379999999999999
19.98,,0.0,19.98,0.3500000000000014
20.35,0.370000000000001,0.0,20.35,0.370000000000001
,,,20.7,0.34999999999999787
21.06,,0.0,21.06,0.35999999999999943
,,,21.41,0.3500000000000014
21.8,,0.030000000000001137,21.77,0.35999999999999943
,,,22.13,0.35999999999999943
22.53,,0.010000000000001563,22.52,0.39000000000000057
22.88,0.34999999999999787,0.0,22.88,0.35999999999999943
23.28,0.40000000000000213,0.019999999999999574,23.26,0.38000000000000256
,,,23.63,0.36999999999999744
24.05,,0.03999999999999915,24.01,0.38000000000000256
24.43,0.379999999999999,0.03999999999999915,24.39,0.379999999999999
,,,24.77,0.379999999999999
,,,25.12,0.3500000000000014
25.51,,0.010000000000001563,25.5,0.379999999999999
25.88,0.36999999999999744,0.029999999999997584,25.85,0.3500000000000014
26.23,0.3500000000000014,0.010000000000001563,26.22,0.36999999999999744
,,,26.6,0.38000000000000256
26.95,,-0.019999999999999574,26.97,0.36999999999999744
,,,27.33,0.35999999999999943
27.66,,-0.030000000000001137,27.69,0.360000000000003
,,,28.05,0.35999999999999943
28.41,,0.010000000000001563,28.4,0.34999999999999787
28.77,0.35999999999999943,0.00999999999999801,28.76,0.360000000000003
29.14,0.370000000000001,-0.00999999999999801,29.15,0.389999999999997
,,,29.51,0.360000000000003
