Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.5,0.24
0.76,,0.010000000000000009,0.75,0.25
1.01,0.25,,,
1.26,0.25,0.010000000000000009,1.25,
1.49,0.22999999999999998,0.0,1.49,0.24
1.7,0.20999999999999996,-0.030000000000000027,1.73,0.24
1.99,0.29000000000000004,0.030000000000000027,1.96,0.22999999999999998
2.23,0.24,,,
2.49,0.26000000000000023,,,
,,,2.73,
,,,2.95,0.2200000000000002
3.22,,0.010000000000000231,3.21,0.2599999999999998
,,,3.44,0.22999999999999998
3.71,,0.009999999999999787,3.7,0.26000000000000023
3.96,0.25,0.020000000000000018,3.94,0.23999999999999977
4.2,0.2400000000000002,0.0,4.2,0.26000000000000023
4.46,0.2599999999999998,0.03000000000000025,4.43,0.22999999999999954
4.7,0.2400000000000002,0.009999999999999787,4.69,0.2600000000000007
4.96,0.2599999999999998,0.03000000000000025,4.93,0.23999999999999932
5.19,0.23000000000000043,-0.009999999999999787,5.2,0.27000000000000046
5.44,0.25,0.0,5.44,0.2400000000000002
5.7,0.2599999999999998,0.0,5.7,0.2599999999999998
5.93,0.22999999999999954,0.0,5.93,0.22999999999999954
6.18,0.25,-0.010000000000000675,6.19,0.2600000000000007
6.45,0.27000000000000046,0.040000000000000036,6.41,0.21999999999999975
,,,6.67,0.2599999999999998
,,,6.91,0.2400000000000002
,,,7.17,0.2599999999999998
7.42,,0.019999999999999574,7.4,0.23000000000000043
7.67,0.25,0.009999999999999787,7.66,0.2599999999999998
,,,7.89,0.22999999999999954
8.18,,0.0,8.18,0.29000000000000004
8.42,0.2400000000000002,0.02999999999999936,8.39,0.21000000000000085
8.67,0.25,0.019999999999999574,8.65,0.2599999999999998
8.91,0.2400000000000002,0.009999999999999787,8.9,0.25
9.16,0.25,,,
9.42,0.2599999999999998,0.03999999999999915,9.38,
9.67,0.25,0.0,9.67,0.28999999999999915
9.91,0.2400000000000002,0.009999999999999787,9.9,0.23000000000000043
10.14,0.23000000000000043,-0.009999999999999787,10.15,0.25
10.41,0.2699999999999996,0.019999999999999574,10.39,0.2400000000000002
10.66,0.25,0.019999999999999574,10.64,0.25
10.88,0.22000000000000064,0.0,10.88,0.2400000000000002
,,,11.14,0.2599999999999998
11.41,,0.02999999999999936,11.38,0.2400000000000002
11.65,0.2400000000000002,0.019999999999999574,11.63,0.25
,,,11.88,0.25
12.16,,0.02999999999999936,12.13,0.25
12.4,0.2400000000000002,0.019999999999999574,12.38,0.25
12.66,0.2599999999999998,0.02999999999999936,12.63,0.25
,,,12.86,0.22999999999999865
13.13,,0.0,13.13,0.27000000000000135
13.39,0.2599999999999998,0.02000000000000135,13.37,0.23999999999999844
13.64,0.25,0.0,13.64,0.27000000000000135
13.88,0.2400000000000002,0.0,13.88,0.2400000000000002
14.13,0.25,0.0,14.13,0.25
14.39,0.2599999999999998,0.02000000000000135,14.37,0.23999999999999844
14.62,0.22999999999999865,0.0,14.62,0.25
14.86,0.2400000000000002,-0.009999999999999787,14.87,0.25
15.1,0.2400000000000002,-0.019999999999999574,15.12,0.25
15.35,0.25,-0.009999999999999787,15.36,0.2400000000000002
15.62,0.2699999999999996,0.009999999999999787,15.61,0.25
15.86,0.2400000000000002,0.019999999999999574,15.84,0.23000000000000043
16.11,0.25,0.019999999999999574,16.09,0.25
16.36,0.25,0.019999999999999574,16.34,0.25
16.61,0.25,0.00999999999999801,16.6,0.26000000000000156
16.86,0.25,0.019999999999999574,16.84,0.23999999999999844
17.11,0.25,0.030000000000001137,17.08,0.23999999999999844
17.36,0.25,0.019999999999999574,17.34,0.26000000000000156
,,,17.59,0.25
17.84,,0.019999999999999574,17.82,0.23000000000000043
18.11,0.2699999999999996,0.030000000000001137,18.08,0.259999999999998
18.35,0.240000000000002,0.020000000000003126,18.33,0.25
18.57,0.21999999999999886,-0.019999999999999574,18.59,0.26000000000000156
18.84,0.2699999999999996,0.010000000000001563,18.83,0.23999999999999844
19.09,0.25,0.0,19.09,0.26000000000000156
,,,19.33,0.23999999999999844
19.58,,0.00999999999999801,19.57,0.240000000000002
,,,19.81,0.23999999999999844
20.08,,0.00999999999999801,20.07,0.26000000000000156
20.33,0.25,0.029999999999997584,20.3,0.23000000000000043
20.57,0.240000000000002,0.019999999999999574,20.55,0.25
20.82,0.25,0.030000000000001137,20.79,0.23999999999999844
21.07,0.25,0.010000000000001563,21.06,0.2699999999999996
,,,21.3,0.240000000000002
21.56,,0.0,21.56,0.259999999999998
21.8,0.240000000000002,0.0,21.8,0.240000000000002
22.05,0.25,0.0,22.05,0.25
22.32,0.2699999999999996,0.019999999999999574,22.3,0.25
22.54,0.21999999999999886,-0.010000000000001563,22.55,0.25
22.78,0.240000000000002,-0.029999999999997584,22.81,0.259999999999998
,,,23.06,0.25
23.32,,0.030000000000001137,23.29,0.23000000000000043
,,,23.53,0.240000000000002
23.8,,0.030000000000001137,23.77,0.23999999999999844
