Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.48,0.26
0.69,,0.0,0.69,0.20999999999999996
0.9,0.21000000000000008,-0.030000000000000027,0.93,0.2400000000000001
,,,1.16,0.22999999999999987
1.4,,-0.010000000000000009,1.41,0.25
,,,1.65,0.24
1.86,,0.0,1.86,0.2100000000000002
2.11,0.24999999999999978,0.0,2.11,0.24999999999999978
,,,2.36,0.25
2.57,,-0.010000000000000231,2.58,0.2200000000000002
2.85,0.28000000000000025,0.020000000000000018,2.83,0.25
3.06,0.20999999999999996,0.010000000000000231,3.05,0.21999999999999975
3.3,0.23999999999999977,-0.010000000000000231,3.31,0.26000000000000023
,,,3.54,0.22999999999999998
3.77,,-0.009999999999999787,3.78,0.23999999999999977
4.0,0.22999999999999998,-0.019999999999999574,4.02,0.23999999999999977
4.26,0.2599999999999998,0.0,4.26,0.2400000000000002
4.5,0.2400000000000002,0.0,4.5,0.2400000000000002
4.73,0.23000000000000043,-0.019999999999999574,4.75,0.25
4.97,0.23999999999999932,-0.010000000000000675,4.98,0.23000000000000043
5.23,0.2600000000000007,0.0,5.23,0.25
5.46,0.22999999999999954,0.0,5.46,0.22999999999999954
,,,5.72,0.2599999999999998
,,,5.94,0.22000000000000064
,,,6.18,0.23999999999999932
6.4,,-0.009999999999999787,6.41,0.23000000000000043
6.65,0.25,0.0,6.65,0.2400000000000002
,,,6.88,0.22999999999999954
,,,7.14,0.2599999999999998
7.38,,0.0,7.38,0.2400000000000002
7.59,0.20999999999999996,-0.009999999999999787,7.6,0.21999999999999975
7.85,0.2599999999999998,0.009999999999999787,7.84,0.2400000000000002
8.08,0.23000000000000043,-0.009999999999999787,8.09,0.25
8.3,0.22000000000000064,-0.009999999999999787,8.31,0.22000000000000064
8.57,0.2699999999999996,0.0,8.57,0.2599999999999998
8.81,0.2400000000000002,0.0,8.81,0.2400000000000002
,,,9.04,0.22999999999999865
,,,9.25,0.21000000000000085
9.5,,-0.009999999999999787,9.51,0.2599999999999998
9.74,0.2400000000000002,-0.009999999999999787,9.75,0.2400000000000002
9.97,0.23000000000000043,-0.009999999999999787,9.98,0.23000000000000043
10.22,0.25,0.02000000000000135,10.2,0.21999999999999886
10.46,0.2400000000000002,0.010000000000001563,10.45,0.25
10.66,0.1999999999999993,-0.009999999999999787,10.67,0.22000000000000064
10.9,0.2400000000000002,-0.009999999999999787,10.91,0.2400000000000002
11.12,0.21999999999999886,-0.030000000000001137,11.15,0.2400000000000002
11.39,0.27000000000000135,0.0,11.39,0.2400000000000002
11.62,0.22999999999999865,-0.02000000000000135,11.64,0.25
11.85,0.23000000000000043,-0.009999999999999787,11.86,0.21999999999999886
,,,12.11,0.25
,,,12.36,0.25
,,,12.59,0.23000000000000043
,,,12.83,0.2400000000000002
13.04,,-0.010000000000001563,13.05,0.22000000000000064
13.29,0.25,-0.010000000000001563,13.3,0.25
13.54,0.25,0.009999999999999787,13.53,0.22999999999999865
13.77,0.23000000000000043,0.0,13.77,0.2400000000000002
13.99,0.22000000000000064,-0.019999999999999574,14.01,0.2400000000000002
14.23,0.2400000000000002,-0.009999999999999787,14.24,0.23000000000000043
,,,14.47,0.23000000000000043
14.71,,0.0,14.71,0.2400000000000002
14.92,0.20999999999999908,-0.019999999999999574,14.94,0.22999999999999865
15.18,0.2599999999999998,0.0,15.18,0.2400000000000002
15.42,0.2400000000000002,0.009999999999999787,15.41,0.23000000000000043
15.67,0.25,0.0,15.67,0.2599999999999998
15.91,0.2400000000000002,,,
16.15,0.23999999999999844,0.0,16.15,
16.39,0.240000000000002,0.010000000000001563,16.38,0.23000000000000043
16.62,0.23000000000000043,0.010000000000001563,16.61,0.23000000000000043
,,,16.85,0.240000000000002
,,,17.07,0.21999999999999886
17.31,,0.0,17.31,0.23999999999999844
17.57,0.26000000000000156,0.010000000000001563,17.56,0.25
17.79,0.21999999999999886,-0.010000000000001563,17.8,0.240000000000002
18.03,0.240000000000002,0.010000000000001563,18.02,0.21999999999999886
18.26,0.23000000000000043,0.0,18.26,0.240000000000002
18.49,0.22999999999999687,-0.010000000000001563,18.5,0.23999999999999844
,,,,
18.95,,-0.019999999999999574,18.97,
19.2,0.25,0.00999999999999801,19.19,0.22000000000000242
19.42,0.22000000000000242,-0.00999999999999801,19.43,0.23999999999999844
19.65,0.22999999999999687,-0.010000000000001563,19.66,0.23000000000000043
19.89,0.240000000000002,-0.019999999999999574,19.91,0.25
,,,20.13,0.21999999999999886
20.36,,-0.010000000000001563,20.37,0.240000000000002
20.59,0.23000000000000043,-0.019999999999999574,20.61,0.23999999999999844
20.83,0.23999999999999844,-0.0400000000000027,20.87,0.26000000000000156
,,,21.09,0.21999999999999886
21.32,,-0.019999999999999574,21.34,0.25
21.55,0.23000000000000043,-0.00999999999999801,21.56,0.21999999999999886
,,,21.81,0.25
22.02,,0.0,22.02,0.21000000000000085
