Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,,
,,,,
,,,,
,,,,
1.92,,,,
,,,2.35,
,,,,
2.91,,0.010000000000000231,2.9,
3.23,0.31999999999999984,-0.010000000000000231,3.24,0.3400000000000003
3.56,0.33000000000000007,-0.020000000000000018,3.58,0.33999999999999986
3.9,0.33999999999999986,-0.020000000000000018,3.92,0.33999999999999986
4.25,0.3500000000000001,-0.019999999999999574,4.27,0.34999999999999964
4.58,0.33000000000000007,-0.009999999999999787,4.59,0.3200000000000003
4.93,0.34999999999999964,0.0,4.93,0.33999999999999986
5.26,0.33000000000000007,-0.009999999999999787,5.27,0.33999999999999986
5.6,0.33999999999999986,-0.010000000000000675,5.61,0.34000000000000075
5.94,0.34000000000000075,0.0,5.94,0.33000000000000007
6.27,0.3299999999999992,-0.020000000000000462,6.29,0.34999999999999964
6.61,0.34000000000000075,0.0,6.61,0.3200000000000003
6.93,0.3199999999999994,0.0,6.93,0.3199999999999994
7.26,0.33000000000000007,0.019999999999999574,7.24,0.3100000000000005
7.58,0.3200000000000003,0.009999999999999787,7.57,0.33000000000000007
7.91,0.33000000000000007,0.009999999999999787,7.9,0.33000000000000007
8.23,0.3200000000000003,0.009999999999999787,8.22,0.3200000000000003
8.54,0.3099999999999987,-0.010000000000001563,8.55,0.33000000000000007
8.87,0.33000000000000007,-0.02000000000000135,8.89,0.33999999999999986
9.2,0.33000000000000007,-0.02000000000000135,9.22,0.33000000000000007
9.54,0.33999999999999986,,,
9.86,0.3200000000000003,0.0,9.86,
10.2,0.33999999999999986,0.0,10.2,0.33999999999999986
10.52,0.3200000000000003,-0.009999999999999787,10.53,0.33000000000000007
10.85,0.33000000000000007,,,
11.18,0.33000000000000007,0.0,11.18,
11.49,0.3100000000000005,,,
11.82,0.33000000000000007,-0.02999999999999936,11.85,
,,,,
12.47,,-0.03999999999999915,12.51,
12.84,0.3699999999999992,-0.009999999999999787,12.85,0.33999999999999986
13.13,0.2900000000000009,-0.03999999999999915,13.17,0.3200000000000003
,,,,
13.83,,0.0,13.83,
14.14,0.3100000000000005,0.0,14.14,0.3100000000000005
14.46,0.3200000000000003,-0.009999999999999787,14.47,0.33000000000000007
14.79,0.3299999999999983,,,
15.11,0.3200000000000003,-0.02000000000000135,15.13,
15.45,0.33999999999999986,0.0,15.45,0.3199999999999985
15.78,0.33000000000000007,0.0,15.78,0.33000000000000007
16.1,0.32000000000000206,0.0,16.1,0.32000000000000206
16.42,0.3200000000000003,-0.019999999999999574,16.44,0.33999999999999986
16.76,0.33999999999999986,-0.019999999999999574,16.78,0.33999999999999986
17.1,0.33999999999999986,-0.00999999999999801,17.11,0.3299999999999983
17.43,0.3299999999999983,,,
17.76,0.33000000000000185,0.0,17.76,
18.1,0.33999999999999986,0.0,18.1,0.33999999999999986
18.42,0.3200000000000003,-0.00999999999999801,18.43,0.3299999999999983
18.73,0.3099999999999987,,,
19.07,0.33999999999999986,-0.00999999999999801,19.08,
19.4,0.3299999999999983,-0.020000000000003126,19.42,0.3400000000000034
19.73,0.33000000000000185,-0.030000000000001137,19.76,0.33999999999999986
20.05,0.3200000000000003,,,
