,beats,piano,bass,drums,metre_auto
0,0.03,0.01,,0.02,4.0
1,0.32,0.31,,0.29,1.0
2,0.61,0.6,0.59,0.61,2.0
3,0.91,0.91,,0.89,3.0
4,1.19,,1.2,1.19,4.0
5,1.49,1.52,1.48,1.48,1.0
6,1.78,,1.79,1.79,2.0
7,2.07,2.1,2.07,2.09,3.0
8,2.36,,2.36,2.39,4.0
9,2.64,2.69,2.65,2.68,1.0
10,2.92,,2.97,2.91,2.0
11,3.2,3.2,3.26,3.27,3.0
12,3.48,,,3.48,4.0
13,3.75,,3.78,3.75,1.0
14,4.03,,,,2.0
15,4.31,4.32,4.38,4.35,3.0
16,4.6,,,,4.0
17,4.87,4.94,,,1.0
18,5.15,,,,2.0
19,5.43,,,,3.0
20,5.71,5.69,,,4.0
21,5.99,,,,1.0
22,6.27,6.27,,,2.0
23,6.55,6.56,,6.52,3.0
24,6.84,6.86,,6.81,4.0
25,7.13,7.16,,7.1,1.0
26,7.42,7.44,,,2.0
27,7.71,,7.68,7.68,3.0
28,8.0,,7.97,7.97,4.0
29,8.29,,8.26,8.27,1.0
30,8.58,8.62,,8.56,2.0
31,8.87,8.9,,8.86,3.0
32,9.16,9.2,,9.15,4.0
33,9.45,9.42,9.42,,1.0
34,9.74,9.79,9.71,9.72,2.0
35,10.04,,10.02,10.03,3.0
36,10.32,10.32,10.31,10.33,4.0
37,10.62,,10.61,10.63,1.0
38,10.9,10.93,10.89,10.9,2.0
39,11.19,11.18,11.19,11.18,3.0
40,11.49,11.54,11.49,11.48,4.0
41,11.77,11.76,11.76,11.79,1.0
42,12.07,12.12,12.08,12.07,2.0
43,12.35,12.4,12.35,12.36,3.0
44,12.64,12.69,12.63,12.64,4.0
45,12.93,12.98,12.92,12.95,1.0
46,13.23,13.26,13.22,13.22,2.0
47,13.52,13.54,13.51,13.53,3.0
48,13.8,,13.78,13.82,4.0
49,14.1,14.11,14.1,14.11,1.0
50,14.39,14.41,14.39,14.39,2.0
51,14.68,14.71,14.69,14.69,3.0
52,14.96,14.95,14.95,14.98,4.0
53,15.25,15.25,15.24,15.28,1.0
54,15.55,15.58,15.55,15.56,2.0
55,15.83,15.83,15.82,15.86,3.0
56,16.13,16.13,16.13,16.15,4.0
57,16.42,,16.41,16.44,1.0
58,16.71,,16.71,16.72,2.0
