,beats,piano,bass,drums,metre_auto
0,0.13,0.17,0.15,0.11,1.0
1,0.42,,0.43,0.42,2.0
2,0.71,0.72,0.73,0.71,3.0
3,1.0,,1.02,0.98,4.0
4,1.29,1.3,1.3,1.3,1.0
5,1.58,1.58,1.58,1.57,2.0
6,1.86,1.91,1.87,1.86,3.0
7,2.14,2.15,2.15,2.15,4.0
8,2.44,,2.44,,1.0
9,2.71,,2.72,2.7,2.0
10,3.01,3.01,3.02,2.99,3.0
11,3.28,,3.29,3.28,4.0
12,3.57,,3.57,3.57,1.0
13,3.84,3.9,3.85,3.84,2.0
14,4.14,4.17,4.15,4.13,3.0
15,4.42,4.44,4.43,4.41,4.0
16,4.71,4.76,,4.71,1.0
17,4.99,5.01,4.99,4.98,2.0
18,5.28,5.29,5.29,5.28,3.0
19,5.57,5.6,5.58,5.55,4.0
20,5.86,5.87,5.86,5.84,1.0
21,6.13,6.15,6.14,6.11,2.0
22,6.43,6.45,6.43,6.4,3.0
23,6.69,,6.7,6.68,4.0
24,6.99,7.01,6.99,6.96,1.0
25,7.26,7.27,7.27,7.25,2.0
26,7.55,7.57,7.56,7.54,3.0
27,7.82,7.83,7.83,7.81,4.0
28,8.11,8.11,8.12,8.09,1.0
29,8.38,8.4,8.38,8.37,2.0
30,8.67,8.67,8.67,8.66,3.0
31,8.94,8.95,8.95,8.93,4.0
32,9.22,9.24,9.23,9.21,1.0
33,9.5,9.5,9.51,9.49,2.0
34,9.79,9.8,9.8,9.76,3.0
35,10.06,10.05,10.07,10.03,4.0
36,10.34,10.35,10.35,10.31,1.0
37,10.6,10.63,10.62,10.6,2.0
38,10.89,10.89,10.89,10.88,3.0
39,11.16,11.2,11.17,11.16,4.0
40,11.46,11.46,11.46,11.44,1.0
41,11.72,,11.73,11.71,2.0
42,12.01,12.02,12.01,12.01,3.0
43,12.29,12.34,12.3,12.28,4.0
44,12.58,,12.59,12.57,1.0
45,12.84,,12.86,12.83,2.0
46,13.12,13.17,13.13,,3.0
47,13.39,,13.41,13.39,4.0
48,13.68,,13.68,13.68,1.0
49,13.95,14.0,13.98,13.95,2.0
50,14.24,14.25,14.25,14.23,3.0
51,14.53,14.54,14.54,14.52,4.0
52,14.8,14.85,14.82,14.79,1.0
53,15.07,,15.09,15.07,2.0
54,15.36,,15.38,15.36,3.0
55,15.63,15.61,15.65,15.62,4.0
56,15.92,,15.93,15.91,1.0
57,16.19,,16.2,16.19,2.0
58,16.49,16.51,16.49,16.48,3.0
59,16.75,16.76,16.76,16.74,4.0
60,17.03,17.04,17.04,17.03,1.0
61,17.3,,17.31,17.29,2.0
62,17.57,,17.6,17.57,3.0
63,17.85,,17.86,17.85,4.0
64,18.13,,18.15,18.12,1.0
65,18.41,,18.41,18.41,2.0
66,18.7,18.71,18.71,18.69,3.0
67,18.96,18.98,18.98,18.95,4.0
68,19.25,19.26,19.25,19.24,1.0
69,19.51,,19.53,19.51,2.0
70,19.8,,19.81,19.79,3.0
71,20.06,,20.08,20.05,4.0
72,20.34,,20.35,20.33,1.0
73,20.61,,20.62,20.6,2.0
74,20.9,20.93,20.9,20.89,3.0
