,beats,piano,bass,drums,metre_auto
0,0.27,0.26,0.25,,3.0
1,0.58,0.59,0.58,,4.0
2,0.89,0.92,0.87,0.89,1.0
3,1.2,,1.2,,2.0
4,1.51,1.5,1.51,1.54,3.0
5,1.82,,1.81,,4.0
6,2.14,,2.16,2.16,1.0
7,2.44,,2.45,,2.0
8,2.75,,2.75,,3.0
9,3.06,,3.04,,4.0
10,3.37,3.37,3.35,3.34,1.0
11,3.68,3.71,3.67,,2.0
12,3.99,,3.96,,3.0
13,4.3,4.33,,,4.0
14,4.61,,4.59,4.59,1.0
15,4.92,,4.92,4.89,2.0
16,5.24,5.26,5.24,,3.0
17,5.55,5.57,5.56,,4.0
18,5.86,,5.86,,1.0
19,6.17,,6.18,,2.0
20,6.48,6.49,6.48,,3.0
21,6.78,,6.78,,4.0
22,7.1,7.13,7.1,,1.0
23,7.41,,7.4,,2.0
24,7.72,7.74,7.71,,3.0
25,8.02,8.08,8.02,,4.0
26,8.33,8.35,8.33,,1.0
27,8.65,,8.64,,2.0
28,8.96,8.95,8.97,,3.0
29,9.27,9.26,9.27,,4.0
30,9.57,9.58,9.57,,1.0
31,9.88,9.88,9.88,,2.0
32,10.2,,10.22,,3.0
33,10.51,,10.51,,4.0
34,10.81,10.83,10.81,,1.0
35,11.11,,11.11,,2.0
36,11.41,,11.42,,3.0
37,11.69,11.71,11.7,,4.0
38,11.96,,11.97,,1.0
39,12.27,,12.27,,2.0
40,12.59,,12.59,,3.0
41,12.86,,12.87,12.83,4.0
42,13.16,,13.17,13.16,1.0
43,13.44,13.51,13.44,13.43,2.0
44,13.76,,,,3.0
45,14.05,,14.04,14.05,4.0
46,14.37,14.39,14.35,,1.0
47,14.67,14.69,14.67,,2.0
48,14.97,14.99,14.97,14.95,3.0
49,15.27,,15.27,15.24,4.0
50,15.59,15.59,15.58,,1.0
51,15.87,,15.87,,2.0
52,16.17,,16.17,,3.0
53,16.44,16.42,16.45,16.42,4.0
54,16.76,16.81,16.76,,1.0
55,17.03,17.01,17.04,17.03,2.0
56,17.35,17.41,17.36,17.32,3.0
57,17.63,,17.65,17.61,4.0
58,17.95,17.96,17.95,,1.0
59,18.23,,18.24,18.2,2.0
60,18.55,,18.54,18.6,3.0
61,18.84,,18.85,,4.0
62,19.13,,19.16,,1.0
63,19.42,19.46,19.43,19.4,2.0
64,19.74,19.77,19.74,,3.0
65,20.02,20.02,20.03,19.99,4.0
66,20.33,,20.34,,1.0
67,20.61,,20.63,20.58,2.0
68,20.92,20.98,20.93,,3.0
69,21.2,21.19,21.22,21.18,4.0
70,21.52,21.59,21.54,21.51,1.0
71,21.83,21.89,21.84,21.8,2.0
