,beats,piano,bass,drums,metre_auto
0,0.27,,0.27,0.26,2.0
1,0.58,0.58,0.59,0.58,3.0
2,0.9,0.91,0.92,0.86,4.0
3,1.23,,1.23,1.23,1.0
4,1.54,1.52,1.57,1.54,2.0
5,1.86,,1.89,1.85,3.0
6,2.18,2.25,2.18,2.17,4.0
7,2.5,,2.53,2.49,1.0
8,2.82,2.8,2.85,2.82,2.0
9,3.15,3.2,3.16,3.14,3.0
10,3.46,,3.51,3.46,4.0
11,3.78,,3.78,3.78,1.0
12,4.1,4.14,4.16,4.1,2.0
13,4.42,4.48,4.45,4.41,3.0
14,4.74,4.74,4.76,4.74,4.0
15,5.07,5.09,5.07,5.04,1.0
16,5.39,,5.4,5.37,2.0
17,5.7,5.75,5.72,5.68,3.0
18,6.03,6.06,6.03,6.01,4.0
19,6.34,,6.36,6.33,1.0
20,6.67,6.7,6.68,6.66,2.0
21,6.98,7.03,6.99,6.97,3.0
22,7.3,,7.31,7.3,4.0
23,7.63,7.68,7.64,7.62,1.0
24,7.96,7.99,7.96,7.94,2.0
25,8.27,8.32,8.28,8.26,3.0
26,8.6,8.62,8.6,8.6,4.0
27,8.92,,8.93,8.92,1.0
28,9.26,9.27,9.26,9.25,2.0
29,9.58,9.61,9.59,9.57,3.0
30,9.9,9.86,9.91,9.89,4.0
31,10.22,10.28,10.23,10.22,1.0
32,10.56,10.59,10.57,10.54,2.0
33,10.88,,10.88,10.88,3.0
34,11.2,11.19,11.23,11.2,4.0
35,11.53,,11.54,11.53,1.0
36,11.86,11.86,11.86,11.87,2.0
37,12.19,12.26,12.2,12.19,3.0
38,12.53,12.56,12.54,12.5,4.0
39,12.84,12.89,12.85,12.83,1.0
40,13.16,13.23,13.17,13.16,2.0
41,13.5,13.56,13.51,13.5,3.0
42,13.82,13.8,13.83,13.83,4.0
43,14.16,14.19,14.17,14.16,1.0
44,14.49,,14.5,14.48,2.0
45,14.82,,14.83,14.81,3.0
46,15.16,15.19,15.16,15.13,4.0
47,15.48,15.5,15.48,15.45,1.0
48,15.8,15.82,15.8,15.78,2.0
49,16.11,16.14,,16.1,3.0
50,16.44,16.44,16.45,16.42,4.0
51,16.75,,16.78,16.75,1.0
52,17.09,17.14,17.1,17.08,2.0
53,17.4,,17.42,17.4,3.0
54,17.74,17.72,17.75,17.73,4.0
55,18.06,18.14,18.07,18.06,1.0
56,18.4,18.44,18.4,18.4,2.0
57,18.73,18.78,18.74,18.73,3.0
58,19.06,,19.06,19.06,4.0
59,19.39,19.44,19.4,19.38,1.0
60,19.72,19.74,19.71,19.71,2.0
61,20.04,20.08,20.04,20.04,3.0
62,20.37,20.41,20.37,20.36,4.0
63,20.69,,20.7,20.7,1.0
64,21.02,21.1,21.03,21.03,2.0
65,21.34,21.41,21.35,21.35,3.0
66,21.66,21.72,21.65,21.66,4.0
67,21.98,,22.0,22.01,1.0
68,22.3,22.37,22.35,22.35,2.0
69,22.62,,22.68,22.68,3.0
70,22.93,,23.01,22.9,4.0
71,23.26,,,23.34,1.0
72,23.57,23.53,,23.56,2.0
73,23.9,23.93,,,3.0
74,24.22,24.27,,24.23,4.0
75,24.53,24.61,,,1.0
76,24.85,,,24.91,2.0
77,25.17,,,,3.0
78,25.49,,,,4.0
79,25.82,,,,1.0
80,26.13,,,,2.0
81,26.45,26.41,,,3.0
82,26.77,26.75,,,4.0
83,27.09,27.05,,,1.0
84,27.41,27.37,,,2.0
85,27.73,,27.69,27.69,3.0
86,28.05,,28.04,28.02,4.0
87,28.37,,28.36,28.35,1.0
88,28.69,28.7,28.7,28.69,2.0
89,29.02,29.05,29.02,29.02,3.0
90,29.35,29.37,29.36,29.35,4.0
91,29.7,29.72,29.7,29.67,1.0
92,30.01,,30.02,30.01,2.0
93,30.34,,30.35,30.33,3.0
94,30.67,30.71,30.69,30.66,4.0
95,31.0,31.0,31.01,30.99,1.0
96,31.33,31.33,31.34,31.33,2.0
97,31.67,31.68,31.67,31.67,3.0
98,31.99,32.02,31.97,31.98,4.0
99,32.32,32.3,32.34,32.32,1.0
100,32.65,,32.66,32.65,2.0
101,33.0,33.03,33.01,32.98,3.0
102,33.33,33.34,33.33,33.31,4.0
103,33.66,33.68,33.66,33.64,1.0
104,33.97,,33.99,33.97,2.0
105,34.29,34.35,34.33,34.28,3.0
106,34.62,34.69,34.64,34.61,4.0
107,34.95,,34.95,34.94,1.0
108,35.28,,35.29,35.27,2.0
109,35.61,35.66,35.62,35.59,3.0
110,35.93,35.98,35.94,35.92,4.0
111,36.26,36.34,36.26,36.25,1.0
112,36.58,,36.59,36.58,2.0
113,36.91,36.96,36.91,36.91,3.0
114,37.24,37.3,37.25,37.23,4.0
115,37.58,37.6,37.59,37.56,1.0
116,37.91,37.91,37.91,37.89,2.0
117,38.24,38.26,38.25,38.22,3.0
118,38.55,38.58,38.57,38.54,4.0
119,38.9,38.9,38.89,38.86,1.0
120,39.21,,39.22,39.2,2.0
121,39.54,39.54,39.54,39.53,3.0
122,39.86,39.87,39.87,39.85,4.0
123,40.19,,40.19,40.19,1.0
124,40.52,,40.52,40.52,2.0
125,40.86,40.88,40.85,40.86,3.0
126,41.19,,41.19,41.19,4.0
127,41.52,41.53,41.53,41.52,1.0
128,41.85,,41.86,41.85,2.0
129,42.19,42.2,42.2,42.17,3.0
130,42.5,42.55,42.51,42.5,4.0
131,42.82,42.8,42.81,42.8,1.0
132,43.15,,43.17,43.15,2.0
133,43.48,43.45,43.49,43.48,3.0
134,43.8,43.8,43.8,43.8,4.0
135,44.13,44.14,44.13,44.13,1.0
136,44.46,44.46,44.47,44.46,2.0
137,44.8,44.83,44.8,44.79,3.0
138,45.11,45.07,45.12,45.11,4.0
139,45.45,45.48,45.45,45.44,1.0
140,45.77,45.81,45.78,45.76,2.0
141,46.12,46.14,46.13,46.08,3.0
142,46.43,46.5,46.43,46.41,4.0
143,46.76,46.79,46.77,46.75,1.0
144,47.08,47.14,47.1,47.08,2.0
145,47.43,47.48,47.43,47.4,3.0
146,47.75,47.78,47.76,47.72,4.0
147,48.08,48.09,48.08,48.04,1.0
148,48.39,48.44,48.39,48.37,2.0
149,48.72,48.76,48.69,48.71,3.0
150,49.04,49.08,49.05,49.03,4.0
151,49.36,49.41,49.4,49.36,1.0
152,49.68,49.66,49.71,49.68,2.0
153,50.03,50.11,50.03,50.01,3.0
154,50.35,50.41,50.35,50.34,4.0
