,beats,piano,bass,drums,metre_auto
0,0.07,,0.07,0.06,2.0
1,0.35,0.34,0.35,0.34,3.0
2,0.62,,0.62,0.61,4.0
3,0.9,0.9,0.9,0.89,1.0
4,1.18,,1.18,,2.0
5,1.45,1.46,1.45,1.44,3.0
6,1.72,1.73,1.73,1.69,4.0
7,1.99,2.0,1.98,1.97,1.0
8,2.25,2.28,2.27,2.23,2.0
9,2.53,2.53,2.53,2.51,3.0
10,2.8,,2.8,,4.0
11,3.06,3.06,3.06,3.05,1.0
12,3.33,3.34,3.34,3.32,2.0
13,3.62,3.63,3.61,3.6,3.0
14,3.88,3.88,3.88,,4.0
15,4.16,4.17,4.15,4.15,1.0
16,4.42,4.44,4.43,4.4,2.0
17,4.69,4.67,4.71,4.69,3.0
18,4.95,4.96,4.97,4.94,4.0
19,5.24,5.28,5.25,5.24,1.0
20,5.5,5.5,5.53,5.49,2.0
21,5.79,5.84,5.79,5.77,3.0
22,6.06,6.06,6.05,6.03,4.0
23,6.33,6.33,6.33,6.32,1.0
24,6.58,,6.58,6.58,2.0
25,6.87,6.87,6.86,6.85,3.0
26,7.12,7.09,,7.11,4.0
27,7.4,7.44,7.38,7.38,1.0
28,7.67,7.68,7.67,7.64,2.0
29,7.94,7.95,7.94,7.93,3.0
30,8.2,,8.19,8.19,4.0
31,8.49,8.5,8.47,8.47,1.0
32,8.75,8.76,8.73,8.74,2.0
33,9.04,9.05,9.02,9.03,3.0
34,9.29,9.32,9.27,9.27,4.0
35,9.57,9.57,9.58,9.57,1.0
36,9.84,9.86,9.84,9.82,2.0
37,10.12,10.14,,10.1,3.0
38,10.37,10.4,10.37,10.36,4.0
39,10.63,10.63,10.64,10.64,1.0
40,10.92,,10.9,10.9,2.0
41,11.2,11.22,11.19,11.19,3.0
42,11.45,11.47,11.45,11.44,4.0
43,11.72,11.72,11.73,11.72,1.0
44,11.98,,11.98,11.98,2.0
45,12.26,12.24,12.28,12.27,3.0
46,12.54,12.57,12.55,12.54,4.0
47,12.83,,,12.82,1.0
48,13.11,13.13,13.1,13.09,2.0
49,13.39,13.43,13.38,13.38,3.0
50,13.66,13.69,13.66,13.64,4.0
51,13.94,13.95,,13.93,1.0
52,14.21,14.22,14.19,14.2,2.0
53,14.49,14.49,14.49,14.49,3.0
54,14.76,14.78,14.77,14.75,4.0
55,15.04,15.04,15.04,15.04,1.0
56,15.3,15.29,15.32,15.29,2.0
57,15.58,15.59,15.6,15.58,3.0
58,15.86,15.87,15.86,15.84,4.0
59,16.14,16.17,16.14,16.13,1.0
60,16.39,16.43,16.4,16.38,2.0
61,16.68,16.71,16.68,16.67,3.0
62,16.96,16.97,16.94,16.93,4.0
63,17.23,17.24,17.23,17.23,1.0
64,17.48,17.45,17.49,17.48,2.0
65,17.77,17.8,17.76,17.76,3.0
66,18.05,18.08,18.03,18.04,4.0
67,18.32,18.32,18.32,18.32,1.0
68,18.58,18.62,18.59,18.58,2.0
69,18.86,18.86,18.87,18.87,3.0
70,19.14,19.18,19.15,19.12,4.0
71,19.43,19.44,19.43,19.41,1.0
72,19.68,19.71,19.69,19.66,2.0
73,19.97,19.98,19.96,19.94,3.0
74,20.23,,20.24,20.2,4.0
75,20.48,20.47,20.5,20.5,1.0
76,20.75,,20.73,20.73,2.0
77,21.04,21.04,21.03,21.03,3.0
78,21.29,21.32,21.29,21.28,4.0
79,21.58,21.59,21.57,,1.0
80,21.84,21.86,21.83,21.83,2.0
81,22.11,22.12,22.1,22.11,3.0
82,22.37,22.38,22.38,22.37,4.0
83,22.65,22.66,22.64,22.64,1.0
84,22.9,22.93,22.91,22.9,2.0
85,23.19,23.21,,23.18,3.0
86,23.46,23.48,23.45,23.43,4.0
87,23.75,23.77,,23.74,1.0
88,24.01,24.03,23.99,23.98,2.0
89,24.28,24.29,24.26,24.27,3.0
90,24.53,24.51,24.53,24.53,4.0
91,24.81,24.82,24.82,24.81,1.0
92,25.07,,25.06,25.06,2.0
93,25.36,25.36,25.36,25.35,3.0
94,25.61,,25.63,25.59,4.0
95,25.9,,,,1.0
96,26.17,26.18,26.15,26.15,2.0
97,26.43,26.45,26.43,26.43,3.0
98,26.68,26.72,,26.68,4.0
99,26.97,26.99,26.99,26.96,1.0
100,27.24,27.27,27.24,27.23,2.0
101,27.52,27.52,,27.5,3.0
102,27.77,,27.75,27.75,4.0
103,28.06,28.06,28.05,28.06,1.0
104,28.31,,28.31,28.31,2.0
105,28.59,,28.6,,3.0
106,28.86,28.9,28.86,28.86,4.0
107,29.15,29.16,29.14,29.13,1.0
108,29.41,29.43,29.4,29.39,2.0
109,29.68,,29.68,29.68,3.0
110,29.96,29.96,29.94,29.93,4.0
111,30.23,30.26,30.21,,1.0
112,30.48,30.51,30.48,30.47,2.0
113,30.76,,30.76,30.75,3.0
114,31.03,31.03,31.02,31.01,4.0
115,31.31,31.32,31.3,31.3,1.0
116,31.57,31.62,31.57,31.56,2.0
117,31.86,31.87,31.85,31.85,3.0
118,32.12,32.14,32.12,32.12,4.0
119,32.4,32.4,32.39,32.4,1.0
120,32.66,32.68,32.66,32.66,2.0
121,32.94,32.97,32.94,32.93,3.0
122,33.21,33.25,33.2,33.2,4.0
123,33.49,33.49,33.49,33.49,1.0
124,33.75,,33.76,33.74,2.0
125,34.03,34.04,34.03,34.03,3.0
126,34.29,,34.29,34.28,4.0
127,34.58,34.59,34.57,34.56,1.0
128,34.83,34.83,34.82,34.81,2.0
129,35.1,35.1,35.11,35.09,3.0
130,35.36,,35.34,35.34,4.0
131,35.65,35.66,35.65,35.63,1.0
132,35.91,35.91,35.92,35.89,2.0
133,36.18,36.21,36.18,36.17,3.0
134,36.44,36.48,36.45,36.43,4.0
135,36.72,36.76,36.72,36.72,1.0
136,36.97,37.02,36.97,36.97,2.0
137,37.26,37.27,37.27,37.27,3.0
138,37.54,,37.54,37.53,4.0
139,37.8,37.78,37.81,37.81,1.0
140,38.08,38.07,38.08,38.08,2.0
