,beats,piano,bass,drums,metre_auto
0,0.24,,,,4.0
1,0.55,0.55,,0.51,1.0
2,0.89,0.93,0.86,,2.0
3,1.21,1.22,1.22,,3.0
4,1.53,1.55,1.52,1.5,4.0
5,1.86,,1.87,1.84,1.0
6,2.18,,2.22,2.18,2.0
7,2.53,,2.53,2.52,3.0
8,2.86,,2.87,2.86,4.0
9,3.22,3.26,3.23,3.2,1.0
10,3.56,3.59,3.57,3.55,2.0
11,3.9,3.96,3.89,3.88,3.0
12,4.23,4.28,4.22,4.21,4.0
13,4.58,4.62,4.57,,1.0
14,4.9,4.95,4.92,4.9,2.0
15,5.25,5.29,5.25,5.23,3.0
16,5.58,5.64,5.59,5.58,4.0
17,5.94,5.95,5.92,5.92,1.0
18,6.27,,6.28,6.26,2.0
19,6.61,6.64,6.61,6.59,3.0
20,6.92,6.92,6.89,6.92,4.0
21,7.28,7.3,7.3,7.26,1.0
22,7.61,7.61,,7.59,2.0
23,7.96,7.98,7.94,7.93,3.0
24,8.27,8.34,8.28,8.27,4.0
25,8.62,,8.62,8.62,1.0
26,8.97,8.98,8.97,8.95,2.0
27,9.31,9.32,9.3,9.29,3.0
28,9.63,9.63,9.64,9.61,4.0
29,9.98,9.98,9.95,9.95,1.0
30,10.33,,10.31,10.29,2.0
31,10.67,10.67,10.65,10.65,3.0
32,10.99,,10.99,10.98,4.0
33,11.34,11.38,11.33,11.33,1.0
34,11.66,,11.67,11.66,2.0
35,12.02,12.06,12.02,12.01,3.0
36,12.35,12.41,12.35,12.34,4.0
37,12.7,12.71,12.7,12.68,1.0
38,13.01,,,13.01,2.0
39,13.35,13.4,13.35,13.34,3.0
40,13.68,,13.69,13.68,4.0
41,14.02,,14.02,14.02,1.0
42,14.35,14.4,14.35,14.35,2.0
43,14.69,14.75,14.68,14.69,3.0
44,15.03,15.07,15.02,,4.0
45,15.36,15.39,15.36,15.35,1.0
46,15.7,15.74,15.7,15.69,2.0
47,16.05,16.05,16.04,16.02,3.0
48,16.36,16.41,16.39,16.36,4.0
49,16.7,,16.7,16.7,1.0
50,17.04,17.09,17.03,17.04,2.0
51,17.37,17.43,17.37,17.37,3.0
52,17.71,17.74,17.71,17.71,4.0
53,18.06,18.06,18.06,18.04,1.0
54,18.37,18.42,18.39,18.37,2.0
55,18.72,18.72,18.72,18.7,3.0
56,19.04,19.05,19.05,19.04,4.0
57,19.37,19.38,19.37,19.35,1.0
58,19.68,,19.71,19.68,2.0
59,20.03,,20.05,20.1,3.0
60,20.34,,20.37,20.34,4.0
61,20.7,20.75,20.7,,1.0
62,21.03,,21.03,21.02,2.0
63,21.37,21.4,21.37,21.37,3.0
64,21.7,21.7,21.71,21.7,4.0
65,22.05,22.09,22.04,22.04,1.0
66,22.38,,22.38,22.36,2.0
67,22.71,22.77,22.72,22.71,3.0
68,23.05,23.06,23.05,23.04,4.0
69,23.38,23.44,23.38,23.37,1.0
70,23.7,,23.72,23.7,2.0
71,24.05,24.11,24.05,24.04,3.0
72,24.38,24.46,24.39,24.38,4.0
73,24.73,24.79,24.73,24.72,1.0
74,25.06,25.11,,25.05,2.0
75,25.39,25.46,25.4,25.38,3.0
76,25.71,,25.73,25.71,4.0
77,26.06,26.11,26.06,,1.0
78,26.37,,26.39,26.37,2.0
79,26.72,26.74,26.74,26.7,3.0
80,27.04,,27.12,27.04,4.0
81,27.38,27.42,27.38,27.37,1.0
82,27.71,27.73,27.71,27.71,2.0
83,28.05,28.08,28.05,28.05,3.0
84,28.38,28.43,28.4,28.37,4.0
85,28.71,28.75,28.71,28.71,1.0
86,29.03,,29.04,29.02,2.0
87,29.37,,29.37,,3.0
88,29.7,,29.72,29.7,4.0
89,30.03,,30.03,30.03,1.0
90,30.36,30.42,30.35,30.36,2.0
91,30.7,30.7,30.71,,3.0
92,31.03,31.03,31.03,31.0,4.0
93,31.37,31.38,31.34,31.34,1.0
94,31.69,31.7,31.67,31.69,2.0
95,32.03,32.04,32.01,32.03,3.0
96,32.36,32.37,32.36,32.36,4.0
97,32.71,,32.7,32.71,1.0
