,beats,piano,bass,drums,metre_auto
0,0.12,0.12,0.13,0.12,1.0
1,0.51,0.5,0.51,0.5,2.0
2,0.86,,0.87,0.85,3.0
3,1.25,1.25,1.22,1.22,4.0
4,1.59,,1.58,1.58,1.0
5,1.94,,1.93,1.95,2.0
6,2.33,2.32,2.3,2.31,3.0
7,2.68,2.68,2.67,2.69,4.0
8,3.05,3.04,3.03,3.04,1.0
9,3.41,3.4,3.41,3.43,2.0
10,3.79,3.79,3.79,3.79,3.0
11,4.15,4.12,4.14,4.16,4.0
12,4.54,4.53,4.52,4.52,1.0
13,4.91,4.92,4.89,4.88,2.0
14,5.28,,5.27,5.24,3.0
15,5.65,5.64,5.65,5.61,4.0
16,6.02,6.02,6.01,,1.0
17,6.37,6.37,6.37,6.33,2.0
18,6.72,6.75,6.72,6.68,3.0
19,7.09,7.11,7.07,7.05,4.0
20,7.43,7.48,7.43,7.41,1.0
21,7.79,7.84,7.79,7.78,2.0
22,8.16,8.17,8.15,8.15,3.0
23,8.54,8.54,8.52,,4.0
24,8.9,8.91,8.89,8.9,1.0
25,9.29,,,9.29,2.0
26,9.63,,9.63,9.64,3.0
27,9.99,9.99,9.99,9.99,4.0
28,10.37,10.36,10.35,10.38,1.0
29,10.74,10.73,10.73,10.74,2.0
30,11.12,11.11,11.1,11.1,3.0
31,11.47,11.54,11.46,11.46,4.0
32,11.84,11.83,11.83,11.82,1.0
33,12.23,12.22,12.2,12.2,2.0
34,12.6,12.6,,12.56,3.0
35,12.95,12.95,12.95,12.95,4.0
36,13.32,13.31,13.31,13.3,1.0
37,13.67,13.67,13.67,13.67,2.0
38,14.03,,14.02,14.02,3.0
39,14.4,14.42,14.39,14.4,4.0
40,14.77,14.77,14.77,14.77,1.0
41,15.15,15.16,15.12,15.13,2.0
42,15.51,,15.5,15.5,3.0
43,15.88,15.88,15.88,15.87,4.0
44,16.25,16.25,16.25,16.25,1.0
45,16.61,,16.61,16.6,2.0
46,16.98,16.98,16.98,16.95,3.0
47,17.34,17.34,17.35,17.33,4.0
48,17.71,17.7,17.71,17.71,1.0
49,18.08,18.07,18.07,18.08,2.0
50,18.46,18.46,18.44,18.43,3.0
51,18.82,18.82,18.82,18.81,4.0
52,19.19,19.23,19.16,19.18,1.0
53,19.57,19.57,19.57,19.55,2.0
54,19.9,,19.9,19.9,3.0
55,20.28,20.28,20.28,20.27,4.0
56,20.64,20.64,20.64,20.64,1.0
57,21.02,21.01,21.01,,2.0
58,21.39,21.39,21.36,21.37,3.0
59,21.75,21.76,21.73,21.75,4.0
60,22.11,,22.1,22.12,1.0
61,22.49,22.49,22.49,22.48,2.0
62,22.85,22.85,22.86,22.83,3.0
63,23.23,23.24,23.24,23.22,4.0
64,23.61,23.63,23.61,23.57,1.0
65,23.96,24.02,23.96,23.95,2.0
66,24.33,,24.33,,3.0
67,24.69,24.69,24.69,24.68,4.0
68,25.05,25.05,25.05,25.01,1.0
69,25.4,25.4,25.4,25.4,2.0
70,25.75,25.79,25.75,25.75,3.0
71,26.12,26.12,26.12,26.12,4.0
72,26.5,26.51,26.46,26.47,1.0
73,26.87,26.88,26.85,26.84,2.0
74,27.21,27.23,27.2,27.19,3.0
75,27.59,,27.59,27.57,4.0
76,27.96,27.96,27.94,27.94,1.0
77,28.3,28.3,28.3,28.31,2.0
78,28.67,,28.66,28.67,3.0
79,29.06,29.07,29.04,29.04,4.0
80,29.42,29.42,29.4,29.4,1.0
81,29.78,29.78,29.78,29.77,2.0
82,30.14,30.14,30.15,30.13,3.0
83,30.5,,30.5,30.5,4.0
84,30.87,30.88,30.86,30.87,1.0
85,31.23,,31.22,31.22,2.0
86,31.62,31.62,31.61,,3.0
87,31.97,31.96,31.96,31.96,4.0
88,32.34,32.34,32.33,32.31,1.0
89,32.7,32.69,32.69,,2.0
90,33.06,,33.05,33.03,3.0
91,33.42,33.42,33.42,33.41,4.0
92,33.8,33.8,33.8,33.77,1.0
93,34.17,34.17,34.17,,2.0
94,34.52,34.51,34.51,34.5,3.0
95,34.87,34.87,34.87,34.88,4.0
96,35.25,35.25,35.24,35.23,1.0
97,35.61,35.61,35.61,35.61,2.0
