,beats,piano,bass,drums,metre_auto
0,0.27,0.24,,0.26,3.0
1,0.6,0.61,0.6,0.61,1.0
2,0.94,1.0,,0.94,2.0
3,1.26,,,1.26,3.0
4,1.59,1.61,1.59,1.6,1.0
5,1.92,,,1.92,2.0
6,2.25,,,2.26,3.0
7,2.58,2.59,2.59,,1.0
8,2.91,,,2.9,2.0
9,3.24,,,3.24,3.0
10,3.58,3.59,3.59,3.57,1.0
11,3.92,3.95,,3.92,2.0
12,4.24,4.26,,4.23,3.0
13,4.57,4.56,4.57,4.57,1.0
14,4.91,4.92,,4.91,2.0
15,5.24,5.25,5.21,5.24,3.0
16,5.57,5.58,,5.58,1.0
17,5.9,5.91,,5.88,2.0
18,6.23,,6.25,6.25,3.0
19,6.56,6.58,6.62,6.59,1.0
20,6.89,6.89,,6.91,2.0
21,7.22,7.23,7.21,,3.0
22,7.55,7.55,7.57,7.57,1.0
23,7.88,,,7.9,2.0
24,8.21,,,8.24,3.0
25,8.54,8.56,8.52,8.57,1.0
26,8.87,8.88,,8.88,2.0
27,9.18,9.19,,9.23,3.0
28,9.53,9.54,9.55,9.56,1.0
29,9.84,,,9.8,2.0
30,10.17,,,10.18,3.0
31,10.48,10.48,10.46,10.53,1.0
32,10.79,10.79,,,2.0
33,11.14,,,11.14,3.0
34,11.45,11.45,11.45,11.47,1.0
35,11.76,,11.73,11.73,2.0
36,12.08,,12.08,12.08,3.0
37,12.4,12.4,12.39,12.43,1.0
38,12.74,,,12.75,2.0
39,13.06,,13.05,,3.0
40,13.4,13.42,13.39,13.4,1.0
41,13.73,13.73,,13.73,2.0
42,14.05,14.06,,14.02,3.0
43,14.37,14.37,14.37,14.36,1.0
44,14.68,,14.68,14.68,2.0
45,15.01,,15.01,15.01,3.0
46,15.34,15.34,15.34,15.35,1.0
47,15.66,,,15.66,2.0
48,15.98,16.05,15.98,15.98,3.0
49,16.32,16.33,,16.3,1.0
50,16.63,,,16.62,2.0
51,16.95,16.95,16.96,16.96,3.0
52,17.28,17.28,17.28,17.29,1.0
53,17.62,17.62,,17.59,2.0
54,17.94,17.94,,17.95,3.0
55,18.24,18.21,18.2,18.23,1.0
56,18.57,18.58,,18.54,2.0
57,18.89,18.89,,18.91,3.0
58,19.2,19.2,,19.22,1.0
59,19.51,19.55,,19.49,2.0
60,19.84,,,19.84,3.0
61,20.18,20.18,20.19,20.17,1.0
62,20.49,,,20.49,2.0
63,20.8,,,20.81,3.0
64,21.13,21.14,,21.13,1.0
65,21.45,,,21.44,2.0
66,21.77,,,21.75,3.0
67,22.09,22.1,22.08,22.09,1.0
68,22.4,,22.39,22.4,2.0
69,22.71,,22.7,22.71,3.0
70,23.04,23.07,23.01,23.03,1.0
71,23.35,23.36,,23.34,2.0
72,23.67,,23.66,23.66,3.0
73,24.0,24.03,,23.99,1.0
74,24.3,24.34,,24.3,2.0
75,24.62,,24.69,24.58,3.0
76,24.93,24.95,24.92,24.93,1.0
77,25.27,,,25.27,2.0
78,25.58,,,25.56,3.0
79,25.89,25.91,25.95,25.89,1.0
80,26.22,,26.22,26.21,2.0
81,26.55,,26.56,,3.0
82,26.86,26.86,26.89,26.88,1.0
83,27.19,27.2,,27.18,2.0
84,27.52,27.53,,27.51,3.0
85,27.83,27.83,27.84,27.87,1.0
86,28.18,,,28.18,2.0
87,28.51,28.55,,28.51,3.0
88,28.82,28.82,,28.82,1.0
89,29.16,29.19,,29.15,2.0
90,29.49,29.5,,,3.0
91,29.79,29.8,29.77,29.83,1.0
92,30.14,,,30.16,2.0
93,30.46,,30.46,30.46,3.0
94,30.79,30.79,30.78,30.79,1.0
95,31.11,31.12,,31.1,2.0
96,31.44,31.47,,31.43,3.0
97,31.77,31.77,31.79,31.75,1.0
98,32.08,32.09,,,2.0
99,32.39,32.39,,,3.0
100,32.71,32.71,32.71,32.74,1.0
101,33.05,,,,2.0
102,33.37,,,,3.0
103,33.71,33.72,33.73,33.71,1.0
104,34.03,33.99,,,2.0
105,34.35,,,,3.0
106,34.66,34.65,34.68,34.67,1.0
107,34.96,34.92,,35.0,2.0
108,35.29,35.3,,35.32,3.0
109,35.62,35.62,35.65,35.65,1.0
110,35.94,,35.96,,2.0
111,36.27,,36.27,,3.0
112,36.6,36.59,36.61,36.61,1.0
113,36.92,,,,2.0
114,37.25,,,,3.0
115,37.58,37.58,37.59,37.57,1.0
116,37.9,,,37.88,2.0
117,38.22,,,,3.0
118,38.56,38.57,38.54,38.53,1.0
119,38.89,38.89,,38.86,2.0
120,39.2,39.22,,39.19,3.0
121,39.51,39.51,39.51,39.53,1.0
122,39.84,,39.81,39.85,2.0
123,40.16,,40.15,40.17,3.0
124,40.49,40.5,40.48,40.51,1.0
125,40.82,,,40.83,2.0
126,41.14,41.15,,,3.0
127,41.48,41.48,41.49,41.48,1.0
128,41.8,,,41.8,2.0
129,42.14,,,,3.0
130,42.47,42.47,42.46,42.47,1.0
131,42.8,42.81,,42.78,2.0
132,43.1,43.1,43.1,43.1,3.0
133,43.41,43.42,43.43,43.42,1.0
134,43.73,43.71,43.73,43.73,2.0
135,44.04,44.05,44.04,,3.0
136,44.36,44.32,44.37,44.36,1.0
137,44.69,,,44.69,2.0
138,45.02,,45.02,,3.0
139,45.34,45.36,45.33,45.32,1.0
140,45.67,45.69,45.64,45.69,2.0
141,45.98,45.99,,,3.0
142,46.29,46.29,46.3,46.3,1.0
143,46.62,46.63,46.58,46.63,2.0
144,46.92,46.91,,,3.0
145,47.25,47.26,47.24,47.24,1.0
146,47.57,,,47.58,2.0
147,47.88,47.94,47.88,47.89,3.0
148,48.21,48.26,48.21,48.21,1.0
149,48.54,,,48.54,2.0
150,48.85,,,48.85,3.0
151,49.17,49.17,49.16,49.18,1.0
152,49.5,,,49.52,2.0
153,49.81,,,49.84,3.0
154,50.12,50.16,50.1,,1.0
155,50.44,,,50.45,2.0
156,50.75,,,50.75,3.0
157,51.09,51.09,51.09,51.06,1.0
158,51.42,,,51.42,2.0
159,51.72,,,51.7,3.0
160,52.06,52.07,52.04,52.05,1.0
161,52.39,52.4,52.45,52.36,2.0
162,52.69,52.7,,52.69,3.0
163,53.01,53.01,53.02,53.02,1.0
164,53.32,53.33,,53.31,2.0
165,53.63,53.64,,53.64,3.0
166,53.96,53.96,53.96,53.96,1.0
167,54.27,,,54.27,2.0
168,54.59,,,54.57,3.0
169,54.91,54.93,54.92,54.91,1.0
170,55.22,55.22,,55.21,2.0
