,beats,piano,bass,drums,metre_auto
0,0.07,,,0.07,2.0
1,0.39,0.38,0.42,0.39,3.0
2,0.7,0.7,0.72,,4.0
3,1.03,,1.05,1.03,1.0
4,1.35,,1.35,1.35,2.0
5,1.67,,1.68,1.65,3.0
6,1.98,2.05,1.99,1.98,4.0
7,2.29,2.26,,2.29,1.0
8,2.61,2.58,2.63,2.6,2.0
9,2.92,,2.95,2.92,3.0
10,3.24,3.24,3.25,3.24,4.0
11,3.56,3.6,3.56,3.56,1.0
12,3.86,,3.87,3.87,2.0
13,4.18,4.25,4.2,4.18,3.0
14,4.49,,4.5,4.5,4.0
15,4.82,4.82,,4.82,1.0
16,5.12,5.19,5.12,5.12,2.0
17,5.43,5.48,5.44,5.43,3.0
18,5.75,,5.75,5.75,4.0
19,6.06,6.13,6.08,6.06,1.0
20,6.37,6.34,6.38,6.37,2.0
21,6.69,,6.69,6.67,3.0
22,7.0,7.03,6.98,7.01,4.0
23,7.31,,7.33,7.31,1.0
24,7.63,7.7,7.64,7.62,2.0
25,7.94,7.93,7.96,7.95,3.0
26,8.26,8.28,8.26,8.26,4.0
27,8.58,8.64,8.59,8.58,1.0
28,8.88,8.89,8.89,8.88,2.0
29,9.19,9.25,9.22,9.19,3.0
30,9.5,9.56,9.51,9.49,4.0
31,9.82,,9.82,9.82,1.0
32,10.13,10.15,10.14,10.13,2.0
33,10.43,10.47,10.44,10.43,3.0
34,10.76,10.74,10.77,10.76,4.0
35,11.08,,11.09,11.08,1.0
36,11.38,11.38,11.38,11.38,2.0
37,11.69,11.66,11.71,11.69,3.0
38,12.01,12.0,12.02,12.02,4.0
39,12.32,12.29,12.32,12.33,1.0
40,12.63,,12.64,12.63,2.0
41,12.94,,12.97,12.96,3.0
42,13.25,,13.27,13.26,4.0
43,13.56,,13.58,13.57,1.0
44,13.87,13.91,13.88,13.88,2.0
45,14.17,14.15,14.21,14.17,3.0
46,14.48,,14.53,14.47,4.0
47,14.79,,,14.79,1.0
48,15.1,,15.15,15.09,2.0
49,15.41,,15.45,15.41,3.0
50,15.73,15.78,15.74,15.72,4.0
51,16.04,,16.05,16.04,1.0
52,16.35,,16.35,16.35,2.0
53,16.66,,16.67,16.65,3.0
54,16.97,,16.99,16.97,4.0
55,17.28,,17.3,17.27,1.0
56,17.58,17.57,17.59,17.57,2.0
57,17.89,17.89,17.93,17.87,3.0
58,18.2,18.18,18.23,18.18,4.0
59,18.51,18.48,18.54,18.5,1.0
60,18.83,18.83,18.84,,2.0
61,19.14,19.2,19.15,19.12,3.0
62,19.44,19.51,19.46,19.41,4.0
63,19.75,,,,1.0
64,20.06,20.1,20.04,20.04,2.0
65,20.37,,20.34,,3.0
66,20.68,20.74,20.66,20.65,4.0
67,20.99,,20.98,,1.0
68,21.3,21.34,21.29,21.28,2.0
69,21.61,21.66,21.6,21.58,3.0
70,21.92,21.93,21.91,,4.0
71,22.24,,22.24,,1.0
72,22.54,,22.52,,2.0
73,22.86,22.88,,,3.0
74,23.16,23.14,23.15,23.16,4.0
75,23.48,23.49,23.5,,1.0
76,23.78,23.81,23.76,23.77,2.0
77,24.11,24.11,,24.09,3.0
78,24.42,24.43,24.4,24.41,4.0
79,24.73,24.74,24.73,24.73,1.0
80,25.05,25.03,25.06,25.05,2.0
81,25.35,,25.35,,3.0
82,25.68,25.68,25.68,25.69,4.0
83,25.98,25.99,25.98,26.01,1.0
84,26.3,26.3,26.3,26.31,2.0
85,26.62,,26.62,,3.0
86,26.93,,26.95,26.92,4.0
87,27.26,27.26,27.27,27.25,1.0
88,27.57,27.55,27.57,27.56,2.0
89,27.89,27.96,27.91,27.88,3.0
90,28.19,28.17,,28.19,4.0
91,28.5,28.49,28.47,28.5,1.0
92,28.82,,28.84,28.82,2.0
93,29.14,,29.19,29.13,3.0
94,29.46,,,29.44,4.0
95,29.77,,,29.78,1.0
96,30.1,30.16,,30.1,2.0
97,30.41,,30.41,30.4,3.0
98,30.73,,30.75,30.72,4.0
99,31.05,,31.05,31.05,1.0
100,31.36,31.39,31.36,31.36,2.0
101,31.68,31.72,31.67,31.68,3.0
102,32.0,32.05,,32.0,4.0
103,32.32,32.34,32.32,32.32,1.0
104,32.63,32.64,32.63,32.63,2.0
105,32.95,32.97,32.95,32.95,3.0
106,33.26,33.29,33.28,33.26,4.0
107,33.59,33.6,33.6,33.59,1.0
108,33.9,33.92,33.91,33.89,2.0
109,34.21,34.26,34.21,,3.0
110,34.51,34.54,34.51,34.51,4.0
111,34.83,,,34.82,1.0
112,35.14,,35.14,35.13,2.0
113,35.47,,35.47,35.47,3.0
114,35.78,,35.79,35.78,4.0
115,36.1,,36.09,36.08,1.0
116,36.4,36.46,36.4,36.4,2.0
117,36.72,36.75,36.72,36.7,3.0
118,37.03,37.07,37.03,,4.0
119,37.33,37.35,37.35,37.33,1.0
120,37.64,37.65,37.65,37.64,2.0
121,37.95,,37.94,37.96,3.0
122,38.28,,38.29,38.28,4.0
123,38.6,,38.61,38.59,1.0
124,38.9,,38.91,38.9,2.0
125,39.22,39.26,39.22,39.23,3.0
126,39.54,39.51,39.51,39.55,4.0
127,39.86,,,39.86,1.0
128,40.19,40.25,,40.19,2.0
129,40.51,40.55,40.54,40.53,3.0
130,40.83,40.84,40.8,40.83,4.0
131,41.15,41.15,,,1.0
132,41.46,41.49,41.46,41.46,2.0
133,41.78,41.84,41.8,,3.0
134,42.1,42.1,42.1,42.1,4.0
135,42.42,,42.45,,1.0
136,42.74,42.79,,42.73,2.0
137,43.06,43.08,43.06,,3.0
138,43.36,43.38,43.37,43.36,4.0
139,43.68,43.71,43.68,43.65,1.0
140,43.98,,44.0,43.97,2.0
141,44.3,44.33,44.32,44.3,3.0
142,44.6,44.64,,44.6,4.0
143,44.91,,44.9,44.91,1.0
144,45.22,,45.25,45.21,2.0
145,45.53,45.59,45.5,45.53,3.0
146,45.85,45.91,,45.86,4.0
147,46.15,,,46.15,1.0
148,46.48,46.55,46.5,46.48,2.0
149,46.78,,46.81,46.78,3.0
150,47.09,47.06,47.15,47.1,4.0
151,47.41,,47.47,47.42,1.0
152,47.72,47.79,47.76,47.71,2.0
153,48.04,,48.03,48.11,3.0
154,48.36,,48.37,48.36,4.0
