,beats,piano,bass,drums,metre_auto
0,0.15,0.15,,,4.0
1,0.4,0.41,0.4,0.39,1.0
2,0.65,,0.65,0.65,2.0
3,0.89,0.89,0.89,0.89,3.0
4,1.13,,1.14,1.13,4.0
5,1.37,1.36,1.37,1.37,1.0
6,1.61,1.6,1.62,1.61,2.0
7,1.85,1.83,1.87,1.85,3.0
8,2.08,2.08,2.09,2.09,4.0
9,2.32,2.34,2.33,2.32,1.0
10,2.57,,2.56,2.58,2.0
11,2.81,,2.82,2.83,3.0
12,3.05,,3.05,3.05,4.0
13,3.29,3.28,3.29,3.29,1.0
14,3.52,3.53,3.53,3.53,2.0
15,3.77,3.77,3.77,3.76,3.0
16,4.01,4.01,4.01,4.01,4.0
17,4.25,4.24,,4.26,1.0
18,4.48,4.46,4.49,4.5,2.0
19,4.73,4.72,4.74,4.72,3.0
20,4.96,,4.96,4.97,4.0
21,5.21,,5.22,5.22,1.0
22,5.45,5.46,5.42,5.46,2.0
23,5.69,5.69,5.71,5.68,3.0
24,5.93,,5.95,5.94,4.0
25,6.17,,6.19,6.17,1.0
26,6.41,,6.43,6.41,2.0
27,6.64,6.62,6.66,6.65,3.0
28,6.88,6.87,6.89,6.89,4.0
29,7.12,7.11,7.13,7.12,1.0
30,7.36,7.34,7.36,7.36,2.0
31,7.6,,7.6,7.59,3.0
32,7.84,7.82,7.84,7.83,4.0
33,8.08,8.07,8.07,8.06,1.0
34,8.32,8.29,8.3,8.3,2.0
35,8.56,,8.54,8.54,3.0
36,8.8,8.8,8.78,8.78,4.0
37,9.04,,9.02,9.01,1.0
38,9.28,9.26,,9.25,2.0
39,9.52,9.5,,9.51,3.0
40,9.76,9.74,,9.75,4.0
41,10.0,9.97,,,1.0
42,10.24,10.21,,10.22,2.0
43,10.48,,10.45,,3.0
44,10.72,,,10.7,4.0
45,10.96,10.97,10.94,10.93,1.0
46,11.2,11.22,11.2,11.18,2.0
47,11.44,,11.44,,3.0
48,11.68,11.67,11.68,11.67,4.0
49,11.92,11.9,11.92,11.91,1.0
50,12.16,12.15,12.16,12.16,2.0
51,12.41,12.4,12.42,12.4,3.0
52,12.64,,12.64,12.65,4.0
53,12.89,12.91,12.91,12.89,1.0
54,13.13,13.11,13.15,13.13,2.0
55,13.37,13.35,13.39,13.38,3.0
56,13.6,13.59,13.6,13.62,4.0
57,13.85,,13.85,13.85,1.0
58,14.08,14.07,14.08,14.08,2.0
59,14.32,,14.32,14.31,3.0
60,14.56,14.56,14.56,14.56,4.0
61,14.8,,14.81,14.8,1.0
62,15.04,,15.04,15.04,2.0
63,15.28,15.27,,15.27,3.0
64,15.52,,15.52,15.52,4.0
65,15.77,15.78,15.76,,1.0
66,16.0,16.0,15.99,16.0,2.0
67,16.25,,16.26,,3.0
68,16.49,,16.49,16.49,4.0
69,16.72,16.7,16.74,16.73,1.0
70,16.97,16.96,16.99,16.98,2.0
71,17.21,17.22,17.22,17.21,3.0
72,17.46,17.47,17.46,17.46,4.0
73,17.7,17.7,17.71,,1.0
74,17.94,,17.95,17.93,2.0
75,18.18,18.2,18.18,18.18,3.0
76,18.42,18.41,18.43,18.42,4.0
77,18.66,18.7,18.66,18.67,1.0
78,18.91,18.9,18.91,18.92,2.0
79,19.15,19.13,19.14,19.16,3.0
80,19.38,19.39,19.38,19.39,4.0
81,19.63,19.6,19.64,19.64,1.0
82,19.87,,19.88,19.86,2.0
83,20.11,20.09,20.11,20.11,3.0
84,20.34,,20.34,20.34,4.0
85,20.59,20.6,20.59,20.58,1.0
86,20.82,20.83,20.83,20.82,2.0
87,21.07,21.06,21.07,21.07,3.0
88,21.31,,21.31,21.32,4.0
89,21.55,21.54,21.56,,1.0
90,21.79,21.77,21.81,21.79,2.0
91,22.04,22.06,22.06,22.03,3.0
92,22.28,,22.28,22.27,4.0
93,22.52,22.53,22.52,22.52,1.0
94,22.75,22.75,22.76,22.76,2.0
95,23.0,22.99,23.01,,3.0
96,23.23,23.23,23.24,23.24,4.0
97,23.48,23.48,23.5,23.47,1.0
98,23.72,23.7,23.73,23.73,2.0
99,23.96,23.97,,23.95,3.0
100,24.19,24.19,24.19,24.2,4.0
101,24.43,24.43,24.44,24.42,1.0
