,beats,piano,bass,drums,metre_auto
0,0.24,0.29,,0.25,3.0
1,0.49,,,,4.0
2,0.75,,,,1.0
3,1.01,,,,2.0
4,1.27,,,,3.0
5,1.53,,,,4.0
6,1.79,1.78,,1.82,1.0
7,2.06,2.03,,,2.0
8,2.33,2.3,2.3,,3.0
9,2.6,,2.58,,4.0
10,2.87,2.86,2.85,2.84,1.0
11,3.14,3.12,3.12,,2.0
12,3.41,3.4,,,3.0
13,3.68,3.69,3.67,3.65,4.0
14,3.95,3.95,3.93,3.94,1.0
15,4.22,4.23,4.23,4.2,2.0
16,4.5,4.51,4.5,4.53,3.0
17,4.76,4.76,4.78,4.73,4.0
18,5.03,,,,1.0
19,5.3,5.29,5.3,5.28,2.0
20,5.58,5.58,5.58,,3.0
21,5.84,5.84,5.86,5.82,4.0
22,6.12,6.12,6.12,6.11,1.0
23,6.38,,6.38,6.37,2.0
24,6.66,6.66,6.67,,3.0
25,6.93,6.94,6.94,6.91,4.0
26,7.2,7.23,7.2,7.19,1.0
27,7.47,7.49,7.48,7.45,2.0
28,7.74,7.76,7.76,,3.0
29,8.01,8.01,8.02,,4.0
30,8.27,,8.27,8.27,1.0
31,8.54,8.57,8.55,8.53,2.0
32,8.82,8.83,8.82,8.85,3.0
33,9.08,9.1,9.08,9.06,4.0
34,9.35,9.35,9.35,,1.0
35,9.63,9.63,9.64,9.61,2.0
36,9.9,9.92,9.92,,3.0
37,10.16,,10.16,10.15,4.0
38,10.44,10.44,10.44,,1.0
39,10.7,10.74,10.7,10.68,2.0
40,10.97,11.0,10.97,10.97,3.0
41,11.24,11.25,11.25,11.23,4.0
42,11.52,11.56,,,1.0
43,11.77,11.81,11.76,11.76,2.0
44,12.05,12.07,12.05,,3.0
45,12.32,,12.32,12.3,4.0
46,12.58,12.58,12.59,12.59,1.0
47,12.85,12.89,12.86,12.84,2.0
48,13.12,13.14,13.11,,3.0
49,13.37,,,13.37,4.0
50,13.65,,13.65,,1.0
51,13.91,,13.92,13.92,2.0
52,14.19,,14.19,,3.0
53,14.46,,14.47,14.45,4.0
54,14.73,14.73,14.74,14.75,1.0
55,15.0,15.01,15.0,14.99,2.0
56,15.27,,15.27,,3.0
57,15.53,15.53,15.54,15.52,4.0
58,15.8,,15.82,,1.0
59,16.06,16.06,16.06,16.05,2.0
60,16.34,16.37,16.34,16.36,3.0
61,16.6,16.65,16.61,16.59,4.0
