,beats,piano,bass,drums,metre_auto
0,0.06,0.05,,0.06,1.0
1,0.32,,,0.32,2.0
2,0.59,0.61,,0.59,3.0
3,0.85,0.88,0.85,0.85,4.0
4,1.11,,1.11,1.12,1.0
5,1.37,,1.37,1.37,2.0
6,1.63,1.64,1.6,1.63,3.0
7,1.88,,1.87,1.88,4.0
8,2.14,2.14,2.11,2.14,1.0
9,2.4,2.41,2.4,2.4,2.0
10,2.66,2.66,,2.66,3.0
11,2.91,2.94,,2.9,4.0
12,3.18,,3.16,3.17,1.0
13,3.43,3.48,3.42,3.42,2.0
14,3.69,3.73,3.68,,3.0
15,3.93,3.99,3.92,3.92,4.0
16,4.2,,4.17,4.2,1.0
17,4.45,,4.45,4.45,2.0
18,4.71,,,4.72,3.0
19,4.97,5.0,4.94,4.97,4.0
20,5.24,5.24,,5.25,1.0
21,5.49,,5.46,5.49,2.0
22,5.76,5.78,,5.76,3.0
23,6.0,6.01,5.99,6.0,4.0
24,6.25,6.23,6.23,6.25,1.0
25,6.51,6.55,,6.52,2.0
26,6.77,6.77,6.77,6.77,3.0
27,7.02,7.03,7.0,7.02,4.0
28,7.28,,7.25,7.28,1.0
29,7.54,7.55,,7.53,2.0
30,7.79,,,7.78,3.0
31,8.03,8.07,8.03,8.02,4.0
32,8.29,8.31,,8.28,1.0
33,8.56,8.56,,8.54,2.0
34,8.82,,8.83,8.82,3.0
35,9.08,9.11,9.07,9.08,4.0
36,9.32,9.29,9.33,9.31,1.0
37,9.58,,9.59,9.58,2.0
38,9.84,,9.84,9.83,3.0
39,10.1,,10.09,,4.0
40,10.36,10.39,10.36,10.35,1.0
41,10.6,,10.61,10.6,2.0
42,10.87,10.88,10.84,10.86,3.0
43,11.12,11.12,,11.12,4.0
44,11.38,11.4,,11.37,1.0
45,11.62,11.63,11.62,11.6,2.0
46,11.89,11.89,11.87,11.87,3.0
47,12.15,12.16,12.12,,4.0
48,12.41,12.42,,12.38,1.0
49,12.65,12.69,12.64,12.64,2.0
50,12.92,12.94,12.91,12.91,3.0
51,13.17,13.19,13.16,13.16,4.0
52,13.44,13.45,13.41,13.43,1.0
53,13.69,13.72,13.68,13.68,2.0
54,13.96,13.97,13.93,13.97,3.0
55,14.2,14.21,14.2,14.19,4.0
56,14.46,14.48,14.48,14.47,1.0
57,14.7,14.71,14.72,14.7,2.0
58,14.96,14.97,14.99,14.97,3.0
59,15.21,15.22,15.22,15.2,4.0
