,beats,piano,bass,drums,metre_auto
0,0.36,0.4,0.35,0.35,1.0
1,0.67,0.72,,,2.0
2,0.96,0.93,0.95,0.94,3.0
3,1.27,1.32,,,4.0
4,1.56,1.55,1.57,1.56,1.0
5,1.87,1.9,,,2.0
6,2.16,,2.17,2.16,3.0
7,2.47,2.51,,,4.0
8,2.76,2.77,2.76,2.78,1.0
9,3.06,,,,2.0
10,3.36,3.36,3.37,3.36,3.0
11,3.67,,,,4.0
12,3.97,3.96,3.98,3.97,1.0
13,4.23,,,,2.0
14,4.5,,4.54,4.55,3.0
15,4.73,4.76,,,4.0
16,4.95,4.95,,5.01,1.0
17,5.18,5.17,5.2,5.18,2.0
18,5.49,5.51,,,3.0
19,5.79,5.81,5.79,5.79,4.0
20,6.09,,,,1.0
21,6.39,6.39,6.39,6.39,2.0
22,6.68,,,,3.0
23,6.99,7.02,7.02,6.99,4.0
24,7.22,7.23,,,1.0
25,7.44,7.43,,7.43,2.0
26,7.74,,,,3.0
27,7.98,7.98,,,4.0
28,8.2,8.21,8.2,8.19,1.0
29,8.45,8.46,,,2.0
30,8.75,8.74,,8.81,3.0
31,8.98,,,,4.0
32,9.21,9.21,,9.25,1.0
33,9.43,9.42,9.43,9.4,2.0
34,9.71,,,,3.0
35,10.01,10.01,10.01,10.04,4.0
36,10.3,,,,1.0
37,10.6,10.6,10.6,10.6,2.0
38,10.82,,,,3.0
39,11.05,11.02,,11.02,4.0
40,11.34,,,,1.0
41,11.61,11.61,,11.65,2.0
42,11.83,11.83,11.81,11.84,3.0
43,12.13,,,,4.0
44,12.44,12.44,12.43,12.45,1.0
45,12.73,,,,2.0
46,13.03,13.03,13.03,13.02,3.0
47,13.34,,,,4.0
48,13.63,13.62,13.65,13.64,1.0
49,13.93,,,,2.0
50,14.23,14.23,14.23,14.23,3.0
51,14.53,,,,4.0
52,14.83,14.83,14.85,14.82,1.0
53,15.14,15.18,,,2.0
54,15.41,15.43,15.41,15.4,3.0
55,15.72,15.78,15.79,,4.0
56,16.01,16.06,16.01,16.01,1.0
57,16.32,,16.38,,2.0
58,16.62,16.62,16.62,16.61,3.0
59,16.91,,16.94,,4.0
60,17.21,,17.2,17.25,1.0
61,17.52,17.59,,17.56,2.0
62,17.81,17.81,17.82,17.81,3.0
63,18.11,,18.17,,4.0
64,18.42,18.42,18.4,,1.0
65,18.72,18.78,,18.78,2.0
66,19.0,19.01,19.02,19.0,3.0
67,19.31,19.38,,,4.0
68,19.61,19.62,19.61,19.6,1.0
69,19.91,,,,2.0
70,20.2,20.21,20.21,20.19,3.0
71,20.51,,20.57,,4.0
72,20.8,20.81,20.79,20.8,1.0
73,21.1,,,,2.0
74,21.41,21.44,21.4,21.41,3.0
75,21.7,,,,4.0
76,22.01,22.03,22.02,22.0,1.0
77,22.3,,,,2.0
78,22.6,22.61,22.61,22.6,3.0
79,22.91,,,,4.0
80,23.18,23.19,23.21,23.18,1.0
81,23.47,,,,2.0
82,23.77,23.77,23.79,23.76,3.0
83,24.07,,,,4.0
84,24.38,24.4,24.38,24.38,1.0
85,24.67,,,,2.0
86,24.97,24.98,25.0,24.95,3.0
87,25.27,,,,4.0
88,25.57,25.57,25.58,25.57,1.0
89,25.88,25.89,,,2.0
90,26.17,,26.18,26.16,3.0
91,26.48,26.5,,,4.0
92,26.78,26.79,26.79,26.75,1.0
93,27.08,27.09,,,2.0
94,27.34,,27.35,27.34,3.0
95,27.65,27.69,,,4.0
96,27.94,27.98,27.95,27.93,1.0
97,28.23,28.2,,,2.0
98,28.54,28.59,28.54,28.54,3.0
99,28.83,28.89,,,4.0
100,29.14,,29.14,29.15,1.0
101,29.44,,,29.5,2.0
102,29.72,29.72,29.72,29.71,3.0
103,30.02,30.02,,,4.0
104,30.3,30.32,30.3,30.31,1.0
105,30.6,,,,2.0
106,30.88,30.88,30.9,30.88,3.0
107,31.18,,,,4.0
108,31.47,31.47,31.47,31.47,1.0
109,31.76,,,,2.0
110,32.06,32.09,32.09,32.06,3.0
111,32.36,,,,4.0
112,32.66,32.66,32.69,32.66,1.0
113,32.96,,,,2.0
114,33.26,33.27,33.27,33.26,3.0
115,33.54,33.53,,,4.0
116,33.85,33.83,33.84,33.85,1.0
117,34.13,34.11,,,2.0
118,34.44,34.45,34.42,34.44,3.0
119,34.72,34.73,,,4.0
120,35.02,35.0,35.03,35.02,1.0
121,35.31,,,,2.0
122,35.6,35.6,35.62,35.62,3.0
123,35.9,,,,4.0
124,36.2,36.22,36.2,,1.0
125,36.5,,,,2.0
126,36.79,36.79,36.79,36.79,3.0
127,37.09,37.1,,37.11,4.0
128,37.39,37.41,37.39,37.36,1.0
129,37.69,37.71,,,2.0
130,37.97,38.0,37.98,,3.0
131,38.28,38.29,,,4.0
132,38.53,38.58,38.53,38.52,1.0
133,38.84,38.87,,,2.0
134,39.12,39.14,39.13,39.11,3.0
135,39.42,39.42,,,4.0
136,39.73,39.7,39.73,39.7,1.0
137,40.01,40.0,,,2.0
138,40.29,40.29,40.27,40.29,3.0
139,40.57,40.56,,,4.0
140,40.87,40.85,40.88,40.87,1.0
141,41.18,,,,2.0
142,41.45,41.45,41.44,41.44,3.0
143,41.74,,,,4.0
144,42.04,42.04,42.03,42.04,1.0
145,42.34,42.34,,,2.0
146,42.63,42.62,42.63,42.63,3.0
147,42.91,42.89,,,4.0
148,43.22,43.19,43.22,43.22,1.0
149,43.52,,,,2.0
150,43.78,43.81,43.78,43.78,3.0
151,44.08,,,,4.0
152,44.39,44.42,44.39,44.38,1.0
153,44.69,,,,2.0
154,44.99,45.01,44.99,44.98,3.0
155,45.28,,,,4.0
156,45.59,45.63,45.59,45.58,1.0
157,45.88,45.86,,,2.0
158,46.18,46.2,46.19,46.17,3.0
159,46.45,46.46,,,4.0
160,46.76,46.77,46.79,46.76,1.0
161,47.06,,,47.06,2.0
162,47.35,,47.39,47.35,3.0
