,beats,piano,bass,drums,metre_auto
0,0.23,,,,1.0
1,0.66,,,,2.0
2,1.08,,,,3.0
3,1.51,,,,4.0
4,1.94,,,,1.0
5,2.39,,,,2.0
6,2.81,,,,3.0
7,3.25,,,,4.0
8,3.68,,,,1.0
9,4.11,4.19,,,2.0
10,4.54,4.53,,,3.0
11,4.97,,,,4.0
12,5.38,5.33,,,1.0
13,5.83,5.85,,,2.0
14,6.24,6.25,,,3.0
15,6.67,6.68,6.62,,4.0
16,7.1,7.13,7.06,7.05,1.0
17,7.53,,7.49,7.5,2.0
18,7.96,,7.92,7.93,3.0
19,8.39,8.48,8.37,8.36,4.0
20,8.82,,,8.8,1.0
21,9.25,,9.2,9.22,2.0
22,9.68,9.72,9.67,9.66,3.0
23,10.11,10.15,10.12,10.09,4.0
24,10.54,,,10.53,1.0
25,10.97,11.04,11.02,10.96,2.0
26,11.41,11.45,11.39,11.41,3.0
27,11.84,11.88,11.84,11.83,4.0
28,12.28,,12.29,12.27,1.0
29,12.7,12.74,12.71,12.7,2.0
30,13.13,,13.13,13.13,3.0
31,13.56,13.52,13.57,13.56,4.0
32,13.99,,14.01,13.99,1.0
33,14.43,14.52,14.43,14.42,2.0
34,14.86,14.94,14.87,14.86,3.0
35,15.29,15.24,15.3,15.29,4.0
36,15.72,15.68,15.72,15.72,1.0
37,16.15,,16.16,16.16,2.0
38,16.58,16.59,16.59,16.58,3.0
39,17.0,,17.01,17.0,4.0
40,17.44,17.45,17.44,17.44,1.0
41,17.87,17.91,17.87,17.87,2.0
42,18.3,18.36,18.31,18.3,3.0
43,18.73,18.78,18.76,18.73,4.0
44,19.16,19.12,19.18,19.15,1.0
45,19.59,19.69,19.6,19.58,2.0
46,20.01,19.97,20.01,20.01,3.0
47,20.44,,20.46,20.44,4.0
48,20.87,20.94,20.88,20.87,1.0
49,21.3,,21.31,21.3,2.0
50,21.73,21.77,21.74,21.72,3.0
51,22.15,22.21,22.16,22.15,4.0
52,22.58,,22.6,22.57,1.0
53,23.01,23.07,23.02,23.01,2.0
54,23.43,23.5,23.43,23.43,3.0
55,23.85,23.92,23.88,23.85,4.0
56,24.28,24.38,24.33,24.28,1.0
57,24.7,24.72,24.72,24.69,2.0
58,25.13,,25.14,25.12,3.0
59,25.54,25.63,25.56,25.54,4.0
60,25.96,,25.97,25.96,1.0
61,26.37,26.46,26.38,26.37,2.0
62,26.8,26.76,26.8,26.81,3.0
63,27.23,,27.22,27.22,4.0
64,27.66,,27.66,,1.0
65,28.09,28.15,28.09,28.08,2.0
66,28.52,28.62,28.51,28.53,3.0
67,28.95,29.05,28.95,28.95,4.0
68,29.38,,29.38,29.39,1.0
69,29.81,,29.84,29.81,2.0
70,30.26,30.33,30.28,30.24,3.0
71,30.68,,30.71,30.67,4.0
72,31.12,31.08,31.13,31.12,1.0
73,31.55,31.62,31.56,31.54,2.0
74,31.98,31.97,31.99,31.96,3.0
75,32.41,32.48,32.41,32.4,4.0
76,32.84,32.92,32.88,32.83,1.0
77,33.26,,33.27,33.26,2.0
78,33.69,33.79,33.69,33.7,3.0
79,34.12,34.19,34.13,34.12,4.0
80,34.54,34.53,34.55,34.56,1.0
81,34.97,,34.98,34.96,2.0
82,35.4,35.35,35.4,35.4,3.0
83,35.82,,35.83,35.82,4.0
84,36.26,36.33,36.26,36.25,1.0
85,36.68,36.74,36.7,36.67,2.0
86,37.1,37.17,37.14,37.1,3.0
87,37.53,37.51,37.55,37.52,4.0
88,37.97,38.0,,37.97,1.0
89,38.39,,38.39,38.38,2.0
90,38.83,38.87,38.83,38.82,3.0
91,39.25,39.26,39.26,39.24,4.0
92,39.69,39.71,39.69,39.67,1.0
93,40.1,,40.12,40.09,2.0
94,40.54,40.61,40.55,40.53,3.0
95,40.94,,41.01,40.93,4.0
96,41.37,41.44,41.39,41.36,1.0
97,41.79,41.8,41.79,41.8,2.0
98,42.22,42.19,42.22,42.23,3.0
99,42.65,,42.64,42.66,4.0
100,43.09,43.17,43.08,43.09,1.0
101,43.51,43.6,43.5,43.51,2.0
102,43.94,44.02,43.94,43.93,3.0
103,44.35,,44.36,44.34,4.0
104,44.78,,44.79,44.77,1.0
105,45.19,45.28,45.21,45.18,2.0
106,45.61,,45.61,45.62,3.0
107,46.04,46.13,46.06,46.03,4.0
108,46.47,,46.48,46.46,1.0
109,46.89,46.94,46.89,46.88,2.0
110,47.3,47.36,47.31,47.3,3.0
111,47.73,47.76,47.74,47.72,4.0
112,48.17,,48.18,48.15,1.0
113,48.58,,48.59,48.58,2.0
114,49.01,,49.02,49.01,3.0
115,49.42,49.38,49.41,49.42,4.0
116,49.86,49.94,49.86,49.85,1.0
117,50.28,50.35,50.3,50.27,2.0
118,50.71,50.77,50.72,50.7,3.0
119,51.11,51.18,51.16,51.11,4.0
120,51.55,51.6,51.55,51.53,1.0
121,51.95,52.05,51.97,51.95,2.0
122,52.39,52.48,52.39,52.38,3.0
123,52.8,52.9,52.8,52.79,4.0
124,53.23,53.29,53.23,53.24,1.0
125,53.65,53.75,53.66,53.65,2.0
126,54.06,54.14,54.06,54.07,3.0
127,54.51,54.55,54.52,54.51,4.0
128,54.92,54.99,54.96,54.92,1.0
129,55.36,,55.38,55.36,2.0
130,55.79,,55.81,55.79,3.0
131,56.21,,56.23,56.21,4.0
132,56.64,56.73,56.66,56.63,1.0
133,57.07,,57.09,57.06,2.0
134,57.49,57.56,57.5,57.49,3.0
135,57.92,57.91,57.93,57.92,4.0
136,58.36,,58.37,58.36,1.0
137,58.79,,58.8,58.79,2.0
138,59.23,59.3,59.25,59.23,3.0
139,59.66,59.71,59.68,59.63,4.0
140,60.06,60.02,60.08,60.06,1.0
141,60.49,,60.49,60.49,2.0
142,60.92,,60.92,60.92,3.0
143,61.34,61.39,61.35,61.34,4.0
144,61.77,61.72,61.77,61.78,1.0
