,beats,piano,bass,drums,metre_auto
0,0.14,0.15,,,1.0
1,0.37,0.36,0.39,0.37,2.0
2,0.61,,,0.64,3.0
3,0.87,0.87,0.91,,4.0
4,1.11,1.11,1.13,1.1,1.0
5,1.42,,,1.44,2.0
6,1.68,,1.66,1.69,3.0
7,1.99,2.01,2.04,1.96,4.0
8,2.25,2.25,2.29,2.26,1.0
9,2.53,2.53,,,2.0
10,2.78,2.77,2.77,2.79,3.0
11,3.05,3.06,3.05,3.05,4.0
12,3.31,3.31,,3.32,1.0
13,3.6,3.61,3.62,3.61,2.0
14,3.85,3.86,3.86,3.85,3.0
15,4.11,4.11,,4.14,4.0
16,4.42,4.48,,4.41,1.0
17,4.66,4.66,,4.66,2.0
18,4.93,4.97,4.95,4.92,3.0
19,5.24,5.27,5.28,,4.0
20,5.48,,5.49,5.47,1.0
21,5.71,5.69,,5.71,2.0
22,5.97,5.95,5.97,6.0,3.0
23,6.28,6.28,6.3,6.28,4.0
24,6.56,6.56,,6.58,1.0
25,6.82,6.81,,6.84,2.0
26,7.12,7.12,,7.12,3.0
27,7.41,7.42,7.42,7.39,4.0
28,7.66,,7.69,7.65,1.0
29,7.9,7.9,,7.95,2.0
30,8.13,8.18,,8.12,3.0
31,8.37,8.34,8.34,8.36,4.0
32,8.65,,,8.67,1.0
33,8.96,8.96,8.97,8.97,2.0
34,9.25,,9.28,9.25,3.0
35,9.56,9.53,9.58,9.54,4.0
36,9.85,,,9.83,1.0
37,10.14,10.15,,10.16,2.0
38,10.43,10.44,10.47,10.44,3.0
39,10.66,10.68,,10.66,4.0
40,10.9,10.9,10.96,10.9,1.0
41,11.18,11.22,,11.18,2.0
42,11.41,11.4,,11.41,3.0
43,11.68,11.67,,11.69,4.0
44,11.96,11.97,,11.96,1.0
45,12.24,12.24,12.24,12.24,2.0
46,12.53,12.53,,,3.0
47,12.83,12.83,12.85,12.88,4.0
48,13.12,13.13,,13.09,1.0
49,13.43,13.41,,13.43,2.0
50,13.67,13.67,13.67,13.69,3.0
51,13.91,,,13.94,4.0
52,14.14,14.18,14.18,14.13,1.0
53,14.38,14.38,,14.39,2.0
54,14.65,14.66,,14.68,3.0
55,14.88,14.88,,,4.0
56,15.14,15.18,15.2,15.14,1.0
57,15.37,15.37,15.36,15.38,2.0
58,15.65,,15.65,15.65,3.0
59,15.92,15.97,,15.92,4.0
60,16.22,,,16.23,1.0
61,16.45,16.46,16.46,16.44,2.0
62,16.71,,,16.72,3.0
63,16.96,16.98,,16.95,4.0
64,17.26,17.26,17.3,17.29,1.0
