,beats,piano,bass,drums,metre_auto
0,0.28,,,,3.0
1,0.6,,,,1.0
2,0.92,,0.92,0.92,2.0
3,1.27,,1.28,1.25,3.0
4,1.62,,,1.6,1.0
5,1.95,2.02,1.96,1.94,2.0
6,2.3,2.36,2.3,2.27,3.0
7,2.62,2.6,,2.62,1.0
8,2.96,,2.92,2.96,2.0
9,3.3,,3.3,3.3,3.0
10,3.64,3.7,3.63,3.64,1.0
11,3.98,,,3.98,2.0
12,4.33,4.35,4.33,4.31,3.0
13,4.66,,,4.66,1.0
14,4.99,,4.99,4.99,2.0
15,5.32,5.39,5.32,5.31,3.0
16,5.65,,5.66,5.65,1.0
17,5.99,6.04,6.01,5.98,2.0
18,6.32,,6.33,6.31,3.0
19,6.67,6.72,6.67,6.64,1.0
20,6.99,7.07,6.99,6.97,2.0
21,7.33,7.36,7.33,7.31,3.0
22,7.64,,7.64,7.64,1.0
23,7.99,8.05,8.0,7.98,2.0
24,8.3,,8.3,8.3,3.0
25,8.64,8.7,8.64,,1.0
26,8.98,9.06,8.99,8.98,2.0
27,9.32,9.32,9.32,9.31,3.0
28,9.65,9.69,9.65,9.64,1.0
29,9.99,10.01,9.99,9.98,2.0
30,10.31,,10.32,10.3,3.0
31,10.66,10.7,10.7,10.64,1.0
32,10.98,11.04,10.98,10.97,2.0
33,11.31,11.37,11.31,11.31,3.0
34,11.64,11.68,11.63,11.63,1.0
35,11.97,,11.97,11.96,2.0
36,12.3,12.37,12.31,12.3,3.0
37,12.63,,12.63,12.62,1.0
38,12.95,,12.95,12.95,2.0
39,13.28,13.33,13.28,13.28,3.0
40,13.62,13.63,13.63,13.6,1.0
41,13.95,,13.95,13.93,2.0
42,14.27,14.3,14.28,14.26,3.0
43,14.6,,14.61,14.59,1.0
44,14.94,,14.95,14.93,2.0
45,15.26,15.31,15.28,15.25,3.0
46,15.59,15.63,15.58,15.59,1.0
47,15.92,15.94,15.93,15.91,2.0
48,16.24,16.29,16.25,16.23,3.0
49,16.56,,16.58,16.56,1.0
50,16.87,,16.92,16.87,2.0
51,17.19,17.2,17.2,17.19,3.0
52,17.52,17.51,17.53,17.52,1.0
53,17.85,,17.86,17.84,2.0
54,18.17,18.14,18.17,18.16,3.0
55,18.49,,18.5,18.49,1.0
56,18.81,,18.81,18.8,2.0
57,19.14,19.18,,19.14,3.0
58,19.47,,,19.47,1.0
59,19.79,19.86,,19.79,2.0
60,20.13,20.18,,20.12,3.0
61,20.48,20.53,,,1.0
62,20.81,20.87,,20.81,2.0
63,21.16,,,,3.0
64,21.5,21.48,,21.51,1.0
65,21.85,,21.81,21.85,2.0
66,22.17,22.18,22.17,,3.0
67,22.53,22.54,22.59,22.52,1.0
68,22.85,,,22.84,2.0
69,23.2,23.2,23.23,,3.0
70,23.54,,23.54,,1.0
71,23.88,23.91,23.89,23.87,2.0
72,24.22,24.24,24.22,24.24,3.0
73,24.57,24.6,24.58,24.56,1.0
74,24.9,,24.9,24.9,2.0
75,25.25,25.26,25.24,,3.0
76,25.58,,25.58,,1.0
77,25.9,25.89,25.94,25.9,2.0
78,26.25,26.26,26.25,,3.0
79,26.58,,26.58,26.57,1.0
80,26.92,,26.92,26.91,2.0
81,27.26,27.26,27.25,,3.0
82,27.59,27.59,27.57,27.59,1.0
83,27.92,,27.91,27.93,2.0
84,28.26,,28.26,,3.0
85,28.6,28.61,28.59,28.6,1.0
86,28.94,28.97,28.95,28.93,2.0
87,29.27,,29.26,29.26,3.0
88,29.61,29.63,29.67,29.6,1.0
89,29.95,29.97,,29.95,2.0
90,30.3,30.32,,30.27,3.0
91,30.62,30.61,30.61,,1.0
92,30.96,,30.96,30.92,2.0
93,31.29,31.32,31.28,31.26,3.0
94,31.6,31.66,31.59,31.6,1.0
95,31.93,31.99,31.93,31.93,2.0
96,32.26,,32.27,32.24,3.0
97,32.59,,32.6,32.58,1.0
98,32.91,,32.92,32.9,2.0
99,33.24,33.3,33.25,33.23,3.0
100,33.57,33.58,33.58,33.55,1.0
101,33.89,33.96,33.94,33.88,2.0
102,34.22,,34.18,34.21,3.0
103,34.54,,34.5,34.54,1.0
104,34.88,,34.88,34.87,2.0
105,35.23,35.25,35.23,35.21,3.0
106,35.55,,,35.53,1.0
107,35.86,35.91,35.92,35.86,2.0
108,36.19,36.22,36.19,36.2,3.0
109,36.53,,36.55,36.52,1.0
110,36.85,36.9,36.86,36.85,2.0
111,37.18,37.19,37.16,37.19,3.0
112,37.5,37.48,,37.5,1.0
113,37.83,37.86,37.83,37.81,2.0
114,38.18,38.19,,,3.0
115,38.5,38.56,38.5,,1.0
116,38.84,,38.89,38.83,2.0
117,39.18,,39.19,39.17,3.0
118,39.51,,39.52,39.5,1.0
119,39.84,39.85,39.83,39.82,2.0
120,40.15,40.19,40.15,40.15,3.0
121,40.49,,40.5,,1.0
122,40.82,40.86,40.82,,2.0
123,41.15,41.15,,41.14,3.0
124,41.48,,41.49,41.48,1.0
125,41.82,41.83,41.83,41.82,2.0
126,42.14,,42.16,42.13,3.0
127,42.46,42.49,42.46,42.46,1.0
128,42.78,,,42.77,2.0
129,43.12,43.16,,43.1,3.0
130,43.45,,43.46,43.41,1.0
131,43.77,,,43.77,2.0
132,44.08,44.15,,44.08,3.0
133,44.42,,44.42,,1.0
134,44.75,44.77,,44.73,2.0
135,45.09,45.12,45.09,45.09,3.0
136,45.42,45.44,,45.41,1.0
137,45.74,45.77,,45.74,2.0
138,46.07,,,46.06,3.0
139,46.39,,46.39,46.4,1.0
140,46.75,46.78,,46.75,2.0
141,47.08,47.1,,47.07,3.0
142,47.41,,47.42,47.41,1.0
143,47.73,47.76,,47.73,2.0
144,48.04,48.11,,48.04,3.0
145,48.39,48.41,48.39,48.37,1.0
146,48.7,48.74,,48.68,2.0
147,49.04,49.07,49.05,49.02,3.0
148,49.36,,,49.34,1.0
149,49.69,49.7,49.69,49.67,2.0
