,beats,piano,bass,drums,metre_auto
0,0.01,0.01,,0.02,2.0
1,0.23,0.23,,,3.0
2,0.45,0.48,0.46,0.46,4.0
3,0.67,0.67,,0.68,1.0
4,0.89,0.91,,0.91,2.0
5,1.12,1.13,,1.14,3.0
6,1.35,1.36,,1.35,4.0
7,1.58,1.61,1.58,,1.0
8,1.79,1.8,1.8,1.8,2.0
9,2.03,2.04,,,3.0
10,2.24,2.26,,2.25,4.0
11,2.47,,,2.47,1.0
12,2.7,,,2.71,2.0
13,2.93,,,,3.0
14,3.15,,,3.16,4.0
15,3.39,3.37,,3.4,1.0
16,3.6,,,3.61,2.0
17,3.84,,3.87,3.84,3.0
18,4.06,4.07,,4.07,4.0
19,4.27,4.29,,4.28,1.0
20,4.5,4.51,,4.52,2.0
21,4.72,4.71,,,3.0
22,4.94,4.95,4.97,4.95,4.0
23,5.17,,,5.18,1.0
24,5.39,5.4,,5.4,2.0
25,5.6,5.6,5.59,5.64,3.0
26,5.83,5.84,5.84,5.85,4.0
27,6.06,6.05,6.09,6.07,1.0
28,6.29,6.31,,6.3,2.0
29,6.52,6.54,,6.52,3.0
30,6.76,,,6.77,4.0
31,6.97,6.98,7.0,6.97,1.0
32,7.2,7.2,,7.2,2.0
33,7.41,,,7.43,3.0
34,7.63,7.62,7.62,7.65,4.0
35,7.87,7.87,7.86,,1.0
36,8.08,,,8.09,2.0
37,8.31,8.33,,8.31,3.0
38,8.54,8.56,,8.52,4.0
39,8.76,,,8.76,1.0
40,8.98,,,8.98,2.0
41,9.21,9.21,,,3.0
42,9.43,,,9.44,4.0
43,9.65,9.66,,9.66,1.0
44,9.87,,,9.89,2.0
45,10.1,10.13,10.1,,3.0
46,10.33,10.33,,10.34,4.0
47,10.55,,,10.56,1.0
48,10.76,,,10.78,2.0
49,10.99,10.98,11.0,11.0,3.0
50,11.21,,11.23,11.22,4.0
51,11.42,,,11.43,1.0
52,11.66,11.67,11.66,11.67,2.0
53,11.88,11.91,11.9,,3.0
54,12.09,,,12.1,4.0
55,12.31,,12.29,12.33,1.0
56,12.54,12.55,,12.55,2.0
57,12.76,,12.76,12.76,3.0
58,12.98,13.0,12.97,12.99,4.0
59,13.21,13.21,13.21,13.21,1.0
60,13.44,,,13.45,2.0
61,13.66,13.68,,13.68,3.0
62,13.87,13.86,13.86,13.91,4.0
63,14.1,,14.1,14.13,1.0
64,14.34,14.36,,14.36,2.0
65,14.56,,,14.59,3.0
66,14.8,,14.78,14.81,4.0
67,15.02,,,15.02,1.0
68,15.25,15.24,,15.25,2.0
69,15.46,15.46,,15.47,3.0
70,15.69,15.7,15.68,15.69,4.0
71,15.9,,15.9,15.91,1.0
72,16.13,16.14,16.18,16.13,2.0
73,16.36,,,,3.0
74,16.58,,,16.59,4.0
75,16.79,16.79,,16.81,1.0
76,17.02,,,17.05,2.0
77,17.24,17.23,,,3.0
78,17.45,17.49,17.44,17.5,4.0
79,17.68,17.67,,17.71,1.0
80,17.92,,,17.94,2.0
81,18.15,,,18.16,3.0
82,18.37,18.35,,18.39,4.0
83,18.58,,,18.59,1.0
84,18.8,,,18.82,2.0
85,19.03,,,19.04,3.0
86,19.26,19.28,19.29,19.27,4.0
87,19.48,19.48,,19.49,1.0
88,19.69,19.7,19.73,19.7,2.0
89,19.91,,,19.92,3.0
90,20.13,20.14,20.18,20.15,4.0
91,20.35,20.37,,20.34,1.0
92,20.58,,,20.59,2.0
93,20.8,20.8,,20.81,3.0
94,21.02,,21.01,21.03,4.0
95,21.25,21.25,21.25,,1.0
96,21.47,21.47,,21.48,2.0
97,21.7,,,21.7,3.0
98,21.91,21.9,,21.93,4.0
99,22.14,,,,1.0
100,22.35,22.38,22.33,22.37,2.0
