,beats,piano,bass,drums,metre_auto
0,0.0,,,0.03,4.0
1,0.34,0.33,0.34,0.33,1.0
2,0.69,0.75,0.69,0.71,2.0
3,1.04,1.11,1.04,1.04,3.0
4,1.4,1.38,1.4,1.4,4.0
5,1.76,1.81,1.76,1.75,1.0
6,2.11,,2.11,2.13,2.0
7,2.47,2.5,2.47,2.46,3.0
8,2.83,2.88,2.83,2.83,4.0
9,3.18,3.19,3.18,3.18,1.0
10,3.53,,3.53,,2.0
11,3.9,3.91,3.89,3.91,3.0
12,4.26,,4.26,4.28,4.0
13,4.61,4.61,4.61,4.62,1.0
14,4.98,,4.98,4.99,2.0
15,5.33,5.41,5.32,5.34,3.0
16,5.7,5.73,5.68,,4.0
17,6.05,6.07,6.05,6.04,1.0
18,6.43,6.43,6.39,6.42,2.0
19,6.76,,6.76,6.76,3.0
20,7.12,7.16,7.12,,4.0
21,7.46,7.54,7.46,7.46,1.0
22,7.82,7.89,7.82,7.85,2.0
23,8.18,8.25,8.18,8.18,3.0
24,8.53,8.61,8.51,,4.0
25,8.89,8.92,8.89,8.89,1.0
26,9.24,,9.24,9.26,2.0
27,9.6,,9.6,9.6,3.0
28,9.96,,9.96,9.96,4.0
29,10.31,10.32,10.31,10.32,1.0
30,10.68,,10.69,10.68,2.0
31,11.02,11.02,11.02,11.03,3.0
32,11.39,11.36,11.38,11.39,4.0
33,11.75,11.79,11.74,11.75,1.0
34,12.1,12.17,12.09,12.1,2.0
35,12.45,12.52,12.45,12.46,3.0
36,12.81,12.89,12.8,12.83,4.0
37,13.17,13.23,13.17,13.18,1.0
38,13.54,13.61,13.54,13.6,2.0
39,13.9,13.95,13.89,13.9,3.0
40,14.26,14.29,14.25,14.28,4.0
41,14.62,14.65,14.61,14.63,1.0
42,14.98,15.01,14.97,15.0,2.0
43,15.34,15.37,15.35,15.34,3.0
44,15.73,15.74,15.71,15.7,4.0
45,16.06,16.09,16.04,16.06,1.0
46,16.42,16.44,16.4,16.4,2.0
47,16.77,16.82,16.77,16.77,3.0
48,17.13,,17.12,17.15,4.0
49,17.47,,17.48,17.48,1.0
50,17.84,,17.82,17.85,2.0
51,18.19,,18.19,18.21,3.0
52,18.55,18.61,18.55,18.58,4.0
53,18.91,18.93,18.92,18.91,1.0
54,19.29,19.33,19.29,19.28,2.0
55,19.62,19.7,19.61,19.62,3.0
56,19.99,20.04,19.97,19.99,4.0
57,20.33,20.4,20.34,20.32,1.0
58,20.71,20.73,20.71,20.71,2.0
59,21.05,,21.06,21.05,3.0
60,21.41,21.42,21.4,21.42,4.0
61,21.77,,21.77,21.78,1.0
62,22.15,22.15,22.15,22.16,2.0
63,22.52,22.52,22.49,22.49,3.0
64,22.86,22.9,22.84,22.86,4.0
65,23.21,23.26,23.21,23.22,1.0
66,23.57,23.6,23.56,23.56,2.0
67,23.92,,23.91,23.92,3.0
68,24.28,24.35,24.28,24.29,4.0
69,24.64,24.69,24.63,24.64,1.0
70,25.01,25.07,24.99,25.01,2.0
71,25.38,25.41,25.37,25.38,3.0
72,25.74,25.76,25.73,,4.0
73,26.08,26.11,26.07,26.07,1.0
74,26.46,26.5,26.46,26.46,2.0
75,26.79,26.82,26.79,26.79,3.0
76,27.17,27.18,27.17,27.17,4.0
77,27.53,,27.53,27.53,1.0
78,27.89,,27.89,27.87,2.0
79,28.22,28.26,28.24,28.2,3.0
80,28.59,28.61,28.59,28.56,4.0
81,28.92,28.95,28.92,28.91,1.0
82,29.29,29.3,29.28,29.37,2.0
83,29.64,,29.63,29.64,3.0
84,30.02,30.03,30.01,,4.0
85,30.35,,30.35,30.34,1.0
86,30.71,30.67,30.71,,2.0
87,31.05,31.11,31.05,31.04,3.0
88,31.41,31.45,31.4,31.47,4.0
89,31.76,31.81,31.75,31.74,1.0
90,32.12,32.19,32.12,32.12,2.0
91,32.46,,32.47,32.46,3.0
92,32.83,32.88,32.82,32.83,4.0
93,33.17,33.23,33.16,33.17,1.0
94,33.54,33.61,33.54,33.55,2.0
95,33.89,33.95,33.89,33.9,3.0
96,34.27,34.3,34.24,34.34,4.0
97,34.61,34.64,34.61,34.6,1.0
98,34.97,34.98,34.96,34.98,2.0
99,35.32,35.36,35.32,35.32,3.0
100,35.68,35.7,35.68,35.69,4.0
101,36.04,36.07,36.04,36.04,1.0
102,36.41,36.45,36.4,36.45,2.0
103,36.75,36.8,36.75,36.75,3.0
104,37.12,37.14,37.11,37.12,4.0
105,37.47,,37.47,37.48,1.0
106,37.82,,37.82,,2.0
107,38.18,,38.18,38.18,3.0
108,38.55,38.57,38.54,38.54,4.0
109,38.89,38.93,38.88,38.88,1.0
110,39.24,39.31,39.23,39.25,2.0
111,39.61,,39.61,39.61,3.0
112,39.97,,39.97,40.0,4.0
113,40.31,,40.32,40.3,1.0
114,40.67,40.69,40.67,40.69,2.0
115,41.02,,41.02,41.02,3.0
116,41.39,41.43,41.38,41.4,4.0
117,41.74,41.73,41.73,41.74,1.0
118,42.09,42.08,42.09,42.11,2.0
