,beats,piano,bass,drums,metre_auto
0,0.26,0.25,0.23,0.22,1.0
1,0.67,0.67,0.66,0.64,2.0
2,1.07,,1.07,1.06,3.0
3,1.5,1.5,1.52,1.46,4.0
4,1.91,1.91,1.93,1.89,1.0
5,2.33,2.33,2.34,2.32,2.0
6,2.73,,2.74,2.72,3.0
7,3.15,3.15,3.16,3.14,4.0
8,3.55,,3.57,3.54,1.0
9,3.98,3.98,3.99,3.96,2.0
10,4.38,4.38,4.38,4.36,3.0
11,4.79,,4.81,4.78,4.0
12,5.2,5.21,5.19,5.19,1.0
13,5.62,5.62,5.61,5.6,2.0
14,6.03,,6.03,6.02,3.0
15,6.45,6.44,6.45,6.44,4.0
16,6.85,,6.85,6.85,1.0
17,7.28,7.29,7.28,7.27,2.0
18,7.7,7.71,7.69,7.68,3.0
19,8.13,,8.13,8.11,4.0
20,8.53,,8.53,8.52,1.0
21,8.96,8.98,8.93,8.94,2.0
22,9.36,9.36,9.35,9.37,3.0
23,9.79,9.83,9.78,9.79,4.0
24,10.21,10.25,10.21,10.2,1.0
25,10.64,10.67,10.62,10.62,2.0
26,11.05,,11.05,11.04,3.0
27,11.47,11.47,11.46,11.46,4.0
28,11.87,,11.87,11.87,1.0
29,12.3,12.35,12.3,12.29,2.0
30,12.73,12.74,12.71,12.7,3.0
31,13.15,13.19,13.12,13.12,4.0
32,13.55,13.55,13.56,13.53,1.0
33,13.96,13.97,13.96,13.95,2.0
34,14.38,,14.39,14.37,3.0
35,14.8,14.8,14.79,14.79,4.0
36,15.23,,15.25,15.19,1.0
37,15.64,15.65,15.63,15.62,2.0
38,16.06,16.08,16.05,16.03,3.0
39,16.46,16.45,16.47,16.45,4.0
40,16.88,16.89,16.88,16.85,1.0
41,17.3,17.33,17.3,17.27,2.0
42,17.7,17.78,17.71,17.69,3.0
43,18.12,18.12,18.13,18.11,4.0
44,18.52,18.5,18.53,18.51,1.0
45,18.96,18.97,18.96,18.93,2.0
46,19.36,19.36,19.36,19.34,3.0
47,19.79,19.81,19.78,,4.0
48,20.18,,20.19,20.17,1.0
49,20.6,,20.6,20.59,2.0
50,21.02,,21.03,20.99,3.0
51,21.43,21.43,21.44,21.41,4.0
52,21.85,21.84,21.86,21.82,1.0
53,22.28,22.32,22.27,22.25,2.0
54,22.67,,22.68,22.65,3.0
55,23.09,23.09,23.09,23.08,4.0
56,23.5,,23.51,23.49,1.0
57,23.9,23.94,23.93,23.9,2.0
58,24.33,24.35,24.33,24.32,3.0
59,24.75,24.79,24.76,24.74,4.0
60,25.15,,25.17,25.14,1.0
61,25.58,25.58,25.58,25.56,2.0
62,25.97,26.03,25.98,25.96,3.0
63,26.41,26.45,26.4,26.38,4.0
64,26.81,26.83,26.81,26.78,1.0
65,27.21,27.2,27.22,27.21,2.0
66,27.59,,27.55,27.58,3.0
67,28.01,28.01,28.02,28.0,4.0
68,28.43,28.44,28.42,28.42,1.0
69,28.86,28.89,28.85,28.85,2.0
70,29.27,,29.26,29.26,3.0
71,29.68,29.67,29.68,29.68,4.0
72,30.09,30.09,30.09,30.09,1.0
73,30.51,30.52,30.51,30.51,2.0
74,30.93,30.96,30.93,30.91,3.0
75,31.36,31.39,31.37,31.32,4.0
76,31.76,31.77,31.76,31.72,1.0
77,32.17,32.18,32.16,32.14,2.0
78,32.57,32.58,32.58,32.55,3.0
79,32.99,32.99,32.99,32.97,4.0
80,33.39,,33.4,33.37,1.0
81,33.82,33.82,33.81,33.78,2.0
82,34.22,34.22,34.21,34.18,3.0
83,34.63,,34.63,34.6,4.0
84,35.05,35.05,35.06,35.0,1.0
85,35.44,35.45,35.47,35.43,2.0
86,35.87,35.91,35.87,35.84,3.0
87,36.29,,36.29,,4.0
88,36.67,,36.68,36.67,1.0
89,37.08,37.05,37.09,37.08,2.0
90,37.48,,37.5,37.47,3.0
91,37.89,37.89,37.91,37.89,4.0
92,38.31,38.3,38.32,38.29,1.0
93,38.7,38.69,38.72,38.72,2.0
94,39.12,39.12,39.12,39.11,3.0
95,39.55,,39.55,39.52,4.0
96,39.97,39.98,39.97,39.92,1.0
97,40.39,40.4,40.37,,2.0
98,40.77,40.77,40.78,40.77,3.0
99,41.21,41.21,41.21,41.18,4.0
100,41.59,,41.61,41.58,1.0
101,42.0,42.0,42.04,42.0,2.0
102,42.43,42.44,42.44,42.41,3.0
103,42.86,42.9,42.86,42.84,4.0
104,43.28,,43.3,43.24,1.0
105,43.7,43.71,43.69,43.66,2.0
106,44.1,44.14,44.11,44.05,3.0
107,44.48,44.49,44.52,44.47,4.0
108,44.91,44.95,44.91,44.87,1.0
109,45.32,45.33,45.31,45.3,2.0
110,45.73,45.74,45.73,45.7,3.0
111,46.16,46.22,46.17,46.13,4.0
112,46.56,46.56,46.55,46.52,1.0
113,46.98,46.99,46.96,46.95,2.0
114,47.38,47.39,47.37,47.34,3.0
115,47.78,47.79,47.77,47.75,4.0
116,48.18,,48.19,48.17,1.0
117,48.61,48.62,48.6,48.59,2.0
118,49.01,49.01,49.01,48.98,3.0
119,49.43,49.45,49.41,49.4,4.0
120,49.85,49.89,49.85,49.8,1.0
121,50.26,50.29,50.26,50.22,2.0
122,50.66,50.67,50.65,50.63,3.0
123,51.06,51.07,51.07,51.04,4.0
124,51.46,,51.47,51.45,1.0
125,51.87,51.87,51.9,51.87,2.0
126,52.29,52.29,52.29,52.26,3.0
127,52.7,52.7,52.7,52.67,4.0
128,53.08,53.08,53.09,53.07,1.0
129,53.51,53.56,53.51,,2.0
130,53.92,53.94,53.91,53.91,3.0
131,54.34,54.33,54.35,54.33,4.0
132,54.73,54.73,54.78,54.75,1.0
133,55.17,55.17,55.17,55.14,2.0
134,55.56,55.66,55.57,55.55,3.0
135,55.97,,56.0,55.97,4.0
136,56.38,,56.39,56.35,1.0
137,56.78,56.78,56.79,56.79,2.0
138,57.2,57.2,57.2,57.18,3.0
139,57.6,57.64,57.6,57.6,4.0
140,58.01,,58.01,57.99,1.0
141,58.41,,58.42,58.4,2.0
142,58.83,,58.83,58.81,3.0
143,59.23,,59.26,,4.0
144,59.62,59.62,59.67,59.6,1.0
145,60.05,60.05,60.06,60.02,2.0
146,60.45,60.46,60.45,60.41,3.0
147,60.85,60.84,60.87,60.84,4.0
148,61.27,61.27,61.27,61.25,1.0
149,61.7,61.71,61.7,61.69,2.0
150,62.1,62.09,62.12,62.09,3.0
151,62.53,,62.54,,4.0
152,62.94,62.94,62.97,62.93,1.0
153,63.36,63.37,63.37,63.35,2.0
154,63.78,63.78,63.78,,3.0
155,64.21,64.22,64.21,64.17,4.0
156,64.63,64.64,64.61,64.58,1.0
157,65.02,,65.03,64.98,2.0
158,65.41,65.4,65.42,65.39,3.0
159,65.84,,65.84,,4.0
160,66.24,,66.24,66.23,1.0
161,66.66,66.64,66.67,66.65,2.0
162,67.08,67.11,67.07,67.08,3.0
163,67.49,67.49,67.48,67.5,4.0
164,67.9,67.9,67.89,67.89,1.0
165,68.31,68.32,68.3,68.31,2.0
166,68.72,,68.72,68.71,3.0
167,69.13,69.09,69.13,69.13,4.0
168,69.55,69.56,69.56,69.53,1.0
169,69.95,69.96,69.96,69.95,2.0
170,70.37,70.38,70.38,70.36,3.0
171,70.8,70.8,70.8,70.77,4.0
172,71.2,71.2,71.2,71.18,1.0
173,71.59,71.58,71.6,71.59,2.0
174,72.0,72.01,72.0,71.98,3.0
175,72.41,72.42,72.42,72.39,4.0
176,72.81,,72.82,72.79,1.0
177,73.2,73.19,73.24,73.2,2.0
178,73.61,73.61,73.61,73.58,3.0
179,74.01,74.03,74.0,73.99,4.0
180,74.43,74.44,74.44,74.41,1.0
181,74.83,74.84,74.83,74.82,2.0
182,75.22,75.23,75.22,75.22,3.0
183,75.65,75.68,75.64,,4.0
184,76.05,76.09,76.03,76.04,1.0
185,76.46,76.5,76.45,76.47,2.0
186,76.87,76.9,76.87,76.86,3.0
187,77.26,,77.27,77.26,4.0
188,77.68,,77.68,77.66,1.0
189,78.1,78.11,78.11,78.08,2.0
190,78.5,78.51,78.51,78.48,3.0
191,78.9,78.91,78.91,78.9,4.0
192,79.32,79.32,79.35,79.31,1.0
193,79.75,79.76,79.76,79.72,2.0
194,80.16,80.16,80.17,80.15,3.0
195,80.59,80.66,80.6,80.56,4.0
196,81.0,81.05,80.99,,1.0
197,81.42,81.43,81.42,81.39,2.0
198,81.82,81.82,81.83,81.79,3.0
199,82.25,82.23,82.26,,4.0
200,82.65,82.65,82.68,82.62,1.0
201,83.08,83.1,83.06,83.04,2.0
202,83.48,83.49,83.48,83.45,3.0
203,83.91,83.98,83.91,,4.0
204,84.3,84.3,84.3,84.27,1.0
205,84.7,84.73,84.7,84.7,2.0
206,85.12,85.15,85.12,85.1,3.0
207,85.55,,85.57,85.52,4.0
208,85.95,85.94,85.95,,1.0
209,86.35,86.34,86.37,86.35,2.0
210,86.78,86.82,86.78,86.75,3.0
211,87.21,87.23,87.19,87.18,4.0
212,87.61,87.64,87.61,87.57,1.0
213,88.01,87.98,88.01,88.0,2.0
214,88.4,88.4,88.42,88.4,3.0
215,88.83,88.85,88.82,88.82,4.0
216,89.25,89.26,89.26,89.25,1.0
217,89.67,,89.68,89.66,2.0
218,90.07,,90.08,90.06,3.0
219,90.47,90.47,90.5,90.47,4.0
220,90.91,90.91,90.89,90.87,1.0
221,91.29,91.3,91.3,91.28,2.0
222,91.71,91.75,91.72,91.7,3.0
223,92.14,92.09,92.13,,4.0
224,92.53,,92.52,92.51,1.0
225,92.93,92.94,92.94,92.93,2.0
226,93.36,93.31,93.36,93.33,3.0
227,93.77,93.83,93.76,93.74,4.0
228,94.18,94.21,94.21,94.14,1.0
229,94.56,,94.61,94.55,2.0
230,94.96,94.97,95.0,94.95,3.0
231,95.39,95.39,95.43,95.36,4.0
