,beats,piano,bass,drums,metre_auto
0,0.12,,,0.11,4.0
1,0.38,,,,1.0
2,0.64,,,,2.0
3,0.9,,,,3.0
4,1.16,1.22,1.14,,4.0
5,1.42,,,1.46,1.0
6,1.68,1.65,1.67,1.67,2.0
7,1.94,,,1.94,3.0
8,2.2,2.19,2.2,,4.0
9,2.47,2.48,2.46,2.48,1.0
10,2.73,2.74,2.75,2.74,2.0
11,2.99,,,3.0,3.0
12,3.25,,,,4.0
13,3.51,3.54,3.53,3.54,1.0
14,3.77,3.82,,3.81,2.0
15,4.03,4.09,,4.09,3.0
16,4.29,4.27,4.33,4.34,4.0
17,4.54,4.52,4.6,4.6,1.0
18,4.78,4.79,,4.77,2.0
19,5.04,5.04,,,3.0
20,5.28,5.29,,,4.0
21,5.54,5.59,,5.57,1.0
22,5.78,,,,2.0
23,6.03,,,,3.0
24,6.28,,,,4.0
25,6.53,,,,1.0
26,6.79,6.77,,,2.0
27,7.05,7.02,,7.03,3.0
28,7.31,7.29,,7.29,4.0
29,7.57,,,7.58,1.0
30,7.83,,,7.83,2.0
31,8.09,8.09,8.15,,3.0
32,8.35,8.35,8.35,,4.0
33,8.61,8.61,8.6,8.6,1.0
34,8.87,8.87,8.87,,2.0
35,9.13,9.15,9.14,9.14,3.0
36,9.4,9.41,9.41,9.39,4.0
37,9.66,9.67,9.67,9.69,1.0
38,9.92,9.93,9.93,9.92,2.0
39,10.18,10.24,10.18,10.19,3.0
40,10.44,10.48,,,4.0
41,10.69,10.73,10.7,10.71,1.0
42,10.94,10.96,10.96,10.99,2.0
43,11.19,11.16,11.23,,3.0
44,11.43,11.41,,,4.0
45,11.68,11.66,,,1.0
46,11.93,11.92,11.99,11.94,2.0
47,12.18,12.21,,12.18,3.0
48,12.43,12.45,12.43,12.44,4.0
49,12.7,12.7,,,1.0
50,12.96,12.98,12.93,12.98,2.0
51,13.21,13.25,,13.21,3.0
52,13.46,13.49,13.46,13.46,4.0
53,13.72,13.72,,,1.0
54,13.98,14.02,14.02,14.01,2.0
55,14.23,14.27,,14.23,3.0
56,14.48,14.51,14.49,14.48,4.0
57,14.73,14.77,,,1.0
58,14.97,,,,2.0
59,15.22,,,,3.0
60,15.48,15.53,,,4.0
61,15.72,,,,1.0
62,15.98,,,,2.0
63,16.22,,,,3.0
64,16.48,,,,4.0
65,16.74,,16.71,16.72,1.0
66,17.0,17.0,,16.98,2.0
67,17.26,17.26,17.23,17.25,3.0
68,17.52,17.52,17.49,17.51,4.0
69,17.78,17.77,,17.78,1.0
70,18.04,,18.03,18.02,2.0
71,18.3,18.3,18.28,18.3,3.0
72,18.56,18.57,18.55,18.55,4.0
73,18.82,18.82,18.82,18.82,1.0
74,19.08,,19.08,19.07,2.0
75,19.35,,19.34,19.35,3.0
76,19.61,,19.6,19.6,4.0
77,19.87,,19.88,,1.0
78,20.13,20.15,20.11,20.13,2.0
79,20.39,20.4,20.4,20.41,3.0
80,20.64,20.65,20.65,20.65,4.0
81,20.91,20.91,20.91,20.92,1.0
82,21.17,,21.17,21.18,2.0
83,21.43,21.45,21.42,21.44,3.0
84,21.69,21.72,21.67,21.69,4.0
85,21.95,21.98,21.95,21.95,1.0
86,22.21,,22.19,22.21,2.0
87,22.47,22.5,22.47,22.48,3.0
88,22.72,22.77,22.72,22.72,4.0
89,22.99,23.01,22.99,22.99,1.0
90,23.24,23.26,23.24,23.24,2.0
91,23.51,23.52,23.5,,3.0
92,23.76,23.77,23.76,23.76,4.0
93,24.02,24.05,24.01,24.06,1.0
94,24.28,24.31,24.27,24.27,2.0
95,24.54,24.58,24.52,24.55,3.0
96,24.8,24.84,24.77,24.8,4.0
97,25.06,25.08,25.06,25.07,1.0
98,25.32,25.35,25.32,25.32,2.0
99,25.59,25.63,25.6,25.59,3.0
100,25.84,,25.84,25.84,4.0
101,26.11,,26.12,26.12,1.0
102,26.37,,26.38,26.37,2.0
103,26.63,26.61,26.64,26.65,3.0
104,26.89,26.89,26.88,26.89,4.0
105,27.15,27.15,27.17,27.16,1.0
106,27.41,27.4,27.41,27.42,2.0
107,27.67,27.69,27.68,27.68,3.0
108,27.93,27.94,27.94,27.94,4.0
109,28.19,,28.2,28.21,1.0
110,28.45,,28.45,28.45,2.0
111,28.71,28.73,28.74,28.73,3.0
112,28.97,28.99,28.98,28.98,4.0
113,29.23,,29.23,,1.0
114,29.49,,29.49,29.49,2.0
115,29.75,29.78,29.75,29.75,3.0
116,30.01,,30.0,30.01,4.0
117,30.27,,30.27,30.29,1.0
118,30.52,,30.53,30.51,2.0
119,30.78,30.77,30.8,30.8,3.0
120,31.02,31.03,31.02,31.02,4.0
121,31.29,31.29,31.28,31.31,1.0
122,31.53,,31.52,31.52,2.0
123,31.8,31.79,31.78,31.82,3.0
124,32.05,,32.05,32.04,4.0
125,32.31,32.32,32.33,,1.0
126,32.57,32.59,32.55,32.57,2.0
127,32.84,32.84,32.84,32.84,3.0
128,33.09,33.1,33.08,33.1,4.0
129,33.36,33.38,33.35,33.36,1.0
130,33.62,33.62,33.61,33.63,2.0
131,33.87,33.87,33.87,33.87,3.0
132,34.13,34.16,34.12,34.13,4.0
133,34.4,,34.41,,1.0
134,34.65,,34.66,34.64,2.0
135,34.92,,34.92,34.92,3.0
136,35.17,35.17,35.18,35.17,4.0
137,35.44,35.44,35.44,35.44,1.0
138,35.69,35.69,35.7,35.69,2.0
139,35.95,35.95,35.96,35.96,3.0
140,36.21,36.21,36.22,36.22,4.0
141,36.48,36.48,36.48,36.5,1.0
142,36.73,,36.72,36.73,2.0
143,37.0,,,37.0,3.0
144,37.25,37.26,37.24,37.26,4.0
145,37.52,37.55,37.52,37.52,1.0
146,37.78,,,37.78,2.0
147,38.04,38.06,38.01,38.05,3.0
148,38.29,38.29,38.28,38.29,4.0
149,38.56,38.54,38.54,38.57,1.0
150,38.81,38.81,38.81,38.82,2.0
151,39.08,,39.08,39.1,3.0
152,39.33,39.37,,39.33,4.0
153,39.6,39.64,39.59,39.6,1.0
154,39.86,39.9,39.84,39.86,2.0
155,40.12,40.16,,40.13,3.0
156,40.37,40.41,40.36,40.36,4.0
157,40.64,,,40.64,1.0
158,40.9,40.91,,40.9,2.0
159,41.16,41.19,,41.18,3.0
160,41.42,41.42,,41.42,4.0
161,41.68,41.7,,41.68,1.0
162,41.93,41.93,41.9,41.93,2.0
163,42.2,42.22,,42.2,3.0
164,42.45,42.48,42.42,42.44,4.0
165,42.71,42.71,42.7,,1.0
