,beats,piano,bass,drums,metre_auto
0,0.0,0.01,,0.02,1.0
1,0.37,0.37,,0.38,2.0
2,0.78,0.78,0.82,0.78,3.0
3,1.2,1.22,1.2,1.16,1.0
4,1.57,1.59,1.58,1.57,2.0
5,1.96,,,1.95,3.0
6,2.37,,,2.37,1.0
7,2.78,,,2.78,2.0
8,3.19,3.23,3.2,3.19,3.0
9,3.61,3.63,3.61,3.59,1.0
10,4.01,4.05,,4.0,2.0
11,4.39,4.4,,,3.0
12,4.81,4.84,4.83,4.8,1.0
13,5.21,5.21,5.22,5.21,2.0
14,5.62,,,5.62,3.0
15,6.06,6.1,6.06,6.02,1.0
16,6.46,6.47,,6.44,2.0
17,6.86,6.86,,,3.0
18,7.28,7.3,7.28,7.27,1.0
19,7.68,,,7.68,2.0
20,8.1,,,8.07,3.0
21,8.48,8.49,8.49,8.49,1.0
22,8.87,8.87,8.97,8.88,2.0
23,9.26,9.26,,9.27,3.0
24,9.66,9.66,9.69,9.66,1.0
25,10.06,10.09,,10.05,2.0
26,10.46,10.49,,10.45,3.0
27,10.85,10.83,10.87,10.85,1.0
28,11.26,,,11.26,2.0
29,11.66,11.67,,11.68,3.0
30,12.04,12.05,12.05,12.07,1.0
31,12.46,12.56,12.46,12.47,2.0
32,12.88,12.87,12.88,12.89,3.0
33,13.3,13.3,13.28,13.31,1.0
34,13.7,13.72,13.69,13.7,2.0
35,14.11,14.13,14.11,14.1,3.0
36,14.5,,14.51,14.5,1.0
37,14.88,14.87,,14.89,2.0
38,15.26,15.23,,15.26,3.0
39,15.65,15.6,15.67,15.62,1.0
40,16.04,16.13,,16.03,2.0
41,16.44,16.51,,16.44,3.0
42,16.85,16.84,16.86,16.86,1.0
43,17.25,17.23,,17.26,2.0
44,17.69,17.73,,,3.0
45,18.1,18.12,18.08,18.1,1.0
46,18.49,,18.49,18.5,2.0
47,18.91,18.91,,18.89,3.0
48,19.32,,19.33,19.28,1.0
49,19.72,19.72,,19.71,2.0
50,20.14,20.15,,,3.0
51,20.52,20.54,,20.52,1.0
52,20.91,20.88,20.92,20.91,2.0
53,21.3,,,,3.0
54,21.73,21.78,21.71,21.74,1.0
55,22.12,,,22.11,2.0
56,22.56,,,22.52,3.0
57,22.97,22.98,,22.93,1.0
58,23.37,23.37,23.38,23.34,2.0
59,23.77,,,,3.0
60,24.16,24.22,24.17,24.16,1.0
61,24.6,24.61,,24.56,2.0
62,25.01,,,,3.0
63,25.43,25.44,,25.38,1.0
64,25.82,25.87,,25.77,2.0
65,26.2,26.21,,26.22,3.0
66,26.61,26.62,26.65,26.59,1.0
67,27.01,27.05,,27.0,2.0
68,27.4,27.38,,27.4,3.0
69,27.8,27.86,27.78,27.8,1.0
70,28.24,28.25,,28.23,2.0
71,28.63,,,28.63,3.0
72,29.03,29.06,28.99,29.02,1.0
73,29.44,29.44,,29.44,2.0
74,29.84,29.85,,29.82,3.0
75,30.25,30.25,30.21,30.27,1.0
76,30.66,30.66,,30.61,2.0
77,31.06,31.06,,31.06,3.0
78,31.46,31.48,31.48,31.42,1.0
79,31.85,,31.87,31.84,2.0
80,32.25,32.3,32.25,32.25,3.0
81,32.65,32.65,32.66,32.65,1.0
82,33.03,33.01,,33.05,2.0
83,33.45,,,33.46,3.0
84,33.84,,33.9,33.83,1.0
85,34.25,,34.28,34.24,2.0
86,34.65,34.67,,34.64,3.0
87,35.06,35.09,35.02,35.05,1.0
88,35.45,35.45,,35.45,2.0
89,35.84,35.83,,35.85,3.0
90,36.22,,36.23,36.23,1.0
91,36.63,36.6,,36.63,2.0
92,37.04,,,37.03,3.0
93,37.43,37.47,37.43,37.43,1.0
94,37.83,37.91,37.83,37.82,2.0
95,38.22,38.29,38.23,38.22,3.0
96,38.66,38.71,38.64,38.61,1.0
97,39.07,39.08,,39.04,2.0
98,39.5,39.51,,39.46,3.0
99,39.89,39.93,,39.86,1.0
100,40.29,40.29,,40.26,2.0
101,40.67,40.75,,40.67,3.0
102,41.09,41.12,41.08,41.07,1.0
103,41.47,41.56,,41.47,2.0
104,41.91,41.96,,41.9,3.0
105,42.31,42.31,42.31,42.32,1.0
106,42.73,,,42.72,2.0
107,43.13,,,43.13,3.0
108,43.53,43.58,43.54,43.51,1.0
109,43.92,,,43.92,2.0
110,44.35,44.36,,44.36,3.0
111,44.78,44.79,44.79,44.75,1.0
112,45.19,,,45.18,2.0
113,45.61,45.6,45.6,45.62,3.0
114,46.02,46.03,46.0,46.01,1.0
115,46.42,,,,2.0
116,46.85,,,46.86,3.0
117,47.24,47.25,47.23,47.24,1.0
118,47.63,47.62,,47.64,2.0
119,48.06,48.11,,48.06,3.0
120,48.48,48.57,48.49,48.48,1.0
121,48.89,,,48.89,2.0
122,49.3,,,,3.0
123,49.69,49.68,49.73,49.69,1.0
124,50.1,50.09,,50.13,2.0
125,50.54,50.58,,50.52,3.0
126,50.92,50.92,50.92,50.92,1.0
127,51.32,51.31,,51.33,2.0
128,51.71,51.73,,51.7,3.0
129,52.1,52.11,52.12,52.1,1.0
130,52.48,52.51,,52.47,2.0
131,52.89,52.87,,52.89,3.0
132,53.26,53.26,53.27,53.28,1.0
133,53.66,53.65,,53.68,2.0
134,54.1,54.12,,54.08,3.0
135,54.49,54.51,54.49,54.49,1.0
136,54.89,54.9,,54.9,2.0
137,55.29,55.29,,,3.0
138,55.7,55.69,55.75,55.7,1.0
139,56.1,56.16,,56.1,2.0
140,56.49,56.5,,56.5,3.0
141,56.89,56.9,56.9,56.9,1.0
142,57.3,57.32,,57.3,2.0
143,57.7,57.71,,57.71,3.0
144,58.11,58.13,58.14,58.11,1.0
145,58.52,,,58.51,2.0
146,58.93,,,58.93,3.0
147,59.34,59.34,59.36,,1.0
148,59.76,59.81,,59.75,2.0
149,60.2,60.21,,,3.0
150,60.6,60.65,60.61,60.59,1.0
151,60.99,61.03,,60.98,2.0
152,61.38,61.43,,61.38,3.0
153,61.77,,61.78,61.76,1.0
154,62.19,62.23,,,2.0
155,62.56,62.54,,,3.0
156,62.96,62.93,62.99,62.96,1.0
157,63.35,63.34,63.36,63.36,2.0
158,63.76,63.72,63.77,,3.0
159,64.14,,64.15,64.14,1.0
160,64.54,,64.56,64.54,2.0
161,64.95,65.02,64.94,,3.0
162,65.38,65.41,65.33,65.37,1.0
163,65.79,65.8,,65.78,2.0
164,66.18,66.2,,66.18,3.0
165,66.58,,66.59,66.57,1.0
166,66.99,67.04,66.96,66.99,2.0
167,67.4,67.43,,67.39,3.0
168,67.81,67.84,67.81,67.81,1.0
169,68.22,68.23,,68.22,2.0
170,68.64,68.7,,68.64,3.0
171,69.03,,69.03,69.04,1.0
172,69.44,,,69.45,2.0
173,69.85,69.86,,69.84,3.0
174,70.29,70.33,70.3,70.27,1.0
175,70.71,70.77,,70.68,2.0
