,beats,piano,bass,drums,metre_auto
0,0.24,0.24,0.24,0.25,3.0
1,0.69,,0.7,0.68,4.0
2,1.13,1.14,1.12,1.13,1.0
3,1.56,1.56,1.56,1.56,2.0
4,2.0,2.04,2.0,2.01,3.0
5,2.44,2.47,2.43,2.44,4.0
6,2.88,2.91,2.88,2.88,1.0
7,3.31,3.34,3.31,3.31,2.0
8,3.76,,3.75,3.77,3.0
9,4.21,4.24,4.19,4.2,4.0
10,4.65,4.68,4.64,4.65,1.0
11,5.1,5.12,5.08,5.1,2.0
12,5.55,5.55,5.53,5.55,3.0
13,5.99,5.99,5.99,5.98,4.0
14,6.44,6.44,6.43,6.42,1.0
15,6.88,6.88,6.88,6.86,2.0
16,7.31,7.32,7.31,7.3,3.0
17,7.74,7.77,7.75,7.74,4.0
18,8.19,8.2,8.19,8.18,1.0
19,8.61,,8.62,8.61,2.0
20,9.06,9.09,9.06,9.05,3.0
21,9.49,9.53,9.48,9.49,4.0
22,9.95,10.01,9.94,9.94,1.0
23,10.37,10.45,10.37,10.36,2.0
24,10.82,10.84,10.81,10.81,3.0
25,11.25,11.26,11.24,11.25,4.0
26,11.69,11.73,11.68,11.69,1.0
27,12.12,12.13,12.12,12.11,2.0
28,12.56,12.67,12.56,12.57,3.0
29,12.98,12.95,12.97,12.98,4.0
30,13.43,13.44,13.42,13.43,1.0
31,13.87,,13.87,13.85,2.0
32,14.31,,,14.31,3.0
33,14.74,14.76,14.72,14.74,4.0
34,15.2,15.23,15.19,15.19,1.0
35,15.63,15.65,15.63,15.63,2.0
36,16.09,16.09,16.09,16.1,3.0
37,16.52,16.53,16.51,16.51,4.0
38,16.95,,16.95,16.95,1.0
39,17.39,17.4,17.38,17.38,2.0
40,17.83,17.88,17.82,17.83,3.0
41,18.26,18.31,18.26,18.26,4.0
42,18.72,18.72,18.67,18.71,1.0
43,19.13,19.16,19.11,19.13,2.0
44,19.58,19.57,19.57,,3.0
45,20.01,20.01,20.01,20.0,4.0
46,20.43,20.44,20.44,20.41,1.0
47,20.85,20.85,20.85,20.84,2.0
48,21.3,,21.3,,3.0
49,21.73,,21.73,21.72,4.0
50,22.18,22.19,22.17,22.17,1.0
51,22.6,,22.62,22.59,2.0
52,23.06,23.05,23.06,23.06,3.0
53,23.48,23.49,23.46,23.48,4.0
54,23.9,23.94,23.9,,1.0
55,24.35,,24.35,24.35,2.0
56,24.8,24.87,24.79,24.8,3.0
57,25.23,25.24,25.23,25.23,4.0
58,25.69,25.7,25.67,25.67,1.0
59,26.1,26.13,26.1,26.08,2.0
60,26.55,,26.54,26.55,3.0
61,26.98,,26.99,26.97,4.0
62,27.42,27.43,27.41,27.41,1.0
63,27.85,27.87,27.85,27.85,2.0
64,28.3,28.32,28.28,28.29,3.0
65,28.75,28.75,28.75,28.72,4.0
66,29.18,29.19,29.16,29.18,1.0
67,29.6,29.61,29.6,29.6,2.0
68,30.05,30.06,30.05,30.03,3.0
69,30.46,,30.47,30.45,4.0
70,30.91,30.94,30.9,30.91,1.0
71,31.33,31.33,31.34,31.33,2.0
72,31.76,31.77,31.76,31.77,3.0
73,32.19,32.2,32.19,32.18,4.0
74,32.63,32.64,32.61,32.63,1.0
75,33.06,33.07,33.05,33.05,2.0
76,33.5,33.51,33.49,33.5,3.0
77,33.92,33.9,33.92,33.92,4.0
78,34.39,34.4,34.37,34.38,1.0
79,34.82,34.83,34.8,34.81,2.0
80,35.25,,35.25,,3.0
81,35.68,35.67,35.7,35.67,4.0
82,36.13,36.18,36.13,36.12,1.0
83,36.55,36.61,36.55,36.55,2.0
84,37.0,37.02,36.99,37.0,3.0
85,37.42,37.49,37.42,37.42,4.0
86,37.86,,37.85,37.86,1.0
87,38.3,38.32,38.29,38.29,2.0
88,38.74,38.8,38.73,38.75,3.0
89,39.18,39.23,39.18,39.18,4.0
90,39.62,39.7,39.61,39.62,1.0
91,40.06,40.13,40.06,40.05,2.0
92,40.52,40.52,40.5,40.5,3.0
93,40.94,41.0,40.94,40.92,4.0
94,41.39,41.43,41.39,41.38,1.0
95,41.81,41.86,41.81,41.79,2.0
96,42.25,42.29,42.24,42.24,3.0
97,42.68,42.7,42.68,42.67,4.0
98,43.13,43.13,43.12,43.11,1.0
99,43.56,43.57,43.56,43.56,2.0
100,44.01,44.06,44.0,44.0,3.0
101,44.45,44.45,44.43,44.43,4.0
102,44.89,45.0,44.88,44.88,1.0
103,45.31,45.34,45.3,45.31,2.0
104,45.75,,45.76,45.75,3.0
105,46.19,46.17,46.19,46.19,4.0
106,46.63,46.7,46.61,46.63,1.0
107,47.07,47.11,47.07,47.05,2.0
108,47.5,,47.48,47.5,3.0
109,47.93,47.95,47.91,47.93,4.0
110,48.36,,48.36,48.37,1.0
111,48.81,48.83,48.78,48.8,2.0
112,49.25,49.28,49.22,49.26,3.0
113,49.67,49.67,49.66,49.68,4.0
