,beats,piano,bass,drums,metre_auto
0,0.02,0.01,,0.02,1.0
1,0.26,0.27,0.23,0.26,2.0
2,0.53,0.53,0.53,0.53,3.0
3,0.78,0.8,0.78,0.77,4.0
4,1.05,1.05,1.05,1.04,1.0
5,1.3,1.31,1.31,1.29,2.0
6,1.57,1.56,1.57,1.57,3.0
7,1.82,1.82,1.83,1.82,4.0
8,2.09,2.1,2.1,2.08,1.0
9,2.34,2.35,2.37,2.33,2.0
10,2.61,2.62,,2.6,3.0
11,2.86,2.85,2.88,2.85,4.0
12,3.12,,3.13,3.12,1.0
13,3.38,3.4,3.38,3.37,2.0
14,3.65,3.65,3.65,3.64,3.0
15,3.9,3.92,,3.89,4.0
16,4.16,4.17,4.17,4.15,1.0
17,4.41,4.42,4.38,4.41,2.0
18,4.68,4.69,,4.67,3.0
19,4.93,4.95,4.94,4.92,4.0
20,5.19,5.22,,5.18,1.0
21,5.44,5.45,,5.44,2.0
22,5.7,5.7,,5.7,3.0
23,5.95,,5.95,5.95,4.0
24,6.2,6.17,,6.21,1.0
25,6.46,,,6.46,2.0
26,6.72,6.74,6.72,6.71,3.0
27,6.97,7.01,,6.96,4.0
28,7.24,7.25,,7.23,1.0
29,7.5,7.51,,7.49,2.0
30,7.75,,,7.75,3.0
31,8.0,8.01,,7.98,4.0
32,8.25,8.27,,,1.0
33,8.51,,8.51,8.51,2.0
34,8.76,,8.76,8.76,3.0
35,9.03,,9.03,9.02,4.0
36,9.28,9.32,,9.27,1.0
37,9.52,,9.52,9.53,2.0
38,9.79,9.81,9.83,9.79,3.0
39,10.05,10.05,10.07,10.05,4.0
40,10.31,,,,1.0
41,10.56,,10.57,10.56,2.0
42,10.82,10.83,,10.82,3.0
43,11.08,,,11.07,4.0
44,11.33,,11.3,11.33,1.0
45,11.58,11.57,,11.58,2.0
46,11.85,11.88,11.85,11.83,3.0
47,12.1,12.13,12.1,12.1,4.0
48,12.37,12.41,12.37,12.36,1.0
49,12.63,,,12.62,2.0
50,12.89,12.91,12.9,12.89,3.0
51,13.15,13.16,13.15,13.14,4.0
52,13.4,,13.41,,1.0
53,13.65,13.65,13.66,13.65,2.0
54,13.92,13.93,13.92,13.91,3.0
55,14.17,,14.17,14.17,4.0
56,14.43,,14.44,14.42,1.0
57,14.68,14.7,14.7,14.68,2.0
58,14.95,14.96,14.98,14.95,3.0
59,15.2,15.2,,15.2,4.0
60,15.46,15.46,15.47,15.46,1.0
61,15.72,,,15.71,2.0
62,15.98,,,15.98,3.0
63,16.23,,16.24,16.23,4.0
64,16.48,,,,1.0
65,16.73,16.72,16.74,16.74,2.0
66,16.98,16.97,17.0,17.0,3.0
67,17.22,17.24,17.22,17.22,4.0
68,17.48,17.48,17.49,17.48,1.0
69,17.74,17.76,17.75,17.73,2.0
70,17.99,17.99,18.0,17.99,3.0
71,18.24,,18.25,18.24,4.0
72,18.51,,18.52,18.51,1.0
73,18.77,18.81,18.79,18.77,2.0
74,19.02,19.04,19.02,19.02,3.0
75,19.28,19.29,19.3,19.28,4.0
76,19.55,19.56,19.55,19.53,1.0
77,19.79,,19.8,19.79,2.0
78,20.05,,20.05,20.05,3.0
79,20.3,,20.32,20.3,4.0
80,20.56,20.55,20.58,20.56,1.0
81,20.81,20.82,20.81,20.81,2.0
82,21.08,21.05,21.1,21.09,3.0
83,21.33,21.34,21.34,21.34,4.0
84,21.59,21.61,21.61,21.58,1.0
85,21.84,21.9,21.84,21.84,2.0
86,22.11,22.14,22.12,22.11,3.0
87,22.36,22.38,22.35,22.35,4.0
88,22.62,22.63,22.62,22.62,1.0
89,22.87,,22.88,22.87,2.0
90,23.13,23.12,23.15,23.13,3.0
91,23.39,23.4,23.4,23.38,4.0
92,23.63,23.62,23.64,23.64,1.0
93,23.9,23.93,23.9,23.89,2.0
94,24.15,,24.16,24.15,3.0
95,24.41,24.42,24.42,24.4,4.0
96,24.65,,24.64,24.65,1.0
97,24.91,,24.96,24.91,2.0
98,25.17,,25.21,25.17,3.0
99,25.44,25.45,25.46,25.44,4.0
100,25.69,,25.72,25.68,1.0
101,25.95,25.95,25.97,25.95,2.0
102,26.21,26.21,26.2,26.2,3.0
103,26.46,,26.47,26.46,4.0
104,26.72,,26.74,26.72,1.0
105,26.98,,26.99,26.97,2.0
106,27.24,27.28,27.25,27.23,3.0
107,27.5,,27.5,27.5,4.0
108,27.76,,27.77,27.74,1.0
109,28.01,28.07,28.01,28.01,2.0
110,28.27,28.27,,28.26,3.0
111,28.51,,28.51,28.5,4.0
112,28.78,28.77,28.79,28.79,1.0
113,29.03,,29.04,29.03,2.0
114,29.29,,29.31,29.29,3.0
115,29.55,29.55,29.55,29.54,4.0
116,29.8,29.8,,29.81,1.0
117,30.05,30.07,30.05,30.05,2.0
118,30.31,,30.32,30.31,3.0
119,30.56,,30.57,30.56,4.0
120,30.82,30.79,,30.81,1.0
121,31.07,31.07,31.09,31.07,2.0
122,31.34,31.35,31.36,31.33,3.0
123,31.59,31.59,31.59,31.58,4.0
124,31.85,31.82,,31.85,1.0
125,32.11,,32.13,32.11,2.0
126,32.38,,,32.38,3.0
127,32.64,32.64,32.65,32.63,4.0
128,32.9,32.9,,,1.0
129,33.15,33.2,33.14,33.15,2.0
130,33.4,33.4,33.42,33.4,3.0
131,33.66,33.67,33.65,33.65,4.0
132,33.93,33.94,33.94,33.93,1.0
133,34.19,,34.2,34.18,2.0
134,34.45,,34.46,34.45,3.0
135,34.69,,34.69,34.68,4.0
136,34.96,34.96,34.97,34.95,1.0
137,35.21,35.22,35.21,35.2,2.0
138,35.47,35.5,,35.46,3.0
139,35.71,35.75,35.71,35.71,4.0
140,35.98,,,35.98,1.0
141,36.23,,36.24,36.23,2.0
142,36.5,,36.53,36.51,3.0
143,36.75,36.75,,36.74,4.0
144,37.01,37.01,37.03,37.0,1.0
145,37.26,37.25,37.27,37.26,2.0
146,37.52,,37.55,37.52,3.0
147,37.77,,37.8,37.77,4.0
148,38.04,38.04,,38.03,1.0
149,38.28,38.32,38.26,38.28,2.0
150,38.55,38.56,,38.54,3.0
151,38.8,38.85,38.8,38.79,4.0
152,39.06,39.08,39.06,39.06,1.0
153,39.31,,39.32,39.31,2.0
154,39.57,39.56,39.58,39.57,3.0
155,39.82,,39.83,39.82,4.0
156,40.08,,40.09,40.08,1.0
157,40.34,,40.33,40.34,2.0
158,40.59,40.6,40.6,40.59,3.0
159,40.85,,40.84,40.85,4.0
160,41.11,,,,1.0
161,41.36,41.38,41.35,41.36,2.0
162,41.63,41.64,41.63,41.62,3.0
163,41.88,41.88,41.87,41.88,4.0
164,42.15,,,42.13,1.0
165,42.41,42.42,42.42,42.4,2.0
166,42.67,42.68,42.68,42.67,3.0
167,42.92,,42.91,42.93,4.0
168,43.19,,43.19,43.18,1.0
169,43.45,43.47,,43.45,2.0
170,43.71,43.71,43.68,43.71,3.0
171,43.96,,43.96,43.95,4.0
172,44.22,,,44.22,1.0
173,44.48,44.48,44.48,44.49,2.0
174,44.74,44.76,44.74,44.74,3.0
175,44.99,45.0,44.99,44.99,4.0
176,45.24,45.27,45.23,45.24,1.0
177,45.5,45.53,45.49,45.5,2.0
178,45.76,45.79,45.76,45.75,3.0
179,46.01,46.02,46.02,46.01,4.0
180,46.28,46.29,,46.27,1.0
181,46.53,46.54,46.54,46.52,2.0
182,46.79,46.8,46.78,46.79,3.0
183,47.04,47.06,47.04,47.04,4.0
184,47.3,47.31,47.29,47.3,1.0
185,47.55,47.56,47.55,47.55,2.0
186,47.82,,47.82,47.82,3.0
187,48.07,,48.08,48.07,4.0
188,48.33,,,48.33,1.0
189,48.57,48.63,,48.58,2.0
190,48.83,,48.81,48.83,3.0
191,49.08,,49.09,49.05,4.0
192,49.32,49.32,49.31,49.3,1.0
193,49.59,,49.59,49.59,2.0
194,49.84,,49.84,49.85,3.0
195,50.1,50.11,50.13,50.1,4.0
196,50.37,,,50.38,1.0
197,50.63,,50.65,50.63,2.0
198,50.89,50.91,50.9,50.89,3.0
199,51.14,51.19,51.15,51.13,4.0
200,51.4,51.43,51.44,51.4,1.0
201,51.66,51.67,,51.65,2.0
202,51.92,,51.91,51.92,3.0
203,52.18,52.18,52.18,52.18,4.0
204,52.45,,52.47,52.46,1.0
205,52.71,52.71,52.72,52.72,2.0
206,52.97,52.98,52.98,52.98,3.0
207,53.22,53.25,53.22,53.22,4.0
208,53.47,53.45,,53.47,1.0
209,53.74,,53.74,53.74,2.0
210,54.0,,54.0,54.0,3.0
211,54.24,54.23,54.25,54.24,4.0
212,54.51,,,54.51,1.0
213,54.76,54.8,,54.76,2.0
214,55.01,55.03,55.02,55.02,3.0
215,55.26,55.3,55.27,55.26,4.0
216,55.52,55.53,,55.52,1.0
217,55.77,,55.77,55.77,2.0
218,56.02,,56.02,56.03,3.0
219,56.26,56.24,56.27,56.27,4.0
220,56.52,,56.53,56.53,1.0
221,56.76,,,56.75,2.0
222,57.01,57.04,,57.0,3.0
223,57.26,,,57.26,4.0
224,57.52,57.51,,57.51,1.0
225,57.78,57.78,57.78,57.78,2.0
226,58.04,58.06,58.03,58.04,3.0
227,58.29,58.28,58.29,58.28,4.0
228,58.55,58.61,,58.56,1.0
229,58.82,58.85,58.83,58.81,2.0
230,59.08,,59.1,59.07,3.0
231,59.33,,59.36,59.33,4.0
232,59.6,59.62,59.6,59.59,1.0
233,59.86,59.86,59.86,59.83,2.0
234,60.11,60.13,60.12,60.1,3.0
235,60.35,60.39,60.36,60.35,4.0
236,60.62,60.62,60.63,60.6,1.0
237,60.87,60.88,60.87,60.86,2.0
238,61.12,61.13,61.14,61.12,3.0
239,61.38,61.38,61.38,61.38,4.0
240,61.64,61.63,61.64,61.64,1.0
241,61.89,,61.89,61.89,2.0
242,62.15,,62.15,62.15,3.0
243,62.4,62.37,62.4,62.4,4.0
244,62.66,,62.65,62.66,1.0
245,62.91,,62.91,62.91,2.0
246,63.16,63.17,63.17,63.16,3.0
247,63.41,,63.41,63.42,4.0
248,63.67,,63.66,63.67,1.0
249,63.91,63.92,63.97,63.91,2.0
250,64.17,,,64.18,3.0
251,64.42,,,64.42,4.0
252,64.66,64.68,,64.66,1.0
253,64.92,64.95,,64.91,2.0
254,65.17,65.19,,65.17,3.0
255,65.41,,65.42,65.41,4.0
256,65.66,,65.69,65.66,1.0
257,65.93,,,65.94,2.0
258,66.18,66.16,66.22,66.19,3.0
259,66.44,,66.44,66.43,4.0
260,66.71,66.74,,66.7,1.0
261,66.96,66.99,,66.96,2.0
262,67.23,67.24,67.24,67.22,3.0
263,67.49,67.48,67.5,67.47,4.0
264,67.75,67.76,67.76,67.74,1.0
265,68.0,68.03,68.0,67.99,2.0
266,68.26,68.29,,68.25,3.0
267,68.51,68.54,,68.5,4.0
268,68.78,68.79,,68.77,1.0
269,69.03,69.05,69.04,69.02,2.0
270,69.28,,,69.28,3.0
271,69.53,69.52,69.52,69.53,4.0
272,69.8,,,69.8,1.0
273,70.05,,,70.05,2.0
274,70.31,70.31,70.31,,3.0
275,70.56,70.62,70.55,70.56,4.0
276,70.82,,70.82,70.82,1.0
277,71.08,,71.06,71.08,2.0
278,71.35,71.36,71.35,71.34,3.0
279,71.6,71.6,71.6,71.59,4.0
280,71.85,71.83,71.86,71.85,1.0
281,72.11,72.11,72.12,72.11,2.0
282,72.37,72.36,72.38,72.37,3.0
283,72.62,72.62,,72.62,4.0
284,72.88,72.86,72.89,72.89,1.0
285,73.13,,,73.13,2.0
286,73.39,,,73.39,3.0
287,73.65,,,73.65,4.0
288,73.89,,,73.89,1.0
289,74.14,,74.14,74.15,2.0
290,74.4,74.37,74.41,74.4,3.0
291,74.66,,74.66,74.65,4.0
292,74.91,74.93,74.92,74.9,1.0
293,75.16,,75.16,75.16,2.0
294,75.42,75.41,75.43,,3.0
295,75.67,,75.66,75.67,4.0
296,75.92,,75.92,75.92,1.0
297,76.17,76.21,,76.17,2.0
298,76.43,76.45,76.42,76.43,3.0
299,76.68,76.72,76.68,76.67,4.0
300,76.93,76.98,76.94,76.92,1.0
301,77.18,77.22,,77.18,2.0
302,77.42,77.41,77.44,77.41,3.0
303,77.68,77.69,77.69,77.67,4.0
304,77.94,,77.94,77.91,1.0
305,78.18,78.21,78.18,78.18,2.0
306,78.44,,78.44,78.44,3.0
307,78.69,78.72,78.68,78.68,4.0
308,78.96,78.97,,78.95,1.0
309,79.22,79.22,79.22,79.2,2.0
310,79.46,,79.49,79.45,3.0
311,79.71,,79.71,79.71,4.0
312,79.97,,79.97,79.97,1.0
313,80.22,80.24,,80.22,2.0
314,80.48,80.5,80.46,80.47,3.0
315,80.73,80.74,80.71,80.72,4.0
316,80.99,81.01,,80.98,1.0
317,81.23,,,81.23,2.0
318,81.49,81.5,,81.49,3.0
319,81.75,,81.74,81.74,4.0
320,82.01,82.04,,,1.0
321,82.27,,82.27,82.28,2.0
322,82.53,,82.51,82.53,3.0
323,82.79,,82.78,82.79,4.0
324,83.05,83.05,,83.05,1.0
325,83.3,83.31,83.29,83.3,2.0
326,83.55,83.55,83.56,83.55,3.0
327,83.81,83.82,83.82,83.8,4.0
328,84.07,84.09,84.1,84.06,1.0
329,84.34,84.35,84.35,84.32,2.0
330,84.59,84.61,84.63,84.59,3.0
331,84.85,84.85,84.84,84.86,4.0
332,85.11,,,85.11,1.0
