,beats,piano,bass,drums,metre_auto
0,0.25,,0.24,,3.0
1,0.54,0.55,0.54,0.54,4.0
2,0.84,0.89,0.86,,1.0
3,1.12,,1.13,1.12,2.0
4,1.43,1.47,1.43,,3.0
5,1.71,1.71,1.72,1.71,4.0
6,2.01,2.01,2.0,2.01,1.0
7,2.29,2.29,2.32,2.29,2.0
8,2.6,,2.61,2.6,3.0
9,2.89,2.89,2.9,2.89,4.0
10,3.19,3.19,3.17,,1.0
11,3.46,3.46,3.48,3.46,2.0
12,3.77,3.78,3.77,3.76,3.0
13,4.04,,4.07,4.04,4.0
14,4.34,4.37,4.36,4.33,1.0
15,4.61,,4.65,4.61,2.0
16,4.93,4.94,4.92,,3.0
17,5.2,5.22,5.22,5.19,4.0
18,5.51,5.57,5.51,5.52,1.0
19,5.79,,5.81,5.79,2.0
20,6.09,6.13,,6.08,3.0
21,6.36,6.37,6.39,6.36,4.0
22,6.67,6.66,6.66,,1.0
23,6.95,6.95,6.97,6.96,2.0
24,7.26,,7.26,,3.0
25,7.54,7.58,7.58,7.54,4.0
26,7.86,7.87,7.85,,1.0
27,8.13,8.12,8.15,8.13,2.0
28,8.44,,8.45,8.43,3.0
29,8.73,8.77,8.75,8.72,4.0
30,9.03,9.02,9.04,,1.0
31,9.32,9.32,9.35,9.32,2.0
32,9.62,,9.62,9.62,3.0
33,9.9,9.91,9.93,9.9,4.0
34,10.22,10.23,10.23,10.25,1.0
35,10.49,10.49,,10.49,2.0
36,10.8,,10.8,10.78,3.0
37,11.07,11.08,11.1,11.06,4.0
38,11.38,11.38,11.39,11.38,1.0
39,11.66,11.65,,11.66,2.0
40,11.97,,12.0,11.95,3.0
41,12.24,12.3,12.29,12.24,4.0
42,12.55,12.58,12.56,12.54,1.0
43,12.82,,12.87,12.82,2.0
44,13.13,13.13,13.14,13.13,3.0
45,13.4,13.41,13.45,13.4,4.0
46,13.72,13.72,13.72,13.71,1.0
47,14.0,14.0,14.02,13.99,2.0
48,14.31,14.36,14.31,14.31,3.0
49,14.58,,14.6,14.57,4.0
50,14.89,,14.9,,1.0
51,15.16,,15.18,15.16,2.0
52,15.48,15.49,15.49,15.47,3.0
53,15.75,15.74,15.78,15.74,4.0
54,16.06,16.07,,,1.0
55,16.34,,16.36,16.33,2.0
56,16.65,16.65,16.69,16.64,3.0
57,16.92,16.92,16.95,16.92,4.0
58,17.24,,17.23,17.24,1.0
59,17.52,17.52,17.52,17.52,2.0
60,17.82,17.86,17.82,,3.0
61,18.1,18.09,18.13,18.09,4.0
62,18.41,18.41,18.43,18.4,1.0
63,18.69,18.71,18.72,18.68,2.0
64,18.99,18.98,19.0,18.99,3.0
65,19.27,19.29,19.29,19.27,4.0
66,19.57,,19.58,19.57,1.0
67,19.85,19.85,19.87,19.85,2.0
68,20.15,20.15,20.16,20.16,3.0
69,20.44,20.48,20.46,20.43,4.0
70,20.74,,20.74,20.73,1.0
71,21.03,21.06,21.03,21.02,2.0
72,21.33,21.34,21.33,21.31,3.0
73,21.61,21.65,21.64,21.6,4.0
74,21.92,21.96,21.93,,1.0
75,22.2,22.2,22.21,22.2,2.0
76,22.51,22.51,22.5,,3.0
77,22.79,22.79,22.81,22.79,4.0
78,23.1,23.1,23.09,23.08,1.0
79,23.38,23.37,23.4,23.37,2.0
80,23.68,23.7,23.69,,3.0
81,23.96,23.97,23.96,23.95,4.0
82,24.26,,24.25,24.28,1.0
83,24.55,24.55,24.57,24.55,2.0
84,24.87,24.88,24.87,,3.0
85,25.14,25.14,25.15,25.14,4.0
86,25.45,25.46,25.46,25.51,1.0
87,25.73,,25.74,25.72,2.0
88,26.04,26.06,26.06,26.02,3.0
89,26.31,,26.34,26.31,4.0
90,26.63,26.63,26.63,26.62,1.0
91,26.91,26.9,26.93,26.9,2.0
92,27.22,,27.24,27.21,3.0
93,27.51,27.5,27.52,27.5,4.0
94,27.81,,27.81,27.81,1.0
95,28.09,28.09,28.12,28.09,2.0
96,28.39,,,28.39,3.0
97,28.67,28.68,28.68,28.68,4.0
98,28.98,29.01,28.97,28.98,1.0
99,29.27,29.27,29.3,29.27,2.0
100,29.58,29.59,29.6,,3.0
101,29.85,29.86,29.87,29.85,4.0
102,30.17,30.18,30.17,30.16,1.0
103,30.44,30.45,30.46,30.44,2.0
104,30.75,30.77,30.76,30.73,3.0
105,31.03,31.03,31.05,31.02,4.0
106,31.34,31.36,31.35,31.33,1.0
107,31.62,31.63,31.64,31.61,2.0
108,31.93,31.93,31.91,31.91,3.0
109,32.21,32.22,32.22,32.2,4.0
110,32.51,32.55,32.51,32.5,1.0
111,32.8,32.79,32.82,32.79,2.0
112,33.1,,33.11,33.11,3.0
113,33.38,33.37,,33.38,4.0
114,33.68,,33.68,33.67,1.0
115,33.97,33.98,33.98,33.95,2.0
116,34.28,34.3,34.3,34.25,3.0
117,34.55,34.56,34.58,34.55,4.0
118,34.85,34.85,34.86,34.85,1.0
119,35.15,35.14,35.17,35.14,2.0
120,35.45,,35.45,,3.0
121,35.73,35.74,35.72,35.72,4.0
122,36.04,36.04,36.02,36.02,1.0
123,36.33,36.33,36.35,36.33,2.0
124,36.63,,36.63,,3.0
125,36.91,36.93,36.97,36.89,4.0
126,37.23,37.23,37.22,,1.0
127,37.51,37.5,37.53,37.5,2.0
128,37.81,,37.82,37.81,3.0
129,38.09,38.09,38.13,38.09,4.0
130,38.41,38.43,38.42,38.4,1.0
131,38.69,38.69,38.71,38.69,2.0
132,39.01,39.03,39.0,39.0,3.0
133,39.28,39.26,39.3,39.28,4.0
134,39.59,39.61,39.6,39.58,1.0
135,39.88,39.88,39.89,39.88,2.0
136,40.17,,40.18,40.16,3.0
137,40.45,40.51,40.47,40.44,4.0
138,40.75,40.79,40.75,40.74,1.0
139,41.04,41.04,41.05,41.04,2.0
140,41.34,,41.35,41.33,3.0
141,41.61,41.66,41.65,41.61,4.0
142,41.91,41.96,41.9,41.91,1.0
143,42.21,42.23,42.24,42.21,2.0
144,42.51,42.52,42.53,42.49,3.0
145,42.78,42.8,42.78,42.78,4.0
146,43.08,43.14,,43.07,1.0
147,43.37,43.38,43.38,43.37,2.0
148,43.67,43.66,43.68,43.67,3.0
149,43.95,43.95,43.98,43.95,4.0
150,44.25,44.27,44.27,44.26,1.0
151,44.52,44.52,44.54,44.52,2.0
152,44.83,,44.84,44.84,3.0
153,45.11,45.11,45.13,45.11,4.0
154,45.4,,45.4,45.4,1.0
155,45.69,45.7,45.69,45.69,2.0
156,45.99,,46.0,45.98,3.0
157,46.28,46.27,46.3,46.27,4.0
158,46.58,,46.55,46.57,1.0
159,46.86,46.87,46.85,46.87,2.0
160,47.17,,47.16,47.17,3.0
161,47.46,47.48,47.47,47.47,4.0
162,47.76,47.81,47.75,47.75,1.0
163,48.05,48.07,48.05,48.05,2.0
164,48.35,,48.32,48.34,3.0
165,48.64,48.66,48.66,48.64,4.0
166,48.95,48.98,48.94,48.95,1.0
167,49.23,49.23,49.25,49.23,2.0
168,49.53,,49.52,,3.0
169,49.82,49.82,49.83,49.82,4.0
170,50.12,50.11,50.12,50.11,1.0
171,50.41,50.43,50.43,50.41,2.0
172,50.72,50.72,50.71,50.71,3.0
173,51.0,51.01,51.0,51.01,4.0
174,51.31,51.33,51.29,51.29,1.0
175,51.59,51.6,51.63,51.59,2.0
176,51.9,51.91,51.91,51.88,3.0
177,52.18,52.19,52.18,52.18,4.0
178,52.49,52.53,52.48,52.49,1.0
179,52.76,52.77,52.81,52.76,2.0
180,53.08,53.09,53.08,53.07,3.0
181,53.35,53.35,53.39,53.35,4.0
182,53.66,53.66,53.67,53.65,1.0
183,53.94,53.95,53.95,53.94,2.0
184,54.23,54.25,54.26,,3.0
185,54.5,54.49,54.54,54.5,4.0
186,54.78,54.76,54.81,54.78,1.0
187,55.08,,,55.08,2.0
188,55.38,,55.39,55.38,3.0
189,55.65,55.65,55.69,55.65,4.0
190,55.97,,55.98,55.96,1.0
191,56.25,56.27,56.27,56.25,2.0
192,56.56,56.6,56.56,56.55,3.0
193,56.83,56.86,56.85,56.83,4.0
194,57.14,57.15,57.13,57.13,1.0
195,57.42,57.43,57.42,57.42,2.0
196,57.73,57.75,57.73,57.73,3.0
197,58.02,58.04,58.03,58.02,4.0
198,58.31,58.31,58.32,58.33,1.0
199,58.61,58.61,58.62,58.61,2.0
200,58.9,,58.9,58.9,3.0
201,59.18,59.2,59.2,59.18,4.0
202,59.48,59.47,59.48,59.49,1.0
203,59.77,59.78,59.8,59.77,2.0
204,60.08,60.11,60.08,60.07,3.0
205,60.36,60.37,60.39,60.36,4.0
206,60.67,60.67,60.67,60.67,1.0
207,60.94,60.95,60.98,60.94,2.0
208,61.25,61.26,61.25,61.25,3.0
209,61.54,,61.55,61.53,4.0
210,61.84,61.85,61.85,61.83,1.0
211,62.13,62.15,62.14,62.12,2.0
212,62.43,62.44,62.43,62.43,3.0
213,62.72,62.72,62.73,62.72,4.0
214,63.02,63.03,63.03,63.02,1.0
215,63.32,,63.33,63.31,2.0
216,63.62,63.63,63.62,63.62,3.0
217,63.9,63.9,63.93,63.9,4.0
218,64.19,,64.19,64.19,1.0
219,64.5,,64.54,64.5,2.0
220,64.8,,64.79,64.8,3.0
221,65.09,65.09,,65.09,4.0
222,65.39,,65.39,65.39,1.0
223,65.68,65.68,65.68,65.69,2.0
224,65.99,,65.99,65.99,3.0
225,66.26,66.25,66.27,66.28,4.0
226,66.58,66.58,66.59,66.59,1.0
227,66.87,66.88,66.87,66.88,2.0
228,67.18,67.18,67.19,67.18,3.0
229,67.46,67.46,67.5,67.46,4.0
230,67.78,67.85,67.81,67.76,1.0
231,68.06,68.06,68.08,68.05,2.0
232,68.37,68.39,68.37,68.34,3.0
233,68.65,68.65,68.66,68.65,4.0
234,68.94,68.96,68.94,68.93,1.0
235,69.23,69.23,69.26,69.23,2.0
236,69.53,69.59,69.54,69.52,3.0
237,69.8,69.8,69.84,69.8,4.0
238,70.12,70.12,70.13,70.1,1.0
239,70.39,70.39,70.41,70.39,2.0
240,70.7,70.77,70.69,70.69,3.0
241,70.98,71.0,71.0,70.98,4.0
242,71.28,71.32,71.28,71.28,1.0
243,71.57,71.57,71.58,71.57,2.0
244,71.86,71.85,71.89,71.86,3.0
245,72.15,72.15,,72.15,4.0
246,72.46,,72.46,72.46,1.0
247,72.73,72.74,72.76,72.73,2.0
248,73.03,73.03,73.04,,3.0
249,73.31,73.33,73.34,73.31,4.0
250,73.62,,73.62,73.62,1.0
251,73.9,73.93,73.93,73.9,2.0
252,74.22,74.22,74.24,74.2,3.0
253,74.49,74.48,74.48,74.48,4.0
254,74.8,74.82,74.78,,1.0
255,75.09,75.11,75.1,75.08,2.0
256,75.38,,75.39,75.37,3.0
257,75.66,75.68,75.67,75.66,4.0
258,75.96,75.99,75.96,75.96,1.0
259,76.25,76.26,76.26,76.25,2.0
260,76.56,76.57,76.57,76.55,3.0
261,76.84,76.83,76.83,76.84,4.0
262,77.16,,77.16,77.14,1.0
263,77.43,77.44,77.45,77.43,2.0
264,77.74,77.76,77.72,77.73,3.0
265,78.02,78.03,78.03,78.02,4.0
266,78.32,78.31,78.33,78.32,1.0
267,78.61,78.61,78.63,78.6,2.0
268,78.91,78.93,78.9,78.9,3.0
269,79.2,79.22,79.21,79.2,4.0
270,79.51,79.51,79.51,79.5,1.0
271,79.79,79.79,79.77,79.79,2.0
272,80.09,80.15,80.1,80.07,3.0
273,80.37,,80.39,80.37,4.0
274,80.69,80.73,80.71,80.67,1.0
275,80.97,80.99,80.98,80.97,2.0
276,81.28,81.29,81.29,,3.0
277,81.56,81.56,81.57,81.56,4.0
278,81.86,81.89,81.86,81.86,1.0
279,82.14,82.15,82.16,82.13,2.0
280,82.44,82.49,82.44,82.43,3.0
281,82.72,82.72,82.74,82.72,4.0
282,83.01,83.03,83.03,83.0,1.0
283,83.31,83.31,83.33,83.32,2.0
284,83.62,83.63,83.62,83.61,3.0
285,83.89,83.89,83.9,83.9,4.0
286,84.21,84.21,84.2,84.21,1.0
287,84.49,,84.49,84.5,2.0
288,84.8,84.8,84.8,84.8,3.0
289,85.09,85.09,85.11,85.09,4.0
290,85.39,85.39,85.41,,1.0
291,85.68,85.68,85.7,85.67,2.0
292,85.99,85.99,86.0,85.97,3.0
293,86.27,86.28,86.28,86.27,4.0
294,86.58,86.62,86.58,86.58,1.0
295,86.87,86.92,86.9,86.86,2.0
296,87.16,87.16,87.19,87.17,3.0
297,87.46,87.46,87.48,87.46,4.0
298,87.77,87.8,87.77,,1.0
299,88.05,88.08,88.08,88.04,2.0
300,88.36,88.4,88.36,88.36,3.0
301,88.65,88.66,88.64,88.65,4.0
302,88.95,,88.95,88.94,1.0
303,89.24,,89.27,89.24,2.0
304,89.55,89.56,89.58,,3.0
305,89.82,89.82,89.86,89.81,4.0
306,90.14,90.16,90.15,90.13,1.0
307,90.42,90.42,90.44,90.42,2.0
308,90.74,90.74,90.74,90.73,3.0
309,91.02,91.02,91.04,91.01,4.0
310,91.33,91.35,91.33,91.31,1.0
311,91.6,,91.63,91.6,2.0
312,91.92,91.92,91.93,91.91,3.0
313,92.2,92.19,92.23,92.19,4.0
314,92.51,,92.51,92.5,1.0
315,92.8,92.79,92.83,92.8,2.0
316,93.11,,93.12,,3.0
317,93.39,93.39,93.4,93.39,4.0
318,93.71,,93.72,93.69,1.0
319,93.98,93.98,94.02,93.97,2.0
320,94.3,94.3,94.31,94.28,3.0
321,94.58,94.6,,94.58,4.0
322,94.89,94.94,94.9,94.89,1.0
323,95.17,95.17,95.18,95.18,2.0
324,95.49,95.51,95.49,95.48,3.0
325,95.76,95.77,,95.76,4.0
326,96.07,96.09,96.06,96.06,1.0
327,96.36,96.36,96.36,96.36,2.0
328,96.67,96.7,96.68,96.66,3.0
329,96.95,96.94,96.95,96.95,4.0
330,97.26,97.27,97.32,97.25,1.0
331,97.55,97.62,97.57,97.55,2.0
332,97.86,97.91,97.86,97.85,3.0
333,98.14,98.17,98.17,98.14,4.0
334,98.46,98.46,98.47,98.46,1.0
335,98.74,,98.75,98.74,2.0
336,99.03,99.03,99.05,99.04,3.0
337,99.33,99.34,99.34,99.33,4.0
338,99.63,99.67,99.64,99.63,1.0
339,99.91,99.9,99.94,99.91,2.0
340,100.22,100.24,100.23,100.21,3.0
341,100.5,100.49,100.53,100.49,4.0
