,beats,piano,bass,drums,metre_auto
0,0.26,,,,2.0
1,0.52,0.51,0.5,,3.0
2,0.78,,0.78,0.75,4.0
3,1.04,1.04,1.03,1.01,1.0
4,1.3,,,,2.0
5,1.56,1.56,1.57,1.53,3.0
6,1.82,1.84,1.82,,4.0
7,2.08,2.1,2.09,,1.0
8,2.34,2.34,2.34,,2.0
9,2.6,,2.6,2.58,3.0
10,2.86,2.9,2.86,2.83,4.0
11,3.12,3.13,3.1,3.1,1.0
12,3.38,3.35,3.36,3.35,2.0
13,3.64,3.64,3.64,3.63,3.0
14,3.9,3.93,3.88,3.87,4.0
15,4.17,4.18,4.16,4.16,1.0
16,4.42,4.42,4.4,4.41,2.0
17,4.68,4.66,4.67,4.68,3.0
18,4.94,4.98,4.93,4.93,4.0
19,5.21,5.22,5.2,5.21,1.0
20,5.46,,5.46,5.46,2.0
21,5.73,,5.71,5.74,3.0
22,5.98,6.02,5.98,5.98,4.0
23,6.25,6.28,6.24,6.26,1.0
24,6.51,6.52,6.51,6.5,2.0
25,6.77,6.74,6.78,6.78,3.0
26,7.03,7.04,7.04,7.02,4.0
27,7.29,7.34,7.3,7.29,1.0
28,7.55,7.6,7.56,7.54,2.0
29,7.81,7.84,7.82,7.81,3.0
30,8.07,8.09,8.07,8.05,4.0
31,8.33,,8.33,8.33,1.0
32,8.59,8.61,8.6,8.57,2.0
33,8.85,8.9,8.85,8.86,3.0
34,9.11,9.13,9.11,9.1,4.0
35,9.37,9.39,9.38,9.38,1.0
36,9.63,9.67,9.63,9.62,2.0
37,9.89,,9.91,9.89,3.0
38,10.15,10.18,10.16,10.13,4.0
39,10.41,10.41,10.42,10.41,1.0
40,10.66,,10.67,10.65,2.0
41,10.93,10.93,10.93,10.93,3.0
42,11.18,11.2,11.18,11.17,4.0
43,11.45,,11.45,11.43,1.0
44,11.7,,11.7,11.68,2.0
45,11.96,,11.96,11.96,3.0
46,12.21,12.25,12.21,12.2,4.0
47,12.47,12.48,12.48,12.48,1.0
48,12.73,,12.72,12.73,2.0
49,13.0,13.0,12.98,,3.0
50,13.25,13.24,13.24,13.25,4.0
51,13.51,13.51,13.51,13.52,1.0
52,13.77,,13.77,13.76,2.0
53,14.03,14.03,14.04,14.03,3.0
54,14.29,,14.28,14.28,4.0
55,14.55,14.55,14.55,14.55,1.0
56,14.81,14.81,14.81,14.8,2.0
57,15.07,15.07,15.06,15.07,3.0
58,15.32,,15.34,15.31,4.0
59,15.59,15.59,15.6,15.58,1.0
60,15.85,15.84,,,2.0
61,16.11,16.12,16.11,16.09,3.0
62,16.35,16.39,16.35,16.33,4.0
63,16.62,16.63,16.62,16.59,1.0
64,16.86,,16.86,16.85,2.0
65,17.12,17.12,17.11,17.11,3.0
66,17.37,17.38,17.38,17.35,4.0
67,17.64,17.65,17.63,17.63,1.0
68,17.88,17.89,17.89,17.87,2.0
69,18.14,,18.14,18.14,3.0
70,18.41,18.42,18.39,18.39,4.0
71,18.66,18.72,18.64,18.67,1.0
72,18.92,18.92,18.92,18.91,2.0
73,19.18,,19.17,19.19,3.0
74,19.44,19.46,19.43,19.43,4.0
75,19.71,19.71,19.7,19.71,1.0
76,19.96,19.96,19.96,19.94,2.0
77,20.22,,,20.22,3.0
78,20.46,20.46,20.47,20.47,4.0
79,20.73,20.73,20.74,20.74,1.0
80,20.98,21.0,20.99,20.97,2.0
81,21.25,21.27,21.25,21.25,3.0
82,21.51,21.51,21.5,21.48,4.0
83,21.77,21.79,21.76,21.75,1.0
84,22.02,22.06,22.01,22.01,2.0
85,22.29,22.3,22.28,,3.0
86,22.53,22.53,22.53,22.52,4.0
87,22.79,22.85,22.79,22.79,1.0
88,23.03,,23.03,23.02,2.0
89,23.3,23.31,23.3,23.29,3.0
90,23.55,23.59,23.55,23.54,4.0
91,23.82,23.84,23.8,23.81,1.0
92,24.08,24.09,24.07,24.06,2.0
93,24.33,,24.33,24.33,3.0
94,24.57,24.57,24.57,24.56,4.0
95,24.83,24.84,24.85,,1.0
96,25.09,25.09,25.1,25.1,2.0
97,25.35,25.35,25.37,25.36,3.0
98,25.62,25.67,25.62,25.6,4.0
99,25.88,25.89,25.89,25.88,1.0
100,26.14,,26.14,26.11,2.0
101,26.39,,26.39,26.38,3.0
102,26.64,,26.65,26.62,4.0
103,26.91,,26.9,26.9,1.0
104,27.16,,27.15,27.14,2.0
105,27.43,27.43,27.42,27.42,3.0
106,27.67,27.71,27.67,27.66,4.0
107,27.94,27.95,27.93,27.93,1.0
108,28.18,28.24,28.19,28.17,2.0
109,28.45,28.47,,28.44,3.0
110,28.69,28.73,28.69,28.67,4.0
111,28.96,28.99,28.96,28.96,1.0
112,29.2,29.2,29.2,,2.0
113,29.47,,29.47,29.48,3.0
114,29.72,29.78,29.72,29.72,4.0
115,29.99,29.99,29.98,29.97,1.0
116,30.23,30.26,30.23,30.22,2.0
117,30.5,,30.49,30.49,3.0
118,30.75,,30.73,,4.0
119,31.01,31.02,31.01,31.01,1.0
120,31.26,31.27,31.26,31.24,2.0
121,31.53,31.53,,31.52,3.0
122,31.78,31.79,31.77,31.75,4.0
123,32.04,32.06,32.03,32.03,1.0
124,32.28,32.27,32.27,32.26,2.0
125,32.54,,32.54,32.55,3.0
126,32.78,32.77,32.79,32.78,4.0
127,33.05,33.05,33.05,,1.0
128,33.3,,33.29,33.3,2.0
129,33.56,33.56,33.57,33.57,3.0
130,33.82,33.83,33.82,33.81,4.0
131,34.08,34.11,34.07,34.08,1.0
132,34.33,34.35,34.33,34.31,2.0
133,34.59,,34.59,34.58,3.0
134,34.85,34.88,34.84,34.82,4.0
135,35.1,35.15,35.1,35.1,1.0
136,35.35,35.35,35.35,35.33,2.0
