,beats,piano,bass,drums,metre_auto
0,0.07,0.07,,0.04,1.0
1,0.37,,0.34,0.36,2.0
2,0.69,0.7,0.68,0.68,3.0
3,0.98,,0.97,0.98,4.0
4,1.29,1.28,,1.3,1.0
5,1.59,1.59,1.57,1.6,2.0
6,1.91,1.92,1.9,1.9,3.0
7,2.19,2.2,2.19,2.19,4.0
8,2.5,2.53,,2.5,1.0
9,2.8,2.85,2.78,2.8,2.0
10,3.11,3.13,3.11,3.1,3.0
11,3.41,3.41,3.4,3.42,4.0
12,3.72,3.74,,3.71,1.0
13,4.02,4.02,4.01,4.02,2.0
14,4.33,4.34,4.34,4.33,3.0
15,4.63,4.63,4.63,4.64,4.0
16,4.94,,4.94,4.95,1.0
17,5.25,,,5.25,2.0
18,5.56,,5.56,5.56,3.0
19,5.86,,5.84,5.86,4.0
20,6.17,,6.16,6.18,1.0
21,6.47,6.5,6.47,6.47,2.0
22,6.78,6.78,6.78,6.78,3.0
23,7.08,7.07,7.09,7.08,4.0
24,7.39,,7.38,7.38,1.0
25,7.68,7.69,7.68,7.68,2.0
26,7.99,,7.99,7.99,3.0
27,8.3,8.3,8.27,8.28,4.0
28,8.59,,8.59,8.59,1.0
29,8.89,,8.89,8.89,2.0
30,9.2,9.21,9.2,9.2,3.0
31,9.49,9.49,9.49,9.49,4.0
32,9.79,9.78,,9.79,1.0
33,10.09,10.09,10.08,10.09,2.0
34,10.41,10.42,10.41,,3.0
35,10.7,10.7,10.7,10.68,4.0
36,11.01,11.02,11.01,11.0,1.0
37,11.31,11.32,11.31,11.3,2.0
38,11.62,,11.62,11.61,3.0
39,11.9,,11.93,11.9,4.0
40,12.21,12.26,,12.19,1.0
41,12.5,12.53,12.5,12.5,2.0
42,12.81,12.82,12.81,12.79,3.0
43,13.1,,13.12,13.09,4.0
44,13.4,,,13.4,1.0
45,13.69,13.71,,13.69,2.0
46,13.99,14.04,,13.99,3.0
47,14.28,14.32,14.28,14.28,4.0
48,14.58,,14.59,14.57,1.0
49,14.88,,,14.87,2.0
50,15.18,15.23,15.18,15.18,3.0
51,15.48,,15.48,15.48,4.0
52,15.79,15.82,15.78,15.79,1.0
53,16.09,16.12,16.07,16.09,2.0
54,16.41,,16.41,16.4,3.0
55,16.7,,16.69,16.7,4.0
56,17.01,17.01,17.0,16.99,1.0
57,17.3,,17.3,17.29,2.0
58,17.6,,17.61,17.6,3.0
59,17.9,17.93,17.89,17.9,4.0
60,18.2,18.23,18.21,18.2,1.0
61,18.51,18.52,18.51,18.48,2.0
62,18.81,,18.81,18.8,3.0
63,19.1,,19.1,19.08,4.0
64,19.38,,19.38,19.36,1.0
65,19.67,,19.66,19.67,2.0
66,19.99,20.04,19.99,19.96,3.0
67,20.28,20.32,20.28,20.26,4.0
68,20.57,20.63,20.58,20.56,1.0
69,20.88,20.9,20.89,20.86,2.0
70,21.18,21.21,21.19,21.17,3.0
71,21.49,21.5,21.49,21.54,4.0
72,21.79,,,21.78,1.0
73,22.09,22.13,,22.08,2.0
74,22.39,22.42,22.38,22.38,3.0
75,22.69,22.74,22.68,22.68,4.0
76,23.0,23.02,23.01,22.99,1.0
77,23.29,23.31,23.29,23.29,2.0
78,23.61,23.63,23.62,23.59,3.0
79,23.92,23.92,23.89,,4.0
80,24.22,24.23,24.21,24.19,1.0
81,24.5,,,24.49,2.0
82,24.82,24.83,24.79,,3.0
83,25.11,25.14,25.11,,4.0
84,25.39,25.43,,25.38,1.0
85,25.69,25.69,25.68,25.67,2.0
86,25.99,25.98,26.0,25.98,3.0
87,26.29,26.3,,26.28,4.0
88,26.59,,,26.57,1.0
89,26.87,,26.86,26.87,2.0
90,27.19,27.22,27.17,27.17,3.0
91,27.49,,27.49,27.47,4.0
92,27.81,27.84,,,1.0
93,28.12,28.13,,,2.0
94,28.41,28.42,,,3.0
95,28.7,28.72,28.68,,4.0
96,28.99,29.0,,,1.0
97,29.27,29.24,29.26,29.24,2.0
98,29.56,29.6,29.56,29.53,3.0
99,29.85,29.86,29.84,29.83,4.0
100,30.16,30.16,30.17,30.15,1.0
101,30.47,30.48,30.47,30.45,2.0
102,30.77,30.79,30.77,30.75,3.0
103,31.06,31.07,31.05,31.05,4.0
104,31.37,31.43,,,1.0
105,31.67,31.67,31.66,,2.0
106,31.96,31.97,31.95,31.93,3.0
107,32.27,32.28,32.27,,4.0
108,32.56,32.57,,32.58,1.0
109,32.84,32.85,,32.82,2.0
110,33.14,33.14,33.14,,3.0
111,33.45,33.46,,,4.0
112,33.75,33.76,,,1.0
113,34.03,34.07,,34.01,2.0
114,34.33,34.33,34.31,34.3,3.0
115,34.61,34.6,34.63,34.6,4.0
116,34.91,,34.93,34.9,1.0
117,35.21,35.21,35.2,,2.0
118,35.52,35.52,35.51,,3.0
119,35.81,35.83,35.79,35.78,4.0
120,36.13,36.13,,,1.0
121,36.41,,36.41,36.38,2.0
122,36.72,36.73,,36.7,3.0
123,37.0,37.03,,36.99,4.0
124,37.3,37.3,37.3,37.3,1.0
125,37.58,37.58,37.58,37.58,2.0
126,37.88,,37.88,37.89,3.0
127,38.17,38.21,38.17,38.15,4.0
128,38.46,38.47,38.49,,1.0
129,38.75,,38.75,38.74,2.0
130,39.07,39.1,39.07,39.04,3.0
131,39.36,39.38,39.35,39.33,4.0
132,39.67,,39.66,39.65,1.0
133,39.95,39.94,39.96,39.95,2.0
134,40.27,40.3,40.27,40.25,3.0
135,40.57,,40.57,,4.0
136,40.87,,40.84,40.84,1.0
137,41.17,41.22,41.18,41.14,2.0
138,41.49,41.51,41.48,,3.0
139,41.8,41.8,,,4.0
140,42.1,42.11,,,1.0
141,42.39,42.39,,,2.0
142,42.67,42.65,42.65,42.66,3.0
143,42.99,,,,4.0
144,43.3,43.31,,,1.0
145,43.59,43.59,43.57,,2.0
146,43.88,43.88,43.87,,3.0
147,44.17,,44.16,44.15,4.0
148,44.48,,44.47,44.46,1.0
149,44.77,,44.76,44.75,2.0
150,45.08,45.13,45.07,45.06,3.0
151,45.36,45.4,,45.36,4.0
152,45.67,,,,1.0
153,45.96,45.97,,45.94,2.0
154,46.26,46.26,46.27,46.23,3.0
155,46.58,46.58,46.58,,4.0
156,46.86,46.86,46.87,46.83,1.0
157,47.16,47.17,47.16,47.13,2.0
158,47.44,47.44,47.44,47.46,3.0
159,47.73,47.72,47.71,47.73,4.0
160,48.04,48.03,48.04,,1.0
161,48.33,48.34,,48.32,2.0
162,48.64,48.65,48.64,48.62,3.0
163,48.92,48.95,48.92,48.92,4.0
164,49.23,49.23,49.23,,1.0
165,49.53,49.57,49.53,49.51,2.0
166,49.84,49.84,49.83,,3.0
167,50.13,,50.13,,4.0
168,50.43,50.45,50.4,,1.0
169,50.71,50.73,50.71,50.7,2.0
170,51.01,50.99,51.03,50.98,3.0
171,51.3,,51.31,51.28,4.0
172,51.61,51.6,51.59,,1.0
173,51.9,51.9,51.89,51.88,2.0
174,52.19,,52.2,52.18,3.0
175,52.48,,52.48,52.49,4.0
176,52.8,52.8,,,1.0
177,53.08,53.09,,53.07,2.0
178,53.37,53.37,53.38,53.41,3.0
179,53.68,53.68,53.68,53.66,4.0
180,53.98,53.99,53.97,53.96,1.0
181,54.26,54.26,54.25,54.26,2.0
182,54.58,,54.59,,3.0
183,54.88,54.88,,,4.0
184,55.17,55.18,55.17,,1.0
185,55.48,55.49,55.48,,2.0
186,55.77,55.79,55.76,55.74,3.0
187,56.07,56.09,56.06,,4.0
188,56.36,56.36,56.35,56.33,1.0
189,56.67,56.69,56.64,,2.0
190,56.95,56.96,,56.94,3.0
191,57.26,57.26,57.24,,4.0
192,57.56,57.6,57.56,,1.0
193,57.85,57.87,57.82,,2.0
194,58.14,58.13,58.14,,3.0
195,58.42,,58.41,58.41,4.0
196,58.72,58.73,58.72,58.71,1.0
197,59.02,59.04,59.0,59.02,2.0
198,59.32,59.34,59.31,59.32,3.0
199,59.61,59.66,59.6,59.59,4.0
200,59.91,59.95,59.9,59.9,1.0
201,60.2,60.21,60.21,60.19,2.0
202,60.48,60.55,60.5,60.48,3.0
203,60.78,60.81,60.81,60.77,4.0
204,61.08,61.08,61.08,61.08,1.0
205,61.38,61.38,61.39,61.38,2.0
206,61.69,61.69,61.69,61.68,3.0
