,beats,piano,bass,drums,metre_auto
0,0.23,0.27,0.21,0.23,1.0
1,0.7,0.72,0.69,0.71,2.0
2,1.2,1.25,1.14,1.2,3.0
3,1.67,1.63,1.68,1.67,4.0
4,2.15,2.25,2.16,2.14,1.0
5,2.63,2.6,2.58,2.63,2.0
6,3.14,,3.13,3.14,3.0
7,3.6,3.59,3.61,3.6,4.0
8,4.1,4.13,4.09,4.11,1.0
9,4.55,4.59,4.55,4.56,2.0
10,5.06,5.06,5.05,5.08,3.0
11,5.53,5.52,5.55,5.54,4.0
12,6.01,6.01,,6.05,1.0
13,6.51,6.55,6.48,6.51,2.0
14,7.01,7.03,7.01,7.01,3.0
15,7.46,7.46,7.45,7.49,4.0
16,7.97,7.98,,7.97,1.0
17,8.42,8.42,8.42,8.45,2.0
18,8.94,8.92,8.89,8.95,3.0
19,9.42,9.38,9.37,9.42,4.0
20,9.91,9.92,9.86,9.92,1.0
21,10.37,10.34,10.38,10.38,2.0
22,10.87,10.92,10.82,10.88,3.0
23,11.33,11.32,11.33,11.35,4.0
24,11.82,11.82,,11.82,1.0
25,12.29,12.24,12.27,12.29,2.0
26,12.78,,,12.78,3.0
27,13.25,,13.22,13.27,4.0
28,13.76,13.78,13.72,13.75,1.0
29,14.24,14.3,14.2,14.24,2.0
30,14.73,,14.71,14.74,3.0
31,15.2,15.24,15.18,15.2,4.0
32,15.71,,15.65,15.72,1.0
33,16.17,16.19,16.15,16.18,2.0
34,16.65,,16.65,16.65,3.0
35,17.13,17.13,17.1,17.14,4.0
36,17.62,,17.58,17.62,1.0
37,18.08,18.12,18.08,18.1,2.0
38,18.59,18.6,18.55,18.59,3.0
39,19.06,,19.03,19.05,4.0
40,19.58,19.58,19.52,19.57,1.0
41,20.04,20.06,20.05,20.04,2.0
42,20.56,20.57,20.51,20.56,3.0
43,21.05,21.06,21.01,21.06,4.0
44,21.54,,21.5,21.56,1.0
45,22.02,22.09,22.01,22.04,2.0
46,22.5,22.51,22.5,22.53,3.0
47,22.99,22.98,22.99,23.0,4.0
48,23.48,,23.47,23.48,1.0
49,23.98,,23.95,23.98,2.0
50,24.48,24.58,24.43,24.49,3.0
51,24.96,24.99,24.95,24.96,4.0
52,25.43,25.51,25.42,25.46,1.0
53,25.93,25.98,25.89,25.93,2.0
54,26.44,26.46,26.4,26.45,3.0
55,26.92,26.94,26.9,26.93,4.0
56,27.4,27.43,27.4,27.43,1.0
57,27.91,,28.02,27.91,2.0
58,28.4,28.39,,28.41,3.0
59,28.87,28.87,28.88,28.88,4.0
60,29.37,,29.36,29.37,1.0
61,29.84,29.84,,29.84,2.0
62,30.31,30.31,30.29,30.32,3.0
63,30.78,,,30.78,4.0
64,31.23,31.26,31.17,31.22,1.0
65,31.71,31.74,31.71,31.72,2.0
66,32.17,32.19,32.17,32.18,3.0
67,32.66,32.68,32.64,32.66,4.0
68,33.14,33.21,33.14,33.16,1.0
69,33.63,33.63,33.61,33.64,2.0
70,34.14,34.17,34.11,34.15,3.0
71,34.61,34.63,,34.6,4.0
72,35.09,35.13,35.09,35.09,1.0
73,35.57,35.57,35.55,35.57,2.0
74,36.09,,36.04,36.1,3.0
