,beats,piano,bass,drums,metre_auto
0,0.41,0.47,0.4,,2.0
1,0.7,0.76,0.71,0.7,3.0
2,0.95,0.92,0.93,,4.0
3,1.21,1.19,,1.19,1.0
4,1.48,1.5,,1.49,2.0
5,1.73,1.79,1.79,1.79,3.0
6,2.0,,,2.05,4.0
7,2.25,,,,1.0
8,2.52,,,,2.0
9,2.77,2.76,2.74,2.74,3.0
10,3.05,3.07,,3.02,4.0
11,3.33,,3.3,3.33,1.0
12,3.61,,3.6,3.59,2.0
13,3.89,,3.89,,3.0
14,4.17,4.16,4.16,,4.0
15,4.45,4.44,4.44,4.43,1.0
16,4.73,4.74,4.72,4.71,2.0
17,5.01,5.01,5.01,,3.0
18,5.29,5.29,,5.3,4.0
19,5.58,5.58,5.58,,1.0
20,5.86,5.85,5.86,,2.0
21,6.13,6.14,6.12,6.14,3.0
22,6.41,6.41,,6.42,4.0
23,6.69,,6.67,6.69,1.0
24,6.97,,6.95,6.95,2.0
25,7.25,,7.24,7.24,3.0
26,7.53,7.54,7.53,7.54,4.0
27,7.81,7.81,7.81,7.78,1.0
28,8.09,8.09,8.1,8.07,2.0
29,8.38,8.39,8.41,,3.0
30,8.66,8.67,8.67,8.64,4.0
31,8.94,8.95,,,1.0
32,9.21,9.21,9.21,9.21,2.0
33,9.49,9.49,9.51,9.49,3.0
34,9.77,9.77,,,4.0
35,10.06,10.05,10.06,10.07,1.0
36,10.34,10.34,10.34,10.34,2.0
37,10.62,10.61,10.62,10.62,3.0
38,10.9,10.9,10.89,,4.0
39,11.18,11.2,11.2,11.15,1.0
40,11.45,11.46,11.46,11.42,2.0
41,11.73,11.74,11.72,11.7,3.0
42,12.0,12.04,12.0,,4.0
43,12.28,12.29,12.3,12.25,1.0
44,12.56,12.59,12.57,12.55,2.0
45,12.84,12.84,12.84,,3.0
46,13.12,13.12,13.12,13.09,4.0
47,13.4,13.4,13.39,13.38,1.0
48,13.68,,13.68,13.69,2.0
49,13.97,13.98,,13.96,3.0
50,14.23,14.25,14.22,14.22,4.0
51,14.52,14.52,,,1.0
52,14.78,,14.8,14.77,2.0
53,15.07,15.12,15.07,15.04,3.0
54,15.35,15.35,,,4.0
55,15.6,,,15.6,1.0
56,15.88,,15.88,15.89,2.0
57,16.16,16.2,16.15,,3.0
58,16.44,,16.45,16.44,4.0
59,16.73,,,,1.0
60,17.0,17.0,17.0,17.0,2.0
61,17.28,17.28,17.28,17.29,3.0
62,17.57,17.58,17.56,,4.0
63,17.85,17.86,17.86,17.86,1.0
64,18.12,18.11,18.12,18.12,2.0
65,18.4,18.41,18.39,18.39,3.0
66,18.67,18.68,18.68,18.65,4.0
67,18.96,18.95,18.96,18.96,1.0
68,19.24,,19.23,,2.0
69,19.51,19.51,,19.51,3.0
70,19.78,19.79,19.75,,4.0
71,20.06,,20.05,20.07,1.0
72,20.33,20.33,20.33,20.34,2.0
73,20.62,20.61,20.6,20.63,3.0
74,20.88,20.88,20.89,20.88,4.0
75,21.17,21.17,21.17,21.16,1.0
76,21.44,21.45,21.44,,2.0
77,21.72,21.71,21.71,,3.0
78,21.99,21.99,21.99,21.98,4.0
79,22.27,22.26,22.27,,1.0
80,22.54,22.54,,,2.0
81,22.8,22.8,22.82,22.79,3.0
82,23.07,23.08,23.1,23.07,4.0
83,23.32,,23.33,23.31,1.0
84,23.61,23.61,23.6,23.61,2.0
85,23.89,23.9,23.88,,3.0
86,24.16,24.15,24.14,24.17,4.0
87,24.44,24.47,24.43,,1.0
88,24.72,24.72,24.71,24.72,2.0
89,24.98,24.98,24.98,24.98,3.0
90,25.25,25.28,25.25,25.26,4.0
91,25.53,25.54,25.52,25.52,1.0
92,25.79,25.79,25.8,25.78,2.0
93,26.08,26.09,26.08,26.08,3.0
94,26.35,,26.34,,4.0
95,26.62,26.61,26.63,26.62,1.0
96,26.9,26.9,26.91,26.9,2.0
97,27.18,27.23,27.18,27.17,3.0
98,27.43,27.43,27.44,27.44,4.0
99,27.72,,27.72,,1.0
100,27.98,28.0,27.98,,2.0
101,28.25,28.29,28.26,28.23,3.0
102,28.54,28.56,28.52,,4.0
103,28.82,,,28.82,1.0
104,29.08,29.1,29.07,29.06,2.0
105,29.37,29.39,,,3.0
106,29.64,29.64,29.65,,4.0
107,29.91,29.93,29.9,,1.0
108,30.16,30.21,30.17,30.15,2.0
109,30.45,30.48,,,3.0
110,30.7,,30.69,30.7,4.0
111,30.99,30.99,31.0,30.98,1.0
112,31.26,31.26,31.26,,2.0
113,31.54,31.54,31.56,31.53,3.0
114,31.81,31.82,31.82,31.81,4.0
115,32.09,,32.12,32.09,1.0
116,32.34,32.38,32.38,32.33,2.0
117,32.63,32.63,32.65,32.65,3.0
118,32.9,32.88,32.89,,4.0
119,33.18,33.19,33.21,33.19,1.0
120,33.46,33.46,33.46,33.47,2.0
121,33.73,33.74,,33.72,3.0
122,34.0,34.0,34.0,34.0,4.0
123,34.27,34.26,,34.28,1.0
124,34.53,34.53,34.54,34.53,2.0
125,34.82,34.82,34.83,34.82,3.0
126,35.1,35.09,35.1,35.1,4.0
127,35.38,35.37,35.38,35.38,1.0
128,35.65,35.63,,35.65,2.0
129,35.93,35.92,35.93,35.93,3.0
130,36.2,36.19,36.19,36.19,4.0
131,36.49,36.5,36.49,36.48,1.0
132,36.76,36.77,36.77,36.76,2.0
133,37.04,37.05,,37.04,3.0
