,beats,piano,bass,drums,metre_auto
0,0.1,0.11,,0.13,2.0
1,0.45,0.46,0.44,0.47,3.0
2,0.8,0.79,0.86,0.84,4.0
3,1.17,1.17,,1.17,1.0
4,1.52,,1.53,,2.0
5,1.87,1.89,1.88,,3.0
6,2.2,2.19,,2.2,4.0
7,2.56,,2.56,2.55,1.0
8,2.91,,2.91,,2.0
9,3.25,3.28,3.26,3.23,3.0
10,3.6,3.58,3.62,3.6,4.0
11,3.96,,3.97,3.93,1.0
12,4.3,4.3,4.3,,2.0
13,4.66,4.66,,4.64,3.0
14,4.99,4.99,,,4.0
15,5.35,,5.34,5.35,1.0
16,5.69,5.7,,5.7,2.0
17,6.02,6.02,6.05,,3.0
18,6.39,6.4,6.4,6.38,4.0
19,6.73,6.73,6.75,6.73,1.0
20,7.09,7.16,7.11,,2.0
21,7.43,7.42,7.44,7.42,3.0
22,7.76,7.76,7.82,,4.0
23,8.12,8.12,,8.12,1.0
24,8.48,,8.49,8.44,2.0
25,8.83,,8.84,8.79,3.0
26,9.16,9.16,9.2,9.16,4.0
27,9.52,9.53,,9.51,1.0
28,9.85,9.86,,9.86,2.0
29,10.19,10.19,,,3.0
30,10.54,10.54,,10.53,4.0
31,10.89,10.92,10.9,10.88,1.0
32,11.24,11.25,,11.24,2.0
33,11.6,11.59,11.67,11.59,3.0
34,11.96,11.98,11.97,11.94,4.0
35,12.31,12.32,12.3,12.29,1.0
36,12.66,12.67,12.65,12.66,2.0
37,13.01,13.01,,13.0,3.0
38,13.35,13.34,13.36,,4.0
39,13.7,13.69,13.72,13.7,1.0
40,14.04,,14.05,14.03,2.0
41,14.41,14.42,14.42,14.38,3.0
42,14.75,14.74,14.76,14.73,4.0
43,15.08,15.07,15.12,15.07,1.0
44,15.42,15.42,15.42,15.43,2.0
45,15.77,,,15.76,3.0
46,16.13,,16.15,16.11,4.0
47,16.46,,,16.47,1.0
48,16.82,,,16.82,2.0
49,17.16,,17.16,17.15,3.0
50,17.52,,17.52,17.5,4.0
