,beats,piano,bass,drums,metre_auto
0,0.27,0.27,,,2.0
1,0.58,0.58,,,3.0
2,0.86,0.89,,,1.0
3,1.17,1.2,1.17,,2.0
4,1.49,1.52,,,3.0
5,1.79,1.8,1.8,1.78,1.0
6,2.11,2.13,2.14,2.11,2.0
7,2.42,2.43,2.43,2.41,3.0
8,2.73,,2.73,2.72,1.0
9,3.03,3.01,,3.03,2.0
10,3.35,3.35,3.34,,3.0
11,3.65,3.67,3.64,3.65,1.0
12,3.97,3.98,,3.94,2.0
13,4.27,4.28,4.26,,3.0
14,4.58,,4.6,4.58,1.0
15,4.9,4.91,,,2.0
16,5.18,5.2,5.17,5.18,3.0
17,5.5,5.53,5.5,5.5,1.0
18,5.81,5.82,,5.81,2.0
19,6.11,6.1,,6.12,3.0
20,6.42,6.41,,6.42,1.0
21,6.73,6.74,,6.73,2.0
22,7.05,7.07,,,3.0
23,7.34,,,7.33,1.0
24,7.66,7.68,,,2.0
25,7.97,7.98,7.98,7.96,3.0
26,8.27,8.3,,8.26,1.0
27,8.58,8.58,,,2.0
28,8.88,8.9,,8.87,3.0
29,9.2,9.2,9.19,9.2,1.0
30,9.51,9.54,,,2.0
31,9.81,9.8,,9.81,3.0
32,10.13,,10.13,10.14,1.0
33,10.44,10.45,10.48,10.46,2.0
34,10.75,10.75,10.79,10.75,3.0
35,11.06,,11.05,11.06,1.0
36,11.37,,,11.37,2.0
37,11.67,11.67,11.67,11.68,3.0
38,11.98,11.97,11.98,11.99,1.0
39,12.28,12.29,12.29,12.28,2.0
40,12.6,12.6,12.64,12.59,3.0
41,12.9,12.91,12.9,12.87,1.0
42,13.19,,,13.19,2.0
43,13.5,13.48,13.5,13.5,3.0
44,13.8,13.79,13.8,,1.0
45,14.11,14.11,14.1,14.11,2.0
46,14.43,,,14.44,3.0
47,14.73,,14.7,14.73,1.0
48,15.04,15.03,15.03,15.04,2.0
49,15.35,15.35,15.37,,3.0
50,15.66,15.66,,15.65,1.0
51,15.97,15.96,15.97,15.97,2.0
52,16.27,16.28,16.27,16.26,3.0
53,16.59,16.58,16.58,16.6,1.0
54,16.89,16.89,,16.88,2.0
55,17.2,17.22,,17.19,3.0
56,17.51,17.51,17.49,17.51,1.0
57,17.83,17.82,17.84,17.82,2.0
58,18.12,,,18.12,3.0
59,18.43,,18.43,18.42,1.0
60,18.72,,,18.72,2.0
61,19.03,19.01,19.07,19.02,3.0
62,19.34,19.34,19.35,19.33,1.0
63,19.64,19.65,19.64,19.63,2.0
64,19.93,19.96,,19.93,3.0
65,20.22,20.21,20.21,20.22,1.0
66,20.52,20.54,,20.52,2.0
67,20.82,20.84,20.81,20.82,3.0
68,21.13,,21.12,21.13,1.0
69,21.42,,21.4,21.42,2.0
70,21.73,21.75,21.71,21.73,3.0
71,22.04,22.06,22.03,22.03,1.0
72,22.34,22.35,,22.34,2.0
73,22.65,22.66,,22.64,3.0
74,22.95,22.94,,22.95,1.0
75,23.24,23.27,,23.24,2.0
76,23.55,,,23.56,3.0
77,23.84,23.83,,,1.0
78,24.14,24.16,,24.14,2.0
79,24.45,24.46,,24.45,3.0
80,24.75,24.75,,24.76,1.0
81,25.06,25.07,,25.06,2.0
82,25.35,25.4,,25.35,3.0
83,25.66,25.65,25.68,25.66,1.0
84,25.96,25.96,,25.96,2.0
85,26.26,26.26,,26.26,3.0
86,26.56,26.55,,26.57,1.0
87,26.85,26.89,26.83,,2.0
88,27.16,27.19,27.13,27.16,3.0
89,27.47,27.46,27.47,27.48,1.0
90,27.77,27.77,27.74,27.78,2.0
91,28.08,28.07,28.07,28.08,3.0
92,28.37,28.37,28.37,28.38,1.0
93,28.67,28.67,28.66,,2.0
94,28.98,28.97,28.97,28.99,3.0
95,29.3,29.3,,29.32,1.0
96,29.61,,29.6,29.64,2.0
97,29.92,,29.92,29.93,3.0
98,30.21,30.21,30.22,30.2,1.0
99,30.51,30.52,30.52,30.5,2.0
100,30.81,30.81,30.79,30.82,3.0
101,31.1,,31.1,,1.0
102,31.39,,31.4,31.39,2.0
103,31.71,31.69,31.68,31.71,3.0
104,32.01,32.02,32.0,32.02,1.0
105,32.3,32.31,32.31,,2.0
106,32.6,32.62,,32.6,3.0
107,32.91,32.89,32.88,32.91,1.0
108,33.21,,33.21,33.22,2.0
109,33.49,33.49,33.48,33.51,3.0
110,33.79,33.8,33.79,33.79,1.0
111,34.1,34.1,34.1,34.1,2.0
112,34.39,34.39,34.39,34.39,3.0
113,34.7,,,34.69,1.0
114,34.99,34.99,34.99,34.98,2.0
115,35.28,35.28,,35.28,3.0
116,35.59,35.58,35.59,35.59,1.0
117,35.89,35.89,35.88,35.92,2.0
118,36.18,36.18,36.17,36.18,3.0
119,36.49,,36.48,36.49,1.0
120,36.78,36.79,,36.78,2.0
121,37.08,37.08,,37.11,3.0
122,37.37,37.37,37.38,37.39,1.0
123,37.68,,,37.68,2.0
124,37.98,37.97,,37.99,3.0
125,38.29,38.26,,38.3,1.0
126,38.58,38.57,,,2.0
127,38.86,38.88,,38.85,3.0
128,39.17,39.18,39.17,39.18,1.0
129,39.47,39.47,,,2.0
130,39.77,,,39.76,3.0
131,40.06,40.06,,40.07,1.0
132,40.35,,,,2.0
133,40.65,40.65,,40.65,3.0
134,40.94,40.94,40.94,40.96,1.0
135,41.26,,,41.25,2.0
136,41.55,,41.53,41.55,3.0
137,41.86,,41.85,41.85,1.0
138,42.16,42.17,,,2.0
139,42.44,42.45,42.49,42.44,3.0
140,42.75,42.75,,42.75,1.0
141,43.04,43.06,43.03,43.04,2.0
142,43.34,43.35,,43.32,3.0
143,43.63,43.63,43.63,43.63,1.0
144,43.93,43.91,43.94,43.94,2.0
145,44.23,44.22,44.24,44.24,3.0
146,44.54,44.54,44.53,44.54,1.0
147,44.84,,44.82,44.84,2.0
148,45.13,45.18,45.13,45.13,3.0
149,45.42,45.43,45.42,45.42,1.0
150,45.72,45.72,45.71,45.72,2.0
151,46.03,,46.02,46.02,3.0
152,46.32,46.31,46.32,46.31,1.0
153,46.61,46.62,46.61,46.61,2.0
154,46.9,,46.91,46.89,3.0
155,47.2,47.2,47.2,47.19,1.0
156,47.48,47.53,47.49,47.48,2.0
157,47.78,,47.77,47.79,3.0
158,48.07,48.07,48.07,48.07,1.0
159,48.37,48.38,48.37,48.37,2.0
160,48.65,48.67,48.67,48.64,3.0
161,48.94,48.94,,48.95,1.0
162,49.24,49.26,49.24,49.24,2.0
163,49.54,,49.55,49.52,3.0
164,49.82,,49.83,49.82,1.0
165,50.12,50.12,50.12,50.11,2.0
166,50.4,50.42,50.39,50.39,3.0
167,50.7,50.69,,50.7,1.0
168,50.99,50.99,50.97,50.98,2.0
169,51.28,51.3,51.31,,3.0
170,51.56,51.57,,51.56,1.0
171,51.86,51.87,,51.86,2.0
172,52.15,52.18,52.12,52.14,3.0
173,52.45,52.46,52.44,,1.0
174,52.74,52.75,52.75,52.74,2.0
175,53.04,53.03,,53.04,3.0
176,53.33,53.36,53.37,53.33,1.0
177,53.63,53.66,53.62,53.62,2.0
178,53.92,53.94,,53.92,3.0
179,54.21,54.21,,54.21,1.0
180,54.5,54.51,54.52,54.49,2.0
181,54.79,54.82,54.79,54.79,3.0
182,55.09,55.1,55.08,55.08,1.0
183,55.38,55.42,55.37,55.38,2.0
184,55.69,55.7,55.68,55.68,3.0
185,55.98,55.99,,55.98,1.0
186,56.26,56.26,56.24,56.26,2.0
187,56.56,56.59,56.55,56.55,3.0
188,56.85,56.85,56.86,56.85,1.0
189,57.14,57.17,57.13,57.14,2.0
190,57.43,57.48,57.43,57.43,3.0
191,57.74,57.75,57.72,57.73,1.0
192,58.04,,58.01,58.04,2.0
193,58.33,,58.33,58.34,3.0
194,58.63,58.63,58.63,58.62,1.0
195,58.92,58.96,58.91,58.92,2.0
196,59.21,59.26,,59.21,3.0
197,59.5,59.49,59.53,59.5,1.0
198,59.79,59.82,59.79,59.78,2.0
199,60.08,60.1,,60.07,3.0
200,60.36,60.35,60.36,60.35,1.0
201,60.65,,60.62,60.66,2.0
202,60.95,,,60.95,3.0
203,61.25,,,61.24,1.0
204,61.54,61.54,,,2.0
205,61.82,61.85,,61.81,3.0
206,62.11,62.09,62.09,62.12,1.0
207,62.4,62.41,62.37,62.41,2.0
208,62.7,,62.7,62.7,3.0
209,62.98,62.96,63.0,63.0,1.0
210,63.27,63.27,63.26,63.28,2.0
211,63.57,63.56,63.6,63.59,3.0
212,63.87,,63.87,63.87,1.0
213,64.16,,64.16,64.14,2.0
214,64.45,64.48,64.46,64.44,3.0
215,64.75,64.74,64.75,64.76,1.0
216,65.04,65.05,,65.06,2.0
217,65.33,65.34,,,3.0
218,65.62,65.63,65.63,65.62,1.0
219,65.91,,,65.91,2.0
220,66.2,,,,3.0
221,66.49,,,66.49,1.0
222,66.78,66.79,,66.78,2.0
223,67.06,67.04,,67.06,3.0
224,67.35,67.34,67.34,67.35,1.0
225,67.64,,,67.64,2.0
226,67.94,,67.94,67.93,3.0
227,68.23,68.25,68.23,68.22,1.0
228,68.52,68.53,,68.53,2.0
229,68.81,68.82,68.79,,3.0
230,69.1,69.08,69.11,69.1,1.0
231,69.4,,69.39,69.39,2.0
232,69.69,69.71,69.7,69.68,3.0
233,69.98,69.98,69.98,69.99,1.0
234,70.27,70.27,70.24,,2.0
235,70.57,70.58,70.54,70.57,3.0
236,70.85,70.83,70.84,70.87,1.0
237,71.15,,71.15,,2.0
238,71.45,,71.45,71.45,3.0
239,71.75,71.74,71.74,71.76,1.0
240,72.04,72.06,72.04,,2.0
241,72.33,,72.35,72.33,3.0
242,72.62,72.62,72.65,,1.0
243,72.91,,72.95,,2.0
244,73.2,,73.21,,3.0
245,73.49,,73.5,73.49,1.0
246,73.78,73.79,73.77,73.78,2.0
247,74.07,74.08,,74.07,3.0
248,74.36,74.36,74.34,74.37,1.0
249,74.64,74.65,74.63,,2.0
250,74.94,74.94,74.97,,3.0
251,75.23,,75.2,75.24,1.0
252,75.51,75.53,75.49,,2.0
253,75.8,,75.79,,3.0
254,76.09,76.07,76.07,76.11,1.0
255,76.38,76.41,76.37,76.39,2.0
256,76.67,76.64,76.66,76.66,3.0
257,76.96,76.96,76.95,76.97,1.0
258,77.25,77.26,77.24,77.25,2.0
259,77.54,77.55,77.54,,3.0
260,77.83,77.8,77.82,77.83,1.0
261,78.13,78.12,,78.14,2.0
262,78.42,78.43,,78.42,3.0
263,78.71,78.7,78.7,78.72,1.0
264,79.0,78.99,,79.02,2.0
265,79.29,79.27,79.3,,3.0
266,79.58,,,79.58,1.0
267,79.86,79.86,79.85,79.88,2.0
268,80.15,80.15,,,3.0
269,80.44,80.43,80.42,80.45,1.0
270,80.73,80.72,,80.74,2.0
271,81.02,81.01,,,3.0
272,81.31,81.3,,81.31,1.0
273,81.6,81.59,,81.6,2.0
274,81.89,,,81.89,3.0
275,82.18,82.16,82.16,82.18,1.0
276,82.47,82.44,,,2.0
