,beats,piano,bass,drums,metre_auto
0,0.07,0.07,,,1.0
1,0.27,0.28,,0.26,2.0
2,0.5,0.51,0.51,,3.0
3,0.7,,,0.68,4.0
4,0.92,0.92,0.93,0.93,1.0
5,1.14,,,1.12,2.0
6,1.37,1.38,1.38,,3.0
7,1.57,1.6,,1.56,4.0
8,1.77,1.78,1.77,,1.0
9,2.0,2.02,,1.99,2.0
10,2.22,2.22,2.21,2.22,3.0
11,2.41,2.43,,2.41,4.0
12,2.64,2.65,2.64,2.63,1.0
13,2.83,,,2.83,2.0
14,3.06,,3.06,3.06,3.0
15,3.26,,,3.25,4.0
16,3.47,3.47,3.47,3.48,1.0
17,3.67,,,3.67,2.0
18,3.9,3.89,3.89,3.93,3.0
19,4.09,,,4.09,4.0
20,4.32,4.32,4.33,4.32,1.0
21,4.52,,,4.51,2.0
22,4.75,4.75,4.74,4.74,3.0
23,4.94,4.99,,4.93,4.0
24,5.17,5.18,5.16,5.15,1.0
25,5.36,,,5.35,2.0
26,5.59,,5.57,5.58,3.0
27,5.79,5.8,,5.78,4.0
28,6.01,6.02,5.99,6.01,1.0
29,6.2,,,6.2,2.0
30,6.43,6.44,6.44,6.43,3.0
31,6.63,,6.64,6.63,4.0
32,6.86,6.86,,6.86,1.0
33,7.06,,7.06,7.06,2.0
34,7.28,7.28,7.28,7.29,3.0
35,7.49,7.54,7.49,7.49,4.0
36,7.69,7.68,7.7,7.71,1.0
37,7.9,7.94,,7.9,2.0
38,8.12,,8.12,8.14,3.0
39,8.33,8.36,,8.32,4.0
40,8.55,8.57,8.55,8.54,1.0
41,8.74,8.78,,8.74,2.0
42,8.97,8.97,8.96,8.97,3.0
43,9.16,9.16,,9.15,4.0
44,9.38,,9.39,9.38,1.0
45,9.57,9.59,,9.57,2.0
46,9.79,,9.81,9.78,3.0
47,10.0,,10.02,9.99,4.0
48,10.22,10.23,10.2,10.2,1.0
49,10.42,,,10.42,2.0
50,10.64,10.64,10.66,10.65,3.0
51,10.85,,,10.84,4.0
52,11.07,11.08,11.06,11.06,1.0
53,11.27,,,11.27,2.0
54,11.5,11.5,11.5,11.49,3.0
55,11.69,,,11.69,4.0
56,11.91,11.9,,11.92,1.0
57,12.11,12.15,,12.11,2.0
58,12.34,,12.34,12.34,3.0
59,12.54,12.57,,12.54,4.0
60,12.77,,12.77,,1.0
61,12.97,,,12.96,2.0
62,13.19,13.19,13.2,13.19,3.0
63,13.38,,,13.38,4.0
64,13.61,13.62,13.61,,1.0
65,13.81,,13.84,13.81,2.0
66,14.03,14.03,14.02,,3.0
67,14.23,14.27,14.24,14.23,4.0
68,14.45,,14.45,,1.0
69,14.65,,,14.65,2.0
70,14.87,14.87,14.86,,3.0
71,15.07,,,15.07,4.0
72,15.29,,15.29,15.31,1.0
73,15.49,,,15.5,2.0
74,15.71,15.71,15.71,15.72,3.0
75,15.92,,,15.92,4.0
76,16.14,16.14,16.12,,1.0
77,16.34,16.34,,16.34,2.0
78,16.56,16.56,16.56,16.56,3.0
79,16.75,,,16.75,4.0
80,16.97,,16.97,,1.0
81,17.16,17.19,,17.16,2.0
82,17.38,17.4,,17.38,3.0
83,17.57,,17.59,17.57,4.0
84,17.78,17.8,17.8,,1.0
85,17.98,18.02,,17.98,2.0
86,18.18,18.21,18.17,,3.0
87,18.38,,,18.38,4.0
88,18.6,18.63,18.59,18.61,1.0
89,18.79,,,18.79,2.0
90,19.01,19.02,18.99,19.02,3.0
91,19.2,,,19.2,4.0
92,19.43,,19.42,19.44,1.0
93,19.63,,,19.62,2.0
94,19.84,19.83,19.83,19.84,3.0
95,20.03,,,20.03,4.0
96,20.25,20.25,20.24,,1.0
97,20.45,,,20.44,2.0
98,20.67,20.67,,20.67,3.0
99,20.86,,20.9,20.85,4.0
100,21.07,21.08,21.07,21.08,1.0
101,21.26,21.3,,21.26,2.0
102,21.49,,,21.48,3.0
103,21.69,,,21.69,4.0
104,21.9,21.9,21.89,21.91,1.0
105,22.1,22.1,,22.09,2.0
106,22.32,22.32,22.32,22.33,3.0
107,22.52,,,22.52,4.0
108,22.74,,22.73,22.75,1.0
109,22.93,,,22.93,2.0
110,23.15,23.16,23.13,23.16,3.0
111,23.34,,23.35,23.34,4.0
112,23.57,23.57,,23.57,1.0
113,23.76,,,23.76,2.0
114,23.98,,23.96,23.99,3.0
115,24.18,,,24.18,4.0
116,24.41,24.42,24.39,24.41,1.0
117,24.6,24.62,,24.59,2.0
118,24.82,24.83,24.84,24.81,3.0
119,25.01,25.04,,25.01,4.0
120,25.22,25.25,25.22,25.24,1.0
121,25.42,25.44,,25.41,2.0
122,25.64,,25.66,25.64,3.0
123,25.83,25.88,,25.83,4.0
124,26.06,26.07,26.07,26.06,1.0
125,26.25,,,26.24,2.0
126,26.47,26.47,26.49,26.47,3.0
127,26.66,,,26.65,4.0
128,26.88,26.89,26.86,26.88,1.0
129,27.08,,27.08,27.08,2.0
130,27.3,27.3,27.28,27.29,3.0
131,27.49,,27.52,27.49,4.0
132,27.71,27.71,27.7,27.71,1.0
133,27.92,27.93,,27.91,2.0
134,28.13,28.14,28.13,28.14,3.0
135,28.34,28.36,,28.34,4.0
136,28.55,28.57,28.54,28.56,1.0
137,28.76,28.77,,28.76,2.0
138,28.97,,28.96,28.98,3.0
139,29.18,29.18,,29.18,4.0
140,29.4,29.41,29.4,,1.0
141,29.59,29.62,,29.59,2.0
142,29.8,29.83,29.78,29.8,3.0
143,30.0,30.03,,29.99,4.0
144,30.22,30.26,30.2,30.23,1.0
145,30.43,30.42,,30.43,2.0
146,30.63,30.66,30.63,30.64,3.0
147,30.84,,,30.84,4.0
148,31.05,,31.05,31.05,1.0
149,31.24,31.28,,31.24,2.0
150,31.46,31.48,31.45,31.46,3.0
151,31.65,31.69,,31.65,4.0
152,31.87,31.9,31.86,31.86,1.0
153,32.06,32.1,32.1,32.06,2.0
154,32.29,,32.27,32.28,3.0
155,32.49,,,32.49,4.0
156,32.7,32.72,32.68,32.71,1.0
157,32.91,,,32.91,2.0
158,33.13,33.13,33.12,33.13,3.0
159,33.33,,,33.32,4.0
160,33.53,33.57,33.53,33.55,1.0
161,33.74,,,33.74,2.0
162,33.97,33.97,33.97,33.95,3.0
163,34.17,,,34.16,4.0
164,34.39,34.39,34.38,,1.0
165,34.58,,,34.58,2.0
166,34.79,,34.77,34.79,3.0
167,34.98,,,34.99,4.0
168,35.19,,35.18,35.2,1.0
169,35.39,,,35.39,2.0
170,35.6,35.63,,35.6,3.0
171,35.8,,,35.8,4.0
172,36.02,36.02,36.01,36.01,1.0
173,36.22,,,36.22,2.0
174,36.43,,36.43,36.44,3.0
175,36.62,36.62,,36.63,4.0
176,36.82,,36.81,36.85,1.0
177,37.03,,,37.03,2.0
178,37.25,37.25,,37.25,3.0
179,37.45,,,37.44,4.0
180,37.67,37.68,37.65,37.67,1.0
181,37.87,37.9,,37.87,2.0
182,38.09,38.1,38.08,38.1,3.0
183,38.28,38.32,,38.28,4.0
184,38.51,,38.51,38.51,1.0
185,38.71,,,38.71,2.0
186,38.92,38.91,38.92,38.93,3.0
187,39.12,,,39.12,4.0
188,39.33,,39.32,,1.0
189,39.54,,,39.54,2.0
190,39.76,39.76,39.77,39.76,3.0
191,39.96,,,39.96,4.0
192,40.18,40.18,40.17,40.18,1.0
193,40.39,,40.39,40.38,2.0
194,40.6,40.6,40.6,40.61,3.0
195,40.81,,40.82,40.81,4.0
196,41.02,41.01,41.04,41.02,1.0
197,41.21,41.25,,41.21,2.0
198,41.43,41.44,41.44,41.42,3.0
199,41.63,,,41.62,4.0
200,41.84,41.85,41.84,41.84,1.0
201,42.05,42.08,,42.04,2.0
202,42.26,42.24,42.26,,3.0
203,42.46,,,42.46,4.0
204,42.67,42.68,42.65,42.68,1.0
205,42.86,42.89,,42.86,2.0
206,43.08,43.08,43.08,,3.0
207,43.28,,,43.28,4.0
208,43.49,,43.48,43.5,1.0
209,43.69,43.71,,43.69,2.0
210,43.91,43.92,43.9,43.92,3.0
211,44.1,44.14,,44.1,4.0
212,44.31,44.35,44.3,44.33,1.0
213,44.52,44.53,,44.52,2.0
214,44.72,44.73,44.71,44.74,3.0
215,44.93,44.94,,44.93,4.0
216,45.14,,45.13,45.15,1.0
217,45.34,45.39,,45.33,2.0
218,45.56,45.57,45.56,45.56,3.0
219,45.75,,,45.75,4.0
220,45.97,45.96,45.97,45.97,1.0
221,46.17,46.17,,46.17,2.0
222,46.38,46.4,46.37,46.38,3.0
223,46.58,46.63,,46.58,4.0
224,46.79,46.83,46.79,46.79,1.0
225,46.99,47.0,,46.99,2.0
226,47.21,47.24,47.22,47.2,3.0
227,47.4,,,47.4,4.0
228,47.62,47.64,47.61,47.62,1.0
229,47.82,47.85,,47.82,2.0
230,48.04,,48.03,48.04,3.0
231,48.23,,,48.23,4.0
232,48.44,48.44,48.43,48.45,1.0
233,48.65,48.66,48.63,48.64,2.0
234,48.87,48.88,48.87,48.87,3.0
235,49.06,49.09,,49.06,4.0
236,49.28,49.33,49.28,49.28,1.0
237,49.47,49.48,,49.46,2.0
238,49.69,,49.68,49.7,3.0
239,49.89,,49.9,49.88,4.0
240,50.11,50.1,50.11,50.12,1.0
241,50.3,,,50.3,2.0
242,50.52,50.53,50.51,50.53,3.0
243,50.71,50.72,,50.71,4.0
244,50.94,50.94,50.93,50.94,1.0
245,51.13,,,51.13,2.0
246,51.35,51.35,51.34,51.36,3.0
247,51.55,51.57,,51.55,4.0
248,51.77,51.77,51.75,51.78,1.0
249,51.96,51.96,,51.96,2.0
250,52.17,,52.17,52.19,3.0
251,52.36,52.38,,52.36,4.0
252,52.59,,52.6,,1.0
253,52.78,,,52.78,2.0
254,52.99,52.98,52.99,53.0,3.0
255,53.18,,,53.18,4.0
256,53.41,53.41,53.42,53.4,1.0
257,53.6,,53.61,53.59,2.0
258,53.82,53.82,53.83,53.82,3.0
259,54.02,,54.04,54.01,4.0
260,54.21,54.21,54.21,54.22,1.0
261,54.41,,,54.41,2.0
262,54.62,54.63,54.61,54.63,3.0
263,54.82,,,54.82,4.0
264,55.03,,55.02,,1.0
265,55.23,55.25,,55.23,2.0
266,55.44,,55.43,55.45,3.0
267,55.63,,,55.64,4.0
268,55.84,55.84,55.83,55.85,1.0
269,56.03,,,56.03,2.0
270,56.24,,56.22,56.24,3.0
271,56.44,56.44,56.46,56.43,4.0
272,56.65,,,56.66,1.0
273,56.85,,,56.85,2.0
274,57.05,57.03,,57.05,3.0
275,57.25,,,57.25,4.0
276,57.45,,,57.47,1.0
277,57.64,57.64,,57.65,2.0
278,57.85,,,57.86,3.0
279,58.05,,,58.05,4.0
280,58.25,58.24,58.24,58.26,1.0
281,58.44,,,58.43,2.0
282,58.65,,58.64,,3.0
283,58.84,58.86,,58.83,4.0
284,59.05,,59.04,59.05,1.0
285,59.24,,,59.23,2.0
286,59.44,59.43,59.46,,3.0
287,59.64,,,59.63,4.0
288,59.85,,,59.86,1.0
289,60.04,60.03,,,2.0
290,60.25,60.24,60.24,60.24,3.0
291,60.45,,,60.45,4.0
292,60.65,60.64,,60.65,1.0
293,60.84,,,60.83,2.0
294,61.05,,61.03,61.06,3.0
295,61.25,61.26,,61.24,4.0
296,61.44,,61.43,61.46,1.0
297,61.65,,,61.66,2.0
298,61.84,61.85,61.83,,3.0
299,62.05,,,62.05,4.0
300,62.26,,62.24,62.26,1.0
301,62.46,62.48,,62.45,2.0
302,62.66,,,62.66,3.0
303,62.85,,,62.84,4.0
304,63.05,63.09,63.04,,1.0
305,63.25,,,63.25,2.0
306,63.46,63.47,63.44,63.46,3.0
307,63.65,,,63.65,4.0
308,63.87,,,63.88,1.0
309,64.06,,,64.05,2.0
310,64.27,64.27,,64.28,3.0
311,64.46,,64.45,64.46,4.0
312,64.68,64.69,64.68,,1.0
313,64.87,64.89,,64.87,2.0
314,65.08,65.09,65.07,65.08,3.0
315,65.28,,,65.28,4.0
316,65.47,65.51,65.47,65.47,1.0
317,65.67,65.69,,65.67,2.0
318,65.89,65.9,65.88,65.9,3.0
319,66.08,,,66.08,4.0
320,66.3,66.31,66.28,66.3,1.0
321,66.49,,,66.49,2.0
322,66.7,66.71,66.7,66.7,3.0
323,66.9,,,66.9,4.0
324,67.1,67.1,67.09,67.12,1.0
325,67.31,67.31,,67.32,2.0
326,67.53,67.54,67.53,67.54,3.0
327,67.73,,,67.73,4.0
328,67.94,67.94,67.93,,1.0
329,68.14,68.16,,68.14,2.0
330,68.36,68.37,68.34,68.36,3.0
331,68.55,,,68.54,4.0
332,68.76,68.78,68.75,68.76,1.0
333,68.95,68.94,,68.95,2.0
334,69.16,69.15,69.15,69.18,3.0
335,69.35,,,69.35,4.0
336,69.56,69.55,69.56,,1.0
337,69.77,,,69.77,2.0
338,69.97,,69.95,69.98,3.0
339,70.16,,,70.16,4.0
340,70.37,70.36,,70.38,1.0
341,70.56,70.6,,70.55,2.0
342,70.77,70.81,70.76,70.77,3.0
343,70.96,,,70.95,4.0
344,71.17,71.17,71.17,71.17,1.0
345,71.36,71.38,,71.35,2.0
346,71.57,71.6,71.56,71.59,3.0
347,71.76,,,71.76,4.0
348,71.98,,71.98,71.99,1.0
349,72.17,,,72.16,2.0
350,72.38,72.38,72.37,72.4,3.0
351,72.58,72.57,,72.57,4.0
352,72.79,72.79,72.77,,1.0
353,72.99,,,72.99,2.0
354,73.21,73.21,,73.22,3.0
355,73.4,73.45,,73.4,4.0
356,73.61,73.6,73.61,73.61,1.0
357,73.8,,,73.8,2.0
358,74.03,,74.03,74.04,3.0
359,74.22,,,74.22,4.0
360,74.45,74.45,74.44,74.46,1.0
361,74.65,74.68,,74.65,2.0
362,74.85,74.84,74.84,74.88,3.0
363,75.06,,,75.06,4.0
364,75.26,75.28,75.26,75.28,1.0
365,75.47,,,75.47,2.0
366,75.69,75.71,75.68,75.7,3.0
367,75.89,,,75.89,4.0
368,76.09,,76.09,76.12,1.0
369,76.3,76.3,,76.3,2.0
370,76.51,76.51,76.51,,3.0
371,76.71,76.72,,76.71,4.0
372,76.93,,76.91,76.93,1.0
373,77.12,,,77.12,2.0
