,beats,piano,bass,drums,metre_auto
0,0.35,0.36,,0.37,1.0
1,0.61,0.66,,0.64,2.0
2,0.89,0.89,0.89,,3.0
3,1.19,1.21,1.21,1.2,4.0
4,1.48,1.48,1.51,1.49,1.0
5,1.76,1.75,,,2.0
6,2.05,2.06,2.07,2.04,3.0
7,2.33,2.34,2.33,,4.0
8,2.62,2.64,2.59,,1.0
9,2.91,2.93,2.91,2.9,2.0
10,3.17,,3.18,3.19,3.0
11,3.44,,3.43,,4.0
12,3.73,3.73,3.74,3.75,1.0
13,4.01,4.01,4.02,4.04,2.0
14,4.29,4.3,,,3.0
15,4.57,4.58,4.56,4.58,4.0
16,4.87,4.87,4.88,,1.0
17,5.13,5.15,5.13,5.14,2.0
18,5.41,,,,3.0
19,5.69,,5.7,,4.0
20,5.98,,5.98,6.0,1.0
21,6.27,6.3,6.27,6.27,2.0
22,6.56,6.57,,6.53,3.0
23,6.84,6.86,6.84,6.82,4.0
24,7.12,7.14,7.13,7.11,1.0
25,7.4,7.44,7.41,7.46,2.0
26,7.67,,,7.67,3.0
27,7.95,,7.95,7.97,4.0
28,8.22,8.23,8.24,8.26,1.0
29,8.51,8.53,,8.51,2.0
30,8.78,8.79,8.79,8.81,3.0
31,9.07,9.11,9.08,,4.0
32,9.37,9.38,9.35,9.38,1.0
33,9.66,9.68,9.67,9.66,2.0
34,9.94,9.95,9.95,,3.0
35,10.23,10.23,10.24,10.23,4.0
36,10.52,10.52,10.52,10.55,1.0
37,10.79,10.79,10.79,10.8,2.0
38,11.09,11.09,11.06,,3.0
39,11.37,11.37,11.37,11.37,4.0
40,11.65,11.65,11.65,11.65,1.0
41,11.93,11.99,11.93,,2.0
42,12.21,,12.22,12.22,3.0
43,12.5,,12.48,12.5,4.0
44,12.77,,12.75,,1.0
45,13.07,13.06,13.07,13.08,2.0
46,13.35,13.36,13.35,,3.0
47,13.61,,13.62,13.61,4.0
48,13.89,13.89,13.91,13.9,1.0
49,14.18,,14.18,14.19,2.0
50,14.46,,14.46,14.47,3.0
51,14.73,14.73,14.73,14.76,4.0
52,15.02,,15.02,15.04,1.0
53,15.3,,15.29,15.31,2.0
54,15.59,15.6,15.58,,3.0
55,15.87,,15.87,15.87,4.0
56,16.16,,16.17,16.16,1.0
57,16.43,16.43,16.44,16.44,2.0
58,16.72,,16.73,16.73,3.0
59,16.99,,17.0,17.03,4.0
60,17.27,17.27,17.29,,1.0
61,17.55,,17.56,17.56,2.0
62,17.83,17.82,17.84,,3.0
63,18.11,18.11,18.13,18.12,4.0
64,18.39,,18.4,18.4,1.0
65,18.68,,18.69,,2.0
66,18.94,18.93,18.96,18.94,3.0
67,19.22,,19.23,19.22,4.0
68,19.48,19.47,19.5,,1.0
69,19.76,,19.77,19.74,2.0
70,20.02,20.0,20.04,,3.0
71,20.29,20.3,20.29,20.28,4.0
72,20.56,,20.56,20.59,1.0
73,20.85,20.85,20.86,20.85,2.0
74,21.12,21.1,21.13,,3.0
75,21.39,21.39,21.42,21.41,4.0
76,21.68,21.66,21.69,,1.0
77,21.96,21.96,,21.95,2.0
78,22.22,,22.19,22.23,3.0
79,22.5,22.56,,22.5,4.0
80,22.76,22.76,22.8,22.81,1.0
81,23.05,,23.08,23.04,2.0
82,23.31,23.36,23.32,,3.0
83,23.6,23.59,23.62,23.6,4.0
84,23.88,,23.89,23.89,1.0
85,24.16,,24.17,24.15,2.0
86,24.44,24.43,24.45,,3.0
87,24.72,24.72,24.73,24.7,4.0
88,25.0,25.0,25.02,25.0,1.0
89,25.28,25.28,25.3,25.25,2.0
90,25.57,25.57,25.58,25.54,3.0
91,25.84,25.85,25.86,25.82,4.0
92,26.13,26.11,26.15,26.19,1.0
93,26.4,26.39,26.42,,2.0
94,26.66,,26.7,26.66,3.0
95,26.96,,26.98,26.95,4.0
96,27.22,27.21,27.24,,1.0
97,27.5,,27.51,27.5,2.0
98,27.76,,27.75,27.79,3.0
99,28.05,28.05,,28.06,4.0
100,28.32,28.36,28.31,,1.0
101,28.61,,,28.62,2.0
102,28.9,,28.92,,3.0
103,29.16,,29.15,,4.0
104,29.44,29.44,29.45,29.46,1.0
105,29.71,,29.71,29.73,2.0
106,30.0,30.0,,,3.0
107,30.28,30.28,,30.27,4.0
108,30.55,,30.54,30.56,1.0
109,30.85,,30.85,30.85,2.0
110,31.12,31.13,31.12,,3.0
111,31.41,,31.41,,4.0
112,31.69,31.7,,31.67,1.0
113,31.96,31.97,31.97,31.95,2.0
114,32.25,,,,3.0
115,32.52,,32.53,32.51,4.0
116,32.78,32.78,32.81,32.77,1.0
117,33.06,33.11,33.12,,2.0
118,33.32,33.32,33.35,33.32,3.0
119,33.59,33.61,33.62,33.57,4.0
120,33.87,,33.88,,1.0
121,34.16,,34.17,34.15,2.0
122,34.43,34.43,34.43,34.42,3.0
123,34.71,34.71,34.72,34.71,4.0
124,34.99,,34.99,34.98,1.0
125,35.26,,35.28,35.28,2.0
126,35.52,,35.53,35.51,3.0
127,35.79,,,35.78,4.0
128,36.06,36.05,36.06,,1.0
129,36.33,36.34,36.32,36.32,2.0
130,36.62,,36.64,36.61,3.0
131,36.89,,,36.87,4.0
132,37.15,37.14,37.18,,1.0
133,37.43,37.43,37.45,37.42,2.0
134,37.7,37.7,,,3.0
135,37.96,,37.95,37.95,4.0
136,38.24,38.24,38.24,,1.0
137,38.53,,,,2.0
138,38.83,38.87,,38.86,3.0
139,39.12,39.12,,39.11,4.0
140,39.4,39.4,,,1.0
141,39.69,39.7,39.73,,2.0
142,39.96,,,39.98,3.0
143,40.22,40.21,,40.24,4.0
144,40.49,40.49,40.48,40.51,1.0
145,40.76,40.77,,,2.0
146,41.03,41.01,,,3.0
147,41.32,,,,4.0
148,41.62,41.67,,41.61,1.0
149,41.91,41.92,,,2.0
150,42.19,42.16,,42.17,3.0
151,42.49,42.55,42.51,42.52,4.0
152,42.77,42.77,,,1.0
153,43.06,43.06,,,2.0
154,43.36,,43.42,,3.0
155,43.65,43.66,,43.65,4.0
156,43.94,44.0,44.0,,1.0
157,44.23,44.27,,,2.0
158,44.52,44.52,44.52,44.53,3.0
159,44.8,,44.79,,4.0
160,45.09,45.1,,,1.0
161,45.39,,,45.42,2.0
162,45.67,45.68,,45.67,3.0
163,45.96,46.0,45.93,46.02,4.0
164,46.26,46.27,46.27,46.28,1.0
165,46.54,46.53,46.55,46.52,2.0
166,46.81,,46.82,46.78,3.0
